Authors	Record Count	% of 8,505
Shum CK	110	1.293
Cazenave A	95	1.117
Andersen OB	89	1.046
Camps A	68	0.800
Chapron B	67	0.788
Calmant S	65	0.764
Ray RD	63	0.741
Remy F	63	0.741
Qiu B	60	0.705
Frappart F	55	0.647
Fu LL	54	0.635
Pascual A	54	0.635
Benveniste J	52	0.611
Chen G	52	0.611
Lee H	52	0.611
Nerem RS	52	0.611
Cipollini P	51	0.600
Cretaux JF	51	0.600
Fricker HA	49	0.576
Papa F	48	0.564
Le Traon PY	47	0.553
Kuo CY	45	0.529
Guo JY	44	0.517
Smith WHF	44	0.517
Verron J	44	0.517
Vignudelli S	43	0.506
Leben RR	42	0.494
Park H	42	0.494
Sandwell DT	41	0.482
Stammer D	41	0.482
Dettmering D	39	0.459
Bosch W	38	0.447
Lyard F	38	0.447
Rius A	38	0.447
Hwang C	37	0.435
Knudsen P	37	0.435
Martin-neira M	37	0.435
Bamber JL	36	0.423
Legresy B	36	0.423
Passaro M	36	0.423
Bonnefond P	35	0.412
Forsberg R	35	0.412
Seitz F	35	0.412
Shepherd A	35	0.412
Quartly GD	34	0.400
Tapley BD	34	0.400
Birol F	33	0.388
Cardellach E	33	0.388
Han GQ	33	0.388
Morrow R	33	0.388
Picot N	33	0.388
Schutz BE	33	0.388
Xu K	33	0.388
Fernandes MJ	32	0.376
Hamlington BD	30	0.353
Meyssignac B	30	0.353
Seyler F	30	0.353
Vandemark D	30	0.353
Moore P	29	0.341
Tournadre J	29	0.341
Young IR	29	0.341
Dibarboure G	28	0.329
Kwok R	28	0.329
Lin MS	28	0.329
Majumdar TJ	28	0.329
Schwatke C	28	0.329
Wang J	28	0.329
Wang Y	28	0.329
Ablain M	27	0.317
Bauer-gottwein P	27	0.317
Bouffard J	27	0.317
Brasseur P	27	0.317
Chen JL	27	0.317
Haines BJ	27	0.317
Luthcke SB	27	0.317
Markus T	27	0.317
Yi YC	27	0.317
Zhang J	27	0.317
Basu S	26	0.306
Braun A	26	0.306
Marcos M	26	0.306
Saraceno M	26	0.306
Wang L	26	0.306
Wunsch C	26	0.306
Zwally HJ	26	0.306
Gomez-enri J	25	0.294
Horwath M	25	0.294
Hughes CW	25	0.294
Kubryakov AA	25	0.294
Provost C	25	0.294
Ruiz S	25	0.294
Schroter J	25	0.294
Sharma R	25	0.294
Wickert J	25	0.294
Berge-nguyen M	24	0.282
Berry PAM	24	0.282
Biancamaria S	24	0.282
Chelton DB	24	0.282
Coleman R	24	0.282
Davis CH	24	0.282
Deng XL	24	0.282
Femenias P	24	0.282
Klokocnik J	24	0.282
Kumar R	24	0.282
Liu Y	24	0.282
Mitchum GT	24	0.282
Rio MH	24	0.282
Arbic BK	23	0.270
Ardhuin F	23	0.270
Chambers DP	23	0.270
Featherstone WE	23	0.270
Fenoglio-marc L	23	0.270
Jin SG	23	0.270
Menard Y	23	0.270
Ponte RM	23	0.270
Scharroo R	23	0.270
Shriver JF	23	0.270
Tziavos IN	23	0.270
Wingham DJ	23	0.270
Becker M	22	0.259
Chen SM	22	0.259
Church JA	22	0.259
Desai SD	22	0.259
Din AHM	22	0.259
Exertier P	22	0.259
Fabra F	22	0.259
Kusche J	22	0.259
Larnicol G	22	0.259
Li J	22	0.259
Llovel W	22	0.259
Ma Y	22	0.259
Nielsen K	22	0.259
Padman L	22	0.259
Ribo S	22	0.259
Song CQ	22	0.259
Wagner CA	22	0.259
Wang H	22	0.259
Zhao ZX	22	0.259
Born GH	21	0.247
Chaigneau A	21	0.247
Challenor PG	21	0.247
Gille ST	21	0.247
Hurlburt HE	21	0.247
Ichikawa K	21	0.247
Kouraev AV	21	0.247
Lemoine FG	21	0.247
Li F	21	0.247
Li S	21	0.247
Li WQ	21	0.247
Lu Y	21	0.247
Pascual D	21	0.247
Prigent C	21	0.247
Sneeuw N	21	0.247
Tai CK	21	0.247
Tong XH	21	0.247
Tseng KH	21	0.247
Wang C	21	0.247
Wang F	21	0.247
Wang X	21	0.247
Wilson CR	21	0.247
Woodworth PL	21	0.247
Xie H	21	0.247
Yang L	21	0.247
Brankart JM	20	0.235
Brunt KM	20	0.235
Cherniawsky JY	20	0.235
D'addio S	20	0.235
Donlon C	20	0.235
Egbert GD	20	0.235
Faugere Y	20	0.235
Guinehut S	20	0.235
Hossain F	20	0.235
Kostelecky J	20	0.235
Kurtz NT	20	0.235
Lazaro C	20	0.235
Li Y	20	0.235
Liu X	20	0.235
Menemenlis D	20	0.235
Palm SP	20	0.235
Richman JG	20	0.235
Tarpanelli A	20	0.235
Volkov DL	20	0.235
Woppelmann G	20	0.235
Xu XY	20	0.235
Zhang Y	20	0.235
Li JC	19	0.223
Siegfried MR	19	0.223
Srokosz MA	19	0.223
Tintore J	19	0.223
Van Den Broeke MR	19	0.223
Vergos GS	19	0.223
Wahr J	19	0.223
Zlotnicki V	19	0.223
Bates PD	18	0.212
Beckley BD	18	0.212
Biancale R	18	0.212
Bonnet MP	18	0.212
Chao BF	18	0.212
Cheng YC	18	0.212
Foreman MGG	18	0.212
Gourdeau L	18	0.212
Hernandez F	18	0.212
Ho CR	18	0.212
Ke LH	18	0.212
Klein P	18	0.212
Laurain O	18	0.212
Li GY	18	0.212
Mcmillan M	18	0.212
Merrifield MA	18	0.212
Metzger EJ	18	0.212
Minster JF	18	0.212
Nino F	18	0.212
Poulain PM	18	0.212
Sideris MG	18	0.212
Tang XM	18	0.212
Ubelmann C	18	0.212
Vincent P	18	0.212
Wouters B	18	0.212
Yi DH	18	0.212
Zhu JH	18	0.212
Zhu XH	18	0.212
Blarel F	17	0.200
Da Silva JS	17	0.200
Goni GJ	17	0.200
Johannessen JA	17	0.200
Lebedev SA	17	0.200
Legeais JF	17	0.200
Lutjeharms JRE	17	0.200
Mertikas SP	17	0.200
Muir A	17	0.200
Onrubia R	17	0.200
Santoleri R	17	0.200
Stanichny SV	17	0.200
Tourian MJ	17	0.200
Valencia E	17	0.200
Wallcraft AJ	17	0.200
Willis P	17	0.200
Xu Q	17	0.200
Xu Y	17	0.200
Yang DK	17	0.200
Berthier E	16	0.188
Calafat FM	16	0.188
Carreno-luengo H	16	0.188
Chen CT	16	0.188
Durand F	16	0.188
Durand M	16	0.188
Farrell SL	16	0.188
Ferrari R	16	0.188
Gommenginger C	16	0.188
Helm V	16	0.188
Hu JY	16	0.188
Hwang CW	16	0.188
Jacobs GA	16	0.188
Jung HC	16	0.188
Li Z	16	0.188
Neumann TA	16	0.188
Pujol MI	16	0.188
Queffeulou P	16	0.188
Quilfen Y	16	0.188
Ramillien G	16	0.188
Scambos TA	16	0.188
Schmidt M	16	0.188
Testut L	16	0.188
Wang DX	16	0.188
Wessel P	16	0.188
Zaron ED	16	0.188
Zelensky NP	16	0.188
Zheng QA	16	0.188
Zhou XH	16	0.188
Zhu J	16	0.188
Arnault S	15	0.176
Beighley E	15	0.176
Bertino L	15	0.176
Chu PC	15	0.176
De Ruijter WPM	15	0.176
Dietrich R	15	0.176
Du Y	15	0.176
Fablet R	15	0.176
Fukumori I	15	0.176
Groh A	15	0.176
Jin TY	15	0.176
Kim JW	15	0.176
Kim KY	15	0.176
Koblinsky CJ	15	0.176
Lellouche JM	15	0.176
Lettenmaier DP	15	0.176
Li L	15	0.176
Li X	15	0.176
Li ZJ	15	0.176
Mason E	15	0.176
Melet A	15	0.176
Moholdt G	15	0.176
Qi YQ	15	0.176
Rummel R	15	0.176
Semmling M	15	0.176
Sorensen LS	15	0.176
Spinhirne JD	15	0.176
Tran N	15	0.176
Yuan JJ	15	0.176
Zhang X	15	0.176
Zhang ZZ	15	0.176
Beckley B	14	0.165
Boy F	14	0.165
Carabajal CC	14	0.165
Chen N	14	0.165
Emery WJ	14	0.165
Forootan E	14	0.165
Gairola RM	14	0.165
Glazman RE	14	0.165
Guo W	14	0.165
Klees R	14	0.165
Lemoine JM	14	0.165
Mourre B	14	0.165
Pavelsky TM	14	0.165
Piola AR	14	0.165
Ries JC	14	0.165
Roca M	14	0.165
Rodriguez E	14	0.165
Rossow WB	14	0.165
Rudenko S	14	0.165
Schlax MG	14	0.165
Scott RB	14	0.165
Subrahmanyam B	14	0.165
Walsh EJ	14	0.165
Wang XH	14	0.165
Yang JG	14	0.165
Yang JS	14	0.165
Zuffada C	14	0.165
Bao LF	13	0.153
Beron-vera FJ	13	0.153
Bosch-lluis X	13	0.153
Bursa M	13	0.153
Csatho B	13	0.153
Domeneghetti A	13	0.153
Flament T	13	0.153
Fok HS	13	0.153
Garambois PA	13	0.153
Goni G	13	0.153
Hendricks S	13	0.153
Hou YJ	13	0.153
Jia YJ	13	0.153
Jiang LG	13	0.153
King MA	13	0.153
Korotaev GK	13	0.153
Krabill WB	13	0.153
Laxon S	13	0.153
Li H	13	0.153
Ligtenberg SRM	13	0.153
Magruder LA	13	0.153
Marks KM	13	0.153
Moramarco T	13	0.153
Olascoaga MJ	13	0.153
Park YH	13	0.153
Piecuch CG	13	0.153
Ramos-perez I	13	0.153
Raney RK	13	0.153
Remy E	13	0.153
Rignot E	13	0.153
Rodriguez-alvarez N	13	0.153
Savcenko R	13	0.153
Schone T	13	0.153
Smedstad OM	13	0.153
Speich S	13	0.153
Tenzer R	13	0.153
Thibaut P	13	0.153
Tripolitsiotis A	13	0.153
Tsamados M	13	0.153
Van Leeuwen PJ	13	0.153
Wang Q	13	0.153
Weisberg RH	13	0.153
Willis JK	13	0.153
Xie JF	13	0.153
Xu YS	13	0.153
Yan XH	13	0.153
Yang YK	13	0.153
Zhao J	13	0.153
Abdalla S	12	0.141
Andreadis KM	12	0.141
Andres M	12	0.141
Armitage TWK	12	0.141
Belonenko TV	12	0.141
Benkiran M	12	0.141
Bentamy A	12	0.141
Bhattacharyya R	12	0.141
Birkett CM	12	0.141
Brocca L	12	0.141
Chang XT	12	0.141
Chao Y	12	0.141
Chen DK	12	0.141
Chen X	12	0.141
Crawford WR	12	0.141
Cullen R	12	0.141
Dong CM	12	0.141
Douglas BC	12	0.141
Eanes RJ	12	0.141
Escudier R	12	0.141
Esselborn S	12	0.141
Feng H	12	0.141
Flechtner F	12	0.141
Fleury S	12	0.141
Gomis D	12	0.141
Haas C	12	0.141
Harding DJ	12	0.141
Herzfeld UC	12	0.141
Jayne SR	12	0.141
Jiang MF	12	0.141
Kuo NJ	12	0.141
Landerer FW	12	0.141
Laxon SW	12	0.141
Letraon PY	12	0.141
Li M	12	0.141
Liu SJ	12	0.141
Liu WT	12	0.141
Martin F	12	0.141
Mavrocordatos C	12	0.141
Menna M	12	0.141
Mognard NM	12	0.141
Niiler PP	12	0.141
