Funding Agencies	Record Count	% of 8,505
National Natural Science Foundation Of China Nsfc	848	9.971
National Aeronautics Space Administration Nasa	570	6.702
National Science Foundation Nsf	399	4.691
Uk Research Innovation Ukri	357	4.198
Natural Environment Research Council Nerc	347	4.080
European Commission	338	3.974
Centre National D Etudes Spatiales	319	3.751
European Space Agency	153	1.799
National Basic Research Program Of China	153	1.799
Chinese Academy Of Sciences	145	1.705
National Oceanic Atmospheric Admin Noaa Usa	130	1.529
Office Of Naval Research	125	1.470
German Research Foundation Dfg	123	1.446
Nsf Directorate For Geosciences Geo	118	1.387
National Key Research And Development Program Of China	111	1.305
French National Research Agency Anr	106	1.246
Spanish Government	106	1.246
Fundamental Research Funds For The Central Universities	93	1.093
Ministry Of Education Culture Sports Science And Technology Japan Mext	90	1.058
Russian Foundation For Basic Research Rfbr	89	1.046
Australian Research Council	81	0.952
National Key R D Program Of China	78	0.917
Japan Society For The Promotion Of Science	75	0.882
Russian Science Foundation Rsf	70	0.823
China Scholarship Council	67	0.788
Ministry Of Science And Technology Taiwan	66	0.776
National High Technology Research And Development Program Of China	63	0.741
Centre National De La Recherche Scientifique Cnrs	60	0.705
Grants In Aid For Scientific Research Kakenhi	57	0.670
Natural Sciences And Engineering Research Council Of Canada Nserc	55	0.647
China Postdoctoral Science Foundation	53	0.623
Conselho Nacional De Desenvolvimento Cientifico E Tecnologico Cnpq	51	0.600
Australian Government	48	0.564
European Commission Joint Research Centre	39	0.459
Coordenacao De Aperfeicoamento De Pessoal De Nivel Superior Capes	34	0.400
Research Council Of Norway	34	0.400
Federal Ministry Of Education Research Bmbf	33	0.388
Netherlands Organization For Scientific Research Nwo	33	0.388
Ministry Of Science And Technology China	27	0.317
Department Of Industry Innovation And Science	26	0.306
National Programme On Global Change And Air Sea Interaction	26	0.306
Portuguese Foundation For Science And Technology	26	0.306
Cgiar	25	0.294
Natural Science Foundation Of Shandong Province	25	0.294
European Research Council Erc	21	0.247
United States Department Of Energy Doe	21	0.247
Cooperative Research Centres Crc Programme	20	0.235
Nsfc Shandong Joint Fund For Marine Science Research Centers	20	0.235
Council Of Scientific Industrial Research Csir India	19	0.223
Comision Nacional De Investigacion Cientifica Y Tecnologica Conicyt	18	0.212
Nasa Measures Program	17	0.200
Natural Science Foundation Of Jiangsu Province	17	0.200
Sdust Research Fund	17	0.200
Hong Kong Research Grants Council	16	0.188
Russian Academy Of Sciences	16	0.188
Commonwealth Scientific Industrial Research Organisation Csiro	15	0.176
Conicyt Fondecyt	15	0.176
Helmholtz Association	15	0.176
Ifremer	15	0.176
Ministry Of Research France	15	0.176
National Research Foundation Of Korea	15	0.176
Federal Ministry For Economic Affairs And Energy Bmwi	14	0.165
National Research Foundation South Africa	14	0.165
National Science And Technology Major Project	14	0.165
Natural Resources Canada	14	0.165
United States Department Of Defense	14	0.165
Ministry Of Education	13	0.153
Technical University Of Munich Tum	13	0.153
United States Geological Survey	13	0.153
Ird	12	0.141
Ohio State University	12	0.141
Projekt Deal	12	0.141
Canadian Space Agency	11	0.129
Deutscher Akademischer Austausch Dienst Daad	11	0.129
Ministry Of Education Universities And Research Miur	11	0.129
Nasa Ocean Surface Topography Mission Science Team	11	0.129
Royal Society Of London	11	0.129
Cnes Tosca	10	0.118
Department Of Science Technology India	10	0.118
Engineering Physical Sciences Research Council Epsrc	10	0.118
European Social Fund Esf	10	0.118
German Aerospace Centre Dlr	10	0.118
Marine Public Welfare Project Of China	10	0.118
National Science Fund For Distinguished Young Scholars	10	0.118
Consejo Nacional De Ciencia Y Tecnologia Conacyt	9	0.106
Consejo Nacional De Investigaciones Cientificas Y Tecnicas Conicet	9	0.106
Estonian Research Council	9	0.106
Gulf Of Mexico Research Initiative	9	0.106
Jamstec	9	0.106
Key Laboratory Of Geospace Environment And Geodesy Ministry Of Education Wuhan University	9	0.106
Marine S T Fund Of Shandong Province For Pilot National Laboratory For Marine Science And Technology Qingdao	9	0.106
Nasa Earth And Space Science Fellowship	9	0.106
National Key Research And Development Program	9	0.106
National Program On Global Change And Air Sea Interaction	9	0.106
Public Science And Technology Research Funds Projects Of Ocean	9	0.106
Spanish Marine Science And Technology Program	9	0.106
China Geological Survey	8	0.094
Frontier Science And Technology Innovation Project	8	0.094
Japan Agency For Marine Earth Science And Technology Jamstec	8	0.094
