Affiliations	Record Count	% of 8,505
NATIONAL AERONAUTICS SPACE ADMINISTRATION NASA	914	10.747
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	828	9.735
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD	707	8.313
CHINESE ACADEMY OF SCIENCES	629	7.396
UNIVERSITE DE TOULOUSE	517	6.079
UNIVERSITE TOULOUSE III PAUL SABATIER	498	5.855
NASA GODDARD SPACE FLIGHT CENTER	483	5.679
LABORATOIRE D ETUDES EN GEOPHYSIQUE ET OCEANOGRAPHIE SPATIALES	439	5.162
NASA JET PROPULSION LABORATORY JPL	431	5.068
CALIFORNIA INSTITUTE OF TECHNOLOGY	409	4.809
UNIVERSITY OF CALIFORNIA SYSTEM	394	4.633
NATIONAL OCEANIC ATMOSPHERIC ADMIN NOAA USA	385	4.527
HELMHOLTZ ASSOCIATION	309	3.633
NERC NATIONAL OCEANOGRAPHY CENTRE	258	3.034
IFREMER	253	2.975
UNIVERSITY OF CALIFORNIA SAN DIEGO	248	2.916
UNIVERSITY OF COLORADO SYSTEM	248	2.916
UNIVERSITY OF COLORADO BOULDER	247	2.904
UNIVERSITY OF CHINESE ACADEMY OF SCIENCES CAS	225	2.646
RUSSIAN ACADEMY OF SCIENCES	221	2.598
UNIVERSITY OF TEXAS SYSTEM	207	2.434
EUROPEAN SPACE AGENCY	204	2.399
OHIO STATE UNIVERSITY	189	2.222
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC	184	2.163
UNIVERSITY OF HAWAII SYSTEM	182	2.140
CNRS NATIONAL INSTITUTE FOR EARTH SCIENCES ASTRONOMY INSU	180	2.116
UNIVERSITY OF TEXAS AUSTIN	179	2.105
UNITED STATES DEPARTMENT OF DEFENSE	177	2.081
SORBONNE UNIVERSITE	169	1.987
WUHAN UNIVERSITY	168	1.975
UNIVERSITY SYSTEM OF MARYLAND	164	1.928
UNITED STATES NAVY	159	1.869
OCEAN UNIVERSITY OF CHINA	157	1.846
UNIVERSITY OF WASHINGTON	153	1.799
UNIVERSITY OF WASHINGTON SEATTLE	153	1.799
DEPARTMENT OF SPACE DOS GOVERNMENT OF INDIA	146	1.717
TECHNICAL UNIVERSITY OF DENMARK	146	1.717
STATE UNIVERSITY SYSTEM OF FLORIDA	144	1.693
STATE OCEANIC ADMINISTRATION	140	1.646
UNIVERSITE DE PARIS	140	1.646
UNIVERSITY OF MARYLAND COLLEGE PARK	140	1.646
INDIAN SPACE RESEARCH ORGANISATION ISRO	135	1.587
UNIVERSITY OF HAWAII MANOA	133	1.564
COMMONWEALTH SCIENTIFIC INDUSTRIAL RESEARCH ORGANISATION CSIRO	132	1.552
UNIVERSITY OF LONDON	129	1.517
UNIVERSITY COLLEGE LONDON	126	1.481
CONSIGLIO NAZIONALE DELLE RICERCHE CNR	122	1.434
WOODS HOLE OCEANOGRAPHIC INSTITUTION	118	1.387
CLS	115	1.352
UNIVERSITY OF SOUTHAMPTON	115	1.352
DELFT UNIVERSITY OF TECHNOLOGY	112	1.317
SPACE APPLICATIONS CENTRE SAC	110	1.293
TECHNICAL UNIVERSITY OF MUNICH	108	1.270
INSTITUTE OF GEODESY GEOPHYSICS CAS	107	1.258
HELMHOLTZ CENTER POTSDAM GFZ GERMAN RESEARCH CENTER FOR GEOSCIENCES	106	1.246
NAVAL RESEARCH LABORATORY	106	1.246
OREGON STATE UNIVERSITY	105	1.235
FISHERIES OCEANS CANADA	102	1.199
ALFRED WEGENER INSTITUTE HELMHOLTZ CENTRE FOR POLAR MARINE RESEARCH	101	1.188
UNIVERSITY OF MIAMI	100	1.176
UNIVERSITY OF BRISTOL	99	1.164
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT	96	1.129
COMMUNAUTE UNIVERSITE GRENOBLE ALPES	94	1.105
SHIRSHOV INSTITUTE OF OCEANOLOGY	94	1.105
UNIVERSITE GRENOBLE ALPES UGA	94	1.105
CTR NATL ETUD SPATIALES	90	1.058
INSTITUT D ESTUDIS ESPACIALS DE CATALUNYA IEEC	89	1.046
UK RESEARCH INNOVATION UKRI	87	1.023
UTRECHT UNIVERSITY	87	1.023
POLYTECHNIC UNIVERSITY OF CATALONIA	85	0.999
CNES	84	0.988
INSTITUTE OF OCEANOLOGY CAS	84	0.988
CSIC INSTITUTO MEDITERRANEO DE ESTUDIOS AVANZADOS IMEDEA	83	0.976
