Editors	Record Count	% of 8,505
Bostater CR	32	0.376
Hwang C	26	0.306
Li JC	26	0.306
Shum CK	26	0.306
Mertikas SP	25	0.294
Rizos C	25	0.294
Schwarz KP	19	0.223
Drewes H	17	0.200
Stein TI	17	0.200
Neyt X	16	0.188
Santoleri R	16	0.188
Shimoda H	14	0.165
Adam J	13	0.153
Benveniste J	13	0.153
Tregoning P	13	0.153
Chung JS	12	0.141
Sanso F	12	0.141
Sideris MG	12	0.141
Willis P	12	0.141
Raju PLN	11	0.129
Bastos L	10	0.118
Cipollini P	10	0.118
Dow JM	10	0.118
Fernandes J	10	0.118
Halounova L	10	0.118
Jekeli C	10	0.118
Kenyon SC	10	0.118
Kostianoy AG	10	0.118
Marti UJ	10	0.118
Neeck SP	10	0.118
Pacino MC	10	0.118
Vignudelli S	10	0.118
Safar V	9	0.106
Sanchez L	9	0.106
Xiong X	9	0.106
Zielinski JB	9	0.106
Barale V	8	0.094
Meynart R	8	0.094
Neale CMU	8	0.094
Weng Q	8	0.094
Altan O	7	0.082
Butler JJ	7	0.082
Culp RD	7	0.082
Gu X	7	0.082
Maltese A	7	0.082
Moore P	7	0.082
Shortis M	7	0.082
Thenkabail PS	7	0.082
Comiso J	6	0.071
Dodson AH	6	0.071
Edge BL	6	0.071
Faruque FS	6	0.071
Fortes LPS	6	0.071
Hemsley JM	6	0.071
Hussin YA	6	0.071
Jacka J	6	0.071
Karim H	6	0.071
Kerr Y	6	0.071
Kim CH	6	0.071
Kumar TS	6	0.071
Lavender S	6	0.071
Liu J	6	0.071
Luhr H	6	0.071
Marti U	6	0.071
Patias P	6	0.071
Planka L	6	0.071
Ramasamy SM	6	0.071
Rawer K	6	0.071
Reigber C	6	0.071
Sandoval P	6	0.071
Schwintzer P	6	0.071
Skidmore A	6	0.071
Velezreyes M	6	0.071
Wang J	6	0.071
Yue P	6	0.071
Zdimal V	6	0.071
Bosch W	5	0.059
Budd WF	5	0.059
Crespi M	5	0.059
Dadhwal VK	5	0.059
Diwakar PG	5	0.059
Flemming NC	5	0.059
Frouin RJ	5	0.059
Hakeem A	5	0.059
Hornik H	5	0.059
Jiang J	5	0.059
Kawamura H	5	0.059
Liang S	5	0.059
Liu Y	5	0.059
Mcquerry SC	5	0.059
Olagnon M	5	0.059
Rummel R	5	0.059
Seshasai MVR	5	0.059
Singh UN	5	0.059
Sun J	5	0.059
Tang DL	5	0.059
Wang Y	5	0.059
Alberotanza L	4	0.047
Bardsley E	4	0.047
Bilitza D	4	0.047
Bishop RH	4	0.047
Evans MJ	4	0.047
Francescutto A	4	0.047
Gade M	4	0.047
Gower JFR	4	0.047
Gross B	4	0.047
Hafeez M	4	0.047
Hoots FR	4	0.047
Kummerow CD	4	0.047
Li X	4	0.047
Liu D	4	0.047
Luo J	4	0.047
Mackison DL	4	0.047
Moshary F	4	0.047
Nichol C	4	0.047
Novak P	4	0.047
Pail R	4	0.047
Pan D	4	0.047
Rottensteiner F	4	0.047
Seyler F	4	0.047
Shea MA	4	0.047
Singh RP	4	0.047
Sneeuw N	4	0.047
Solberg R	4	0.047
Taniguchi M	4	0.047
Uratuka S	4	0.047
Vandegiesen N	4	0.047
Wickert J	4	0.047
Winther JG	4	0.047
Wu Y	4	0.047
Abdulrahman A	3	0.035
Agarwal VK	3	0.035
Altamimi Z	3	0.035
Anderssen RS	3	0.035
Arefi H	3	0.035
Azri S	3	0.035
Brebbia CA	3	0.035
Cazenave A	3	0.035
Champollion N	3	0.035
Chen A	3	0.035
Chen J	3	0.035
Cho K	3	0.035
Choi HS	3	0.035
Clarkson WA	3	0.035
Collilieux X	3	0.035
Colomina I	3	0.035
Dahlin H	3	0.035
Freymueller JT	3	0.035
Fujisada H	3	0.035
Gervasi O	3	0.035
Guo H	3	0.035
Hamzah S	3	0.035
Heipke C	3	0.035
Himmi SK	3	0.035
Howell KC	3	0.035
Jacobsen K	3	0.035
Ji ZG	3	0.035
Kamerman GW	3	0.035
Kaufman B	3	0.035
Kimura T	3	0.035
Koterayama W	3	0.035
Lee JHW	3	0.035
Ma J	3	0.035
Macfadyen A	3	0.035
Motagh M	3	0.035
Murgante B	3	0.035
Musliman IA	3	0.035
Mynett A	3	0.035
Nayak S	3	0.035
Nittis K	3	0.035
Petersson SE	3	0.035
Posa F	3	0.035
Prevosto M	3	0.035
Rahman AA	3	0.035
Rosbjerg D	3	0.035
Roser HP	3	0.035
Said MN	3	0.035
Sandau R	3	0.035
Shori RK	3	0.035
Skaloud J	3	0.035
Soares CG	3	0.035
Stilla U	3	0.035
Stylianidis S	3	0.035
Suryatmojo H	3	0.035
Taniar D	3	0.035
Tian J	3	0.035
Trihartono A	3	0.035
Ujang U	3	0.035
Utama NA	3	0.035
Valenzuela A	3	0.035
Weisberg RH	3	0.035
Widodo S	3	0.035
Yilmaz A	3	0.035
Yingyang M	3	0.035
Zhang J	3	0.035
Aldred O	2	0.024
Alfriend KT	2	0.024
Anderson JB	2	0.024
Apduhan BO	2	0.024
Apip	2	0.024
Arattano M	2	0.024
Ardanuy PE	2	0.024
Armenakis C	2	0.024
Babichenko S	2	0.024
Baghdadi N	2	0.024
Ban Y	2	0.024
Bao W	2	0.024
Beutler G	2	0.024
Blasi R	2	0.024
Bloschl G	2	0.024
Bos MS	2	0.024
Boutron C	2	0.024
Bradley PA	2	0.024
Bramantoro A	2	0.024
Brassington GB	2	0.024
Bruyant JP	2	0.024
Carlson CA	2	0.024
Casonova JL	2	0.024
Chang NB	2	0.024
Chassignet EP	2	0.024
Chen JM	2	0.024
Chen W	2	0.024
Chen Y	2	0.024
Chova LG	2	0.024
Cowley DC	2	0.024
Cudennec C	2	0.024
Cygas D	2	0.024
Dowdeswell J	2	0.024
Dowman I	2	0.024
Dufourmount H	2	0.024
Duval P	2	0.024
Ehlers M	2	0.024
Elsheimy N	2	0.024
Fan S	2	0.024
Ferreira VG	2	0.024
