Publication Titles	Record Count	% of 8,505
JOURNAL OF GEOPHYSICAL RESEARCH OCEANS	823	9.677
GEOPHYSICAL RESEARCH LETTERS	391	4.597
REMOTE SENSING	378	4.444
IEEE INTERNATIONAL SYMPOSIUM ON GEOSCIENCE AND REMOTE SENSING IGARSS	292	3.433
JOURNAL OF PHYSICAL OCEANOGRAPHY	223	2.622
ADVANCES IN SPACE RESEARCH	218	2.563
REMOTE SENSING OF ENVIRONMENT	213	2.504
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING	198	2.328
MARINE GEODESY	181	2.128
JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY	156	1.834
INTERNATIONAL ASSOCIATION OF GEODESY SYMPOSIA	152	1.787
INTERNATIONAL JOURNAL OF REMOTE SENSING	143	1.681
JOURNAL OF GEODESY	136	1.599
PROCEEDINGS OF SPIE	111	1.305
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING	110	1.293
JOURNAL OF GEOPHYSICAL RESEARCH SOLID EARTH	106	1.246
OCEAN SCIENCE	89	1.046
CRYOSPHERE	88	1.035
GEOPHYSICAL JOURNAL INTERNATIONAL	84	0.988
OCEAN DYNAMICS	81	0.952
DEEP SEA RESEARCH PART II TOPICAL STUDIES IN OCEANOGRAPHY	75	0.882
IEEE GEOSCIENCE AND REMOTE SENSING LETTERS	71	0.835
PROGRESS IN OCEANOGRAPHY	70	0.823
ACTA OCEANOLOGICA SINICA	68	0.800
OCEAN MODELLING	67	0.788
WATER RESOURCES RESEARCH	65	0.764
JOURNAL OF MARINE SYSTEMS	63	0.741
DEEP SEA RESEARCH PART I OCEANOGRAPHIC RESEARCH PAPERS	62	0.729
JOURNAL OF OCEANOGRAPHY	56	0.658
JOURNAL OF HYDROLOGY	55	0.647
JOURNAL OF GLACIOLOGY	54	0.635
CONTINENTAL SHELF RESEARCH	48	0.564
CHINESE JOURNAL OF GEOPHYSICS CHINESE EDITION	47	0.553
GLOBAL AND PLANETARY CHANGE	47	0.553
JOURNAL OF GEODYNAMICS	46	0.541
SURVEYS IN GEOPHYSICS	45	0.529
FRONTIERS IN MARINE SCIENCE	44	0.517
INTERNATIONAL ARCHIVES OF THE PHOTOGRAMMETRY REMOTE SENSING AND SPATIAL INFORMATION SCIENCES	43	0.506
HYDROLOGY AND EARTH SYSTEM SCIENCES	42	0.494
EARTH AND PLANETARY SCIENCE LETTERS	40	0.470
JOURNAL OF CLIMATE	38	0.447
JOURNAL OF COASTAL RESEARCH	38	0.447
SENSORS	38	0.447
PROCEEDINGS OF THE SOCIETY OF PHOTO OPTICAL INSTRUMENTATION ENGINEERS SPIE	36	0.423
TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES	34	0.400
SCIENCE	33	0.388
IGARSS 2018 2018 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	32	0.376
TRANSACTIONS AMERICAN GEOPHYSICAL UNION	32	0.376
JOURNAL OF GEOPHYSICAL RESEARCH ATMOSPHERES	31	0.364
ANNALS OF GLACIOLOGY	30	0.353
IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS	29	0.341
2019 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS 2019	28	0.329
JOURNAL OF OPERATIONAL OCEANOGRAPHY	28	0.329
WATER	28	0.329
INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION	26	0.306
OCEANOLOGY	26	0.306
SATELLITE ALTIMETRY FOR GEODESY GEOPHYSICS AND OCEANOGRAPHY PROCEEDINGS	26	0.306
ADVANCES IN THE ASTRONAUTICAL SCIENCES	25	0.294
NATURE	25	0.294
OCEANS IEEE	25	0.294
SCIENTIFIC REPORTS	25	0.294
CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY	24	0.282
HYDROLOGICAL PROCESSES	24	0.282
MONTHLY WEATHER REVIEW	24	0.282
OCEANOGRAPHY	24	0.282
2014 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	23	0.270
ADVANCES IN SPACE RESEARCH SERIES	23	0.270
DYNAMICS OF ATMOSPHERES AND OCEANS	23	0.270
EARTH SYSTEM SCIENCE DATA	23	0.270
GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS	23	0.270
JOURNAL OF GEOPHYSICAL RESEARCH EARTH SURFACE	23	0.270
TECTONOPHYSICS	23	0.270
ACTA ASTRONAUTICA	22	0.259
PURE AND APPLIED GEOPHYSICS	22	0.259
CLIMATE DYNAMICS	21	0.247
IGARSS 2003 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM VOLS I VII PROCEEDINGS	21	0.247
IOP CONFERENCE SERIES EARTH AND ENVIRONMENTAL SCIENCE	21	0.247
REVIEWS OF GEOPHYSICS	21	0.247
STUDIA GEOPHYSICA ET GEODAETICA	21	0.247
FRONTIERS IN EARTH SCIENCE	20	0.235
PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING	20	0.235
2012 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	19	0.223
ARABIAN JOURNAL OF GEOSCIENCES	19	0.223
EARTH AND SPACE SCIENCE	19	0.223
IGARSS 2020 2020 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	19	0.223
JOURNAL OF APPLIED REMOTE SENSING	19	0.223
MARINE GEOPHYSICAL RESEARCH	19	0.223
OCEAN ENGINEERING	19	0.223
2010 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	18	0.212
2016 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	18	0.212
ENVIRONMENTAL RESEARCH LETTERS	18	0.212
RADIO SCIENCE	18	0.212
SCIENCE CHINA EARTH SCIENCES	18	0.212
CHINESE SCIENCE BULLETIN	17	0.200
EARTH PLANETS AND SPACE	17	0.200
GPS SOLUTIONS	17	0.200
COMPTES RENDUS GEOSCIENCE	16	0.188
COMPUTERS GEOSCIENCES	16	0.188
CURRENT SCIENCE	16	0.188
JOURNAL OF MARINE RESEARCH	16	0.188
JOURNAL OF MARINE SCIENCE AND ENGINEERING	16	0.188
SCIENCE OF THE TOTAL ENVIRONMENT	16	0.188
2013 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	15	0.176
2017 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	15	0.176
CANADIAN JOURNAL OF REMOTE SENSING	15	0.176
SPACE SCIENCE REVIEWS	15	0.176
