Publication Years	Record Count	% of 8,505
2021	639	7.513
2019	582	6.843
2020	580	6.820
2018	519	6.102
2016	472	5.550
2014	433	5.091
2015	429	5.044
2017	417	4.903
2012	366	4.303
2013	332	3.904
2010	328	3.857
2011	301	3.539
2009	263	3.092
2004	249	2.928
2008	243	2.857
2005	216	2.540
2003	214	2.516
2006	209	2.457
2007	208	2.446
2002	197	2.316
2000	147	1.728
2001	144	1.693
1998	134	1.576
1999	124	1.458
1995	111	1.305
1997	106	1.246
1994	100	1.176
1996	79	0.929
1993	74	0.870
1992	64	0.752
1991	56	0.658
1990	18	0.212
1984	14	0.165
1980	12	0.141
1979	11	0.129
1985	11	0.129
1989	11	0.129
1986	10	0.118
1988	10	0.118
1976	9	0.106
1978	9	0.106
1982	9	0.106
1983	7	0.082
1987	7	0.082
1977	6	0.071
1974	5	0.059
1970	4	0.047
1972	4	0.047
1981	4	0.047
1973	3	0.035
1975	3	0.035
1971	2	0.024
