Publication Titles	Record Count	% of 3,643
JOURNAL OF GEOPHYSICAL RESEARCH OCEANS	530	14.548
REMOTE SENSING	390	10.705
GEOPHYSICAL RESEARCH LETTERS	297	8.153
JOURNAL OF PHYSICAL OCEANOGRAPHY	147	4.035
JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY	107	2.937
CRYOSPHERE	88	2.416
OCEAN SCIENCE	88	2.416
GEOPHYSICAL JOURNAL INTERNATIONAL	74	2.031
JOURNAL OF GEOPHYSICAL RESEARCH SOLID EARTH	69	1.894
REMOTE SENSING OF ENVIRONMENT	69	1.894
ADVANCES IN SPACE RESEARCH	56	1.537
JOURNAL OF GLACIOLOGY	50	1.372
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING	49	1.345
FRONTIERS IN MARINE SCIENCE	43	1.180
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING	43	1.180
HYDROLOGY AND EARTH SYSTEM SCIENCES	42	1.153
SENSORS	38	1.043
WATER RESOURCES RESEARCH	38	1.043
TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES	36	0.988
JOURNAL OF CLIMATE	32	0.878
INTERNATIONAL ARCHIVES OF THE PHOTOGRAMMETRY REMOTE SENSING AND SPATIAL INFORMATION SCIENCES	31	0.851
JOURNAL OF GEODESY	31	0.851
WATER	29	0.796
ANNALS OF GLACIOLOGY	26	0.714
OCEAN MODELLING	26	0.714
SCIENTIFIC REPORTS	25	0.686
OCEANOGRAPHY	24	0.659
EARTH SYSTEM SCIENCE DATA	23	0.631
FRONTIERS IN EARTH SCIENCE	21	0.576
PROGRESS IN OCEANOGRAPHY	21	0.576
IOP CONFERENCE SERIES EARTH AND ENVIRONMENTAL SCIENCE	20	0.549
JOURNAL OF GEOPHYSICAL RESEARCH ATMOSPHERES	20	0.549
JOURNAL OF GEOPHYSICAL RESEARCH EARTH SURFACE	20	0.549
GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS	19	0.522
OCEAN DYNAMICS	19	0.522
EARTH AND SPACE SCIENCE	18	0.494
ENVIRONMENTAL RESEARCH LETTERS	18	0.494
JOURNAL OF HYDROLOGY	18	0.494
MONTHLY WEATHER REVIEW	18	0.494
EARTH PLANETS AND SPACE	17	0.467
JOURNAL OF MARINE SCIENCE AND ENGINEERING	16	0.439
SURVEYS IN GEOPHYSICS	16	0.439
IEEE GEOSCIENCE AND REMOTE SENSING LETTERS	14	0.384
MARINE GEODESY	14	0.384
DEEP SEA RESEARCH PART I OCEANOGRAPHIC RESEARCH PAPERS	13	0.357
IEEE ACCESS	13	0.357
IEEE INTERNATIONAL SYMPOSIUM ON GEOSCIENCE AND REMOTE SENSING IGARSS	13	0.357
JOURNAL OF GEODETIC SCIENCE	13	0.357
REVIEWS OF GEOPHYSICS	13	0.357
ANNALS OF GLACIOLOGY SERIES	12	0.329
JOURNAL OF GEODYNAMICS	12	0.329
JOURNAL OF MARINE SYSTEMS	12	0.329
JOURNAL OF OPERATIONAL OCEANOGRAPHY	12	0.329
JOURNAL OF GEOPHYSICAL RESEARCH SPACE PHYSICS	11	0.302
RADIO SCIENCE	11	0.302
SCIENCE OF THE TOTAL ENVIRONMENT	11	0.302
