Publication Years	Record Count	% of 3,643
2021	394	10.815
2020	356	9.772
2019	330	9.058
2018	283	7.768
2017	237	6.506
2016	231	6.341
2014	187	5.133
2015	172	4.721
2012	135	3.706
2013	133	3.651
2008	115	3.157
2010	108	2.965
2011	107	2.937
2009	102	2.800
2005	89	2.443
2006	80	2.196
2004	79	2.169
2007	74	2.031
2002	60	1.647
2003	57	1.565
2000	50	1.372
2001	49	1.345
1998	45	1.235
1997	35	0.961
1999	35	0.961
2022	35	0.961
1994	12	0.329
1995	11	0.302
1993	10	0.274
1996	9	0.247
1991	8	0.220
1992	4	0.110
1989	3	0.082
1988	2	0.055
1973	1	0.027
1976	1	0.027
1979	1	0.027
1980	1	0.027
1982	1	0.027
1990	1	0.027
