"Author","year","freq","TC","TCpY"
"SHUM CK","1992","1","13","0.419"
"SHUM CK","1993","2","2","0.067"
"SHUM CK","1994","4","474","16.345"
"SHUM CK","1995","1","42","1.500"
"SHUM CK","1996","3","244","9.037"
"SHUM CK","1997","1","213","8.192"
"SHUM CK","1998","1","251","10.040"
"SHUM CK","2000","3","90","3.913"
"SHUM CK","2002","1","1","0.048"
"SHUM CK","2003","1","0","0.000"
"SHUM CK","2004","3","75","3.947"
"SHUM CK","2005","4","57","3.167"
"SHUM CK","2006","1","7","0.412"
"SHUM CK","2008","9","214","14.267"
"SHUM CK","2009","4","143","10.214"
"SHUM CK","2010","8","197","15.154"
"SHUM CK","2011","6","236","19.667"
"SHUM CK","2012","3","87","7.909"
"SHUM CK","2013","9","108","10.800"
"SHUM CK","2014","4","326","36.222"
"SHUM CK","2015","4","137","17.125"
"SHUM CK","2016","11","170","24.286"
"SHUM CK","2017","2","287","47.833"
"SHUM CK","2018","7","293","58.600"
"SHUM CK","2019","5","27","6.750"
"SHUM CK","2020","9","51","17.000"
"SHUM CK","2021","3","14","7.000"
"CAZENAVE A","1980","1","73","1.698"
"CAZENAVE A","1982","1","25","0.610"
"CAZENAVE A","1993","1","8","0.267"
"CAZENAVE A","1995","1","18","0.643"
"CAZENAVE A","1996","2","38","1.407"
"CAZENAVE A","1997","1","35","1.346"
"CAZENAVE A","1998","1","28","1.120"
"CAZENAVE A","1999","2","70","2.917"
"CAZENAVE A","2001","4","205","9.318"
"CAZENAVE A","2002","3","213","10.143"
"CAZENAVE A","2003","5","107","5.350"
"CAZENAVE A","2004","6","584","30.737"
"CAZENAVE A","2005","6","313","17.389"
"CAZENAVE A","2006","5","559","32.882"
"CAZENAVE A","2007","2","100","6.250"
"CAZENAVE A","2008","2","113","7.533"
"CAZENAVE A","2009","6","487","34.786"
"CAZENAVE A","2010","3","473","36.385"
"CAZENAVE A","2011","4","517","43.083"
"CAZENAVE A","2012","6","460","41.818"
"CAZENAVE A","2013","4","247","24.700"
"CAZENAVE A","2014","2","1054","117.111"
"CAZENAVE A","2015","5","220","27.500"
"CAZENAVE A","2017","3","140","23.333"
"CAZENAVE A","2018","4","393","78.600"
"CAZENAVE A","2019","6","159","39.750"
"CAZENAVE A","2020","3","18","6.000"
"CAZENAVE A","2021","6","38","19.000"
"ANDERSEN OB","1995","2","173","6.179"
"ANDERSEN OB","1996","1","11","0.407"
"ANDERSEN OB","1997","2","223","8.577"
"ANDERSEN OB","1998","1","170","6.800"
"ANDERSEN OB","1999","1","73","3.042"
