Publication Years	Record Count	% of 857
2002	62	7.235
2004	56	6.534
1998	53	6.184
2001	47	5.484
2003	47	5.484
2000	46	5.368
1997	41	4.784
1999	39	4.551
2005	39	4.551
1995	36	4.201
1994	30	3.501
2007	30	3.501
2015	26	3.034
1996	25	2.917
2006	24	2.800
2009	23	2.684
2021	23	2.684
2011	22	2.567
2018	19	2.217
1993	18	2.100
2014	17	1.984
2020	17	1.984
2016	16	1.867
2008	15	1.750
2010	15	1.750
2013	14	1.634
1992	11	1.284
2012	11	1.284
2017	10	1.167
2019	10	1.167
1991	8	0.933
1984	3	0.350
1986	2	0.233
1982	1	0.117
1983	1	0.117
