Publication Years	Record Count	% of 193
1976	25	12.953
1977	15	7.772
1978	10	5.181
1979	10	5.181
2019	10	5.181
2016	8	4.145
2009	7	3.627
2013	7	3.627
2021	7	3.627
2011	6	3.109
2014	6	3.109
2017	6	3.109
2020	6	3.109
1992	5	2.591
1974	4	2.073
1980	4	2.073
2003	4	2.073
2015	4	2.073
2018	4	2.073
1981	3	1.554
1983	3	1.554
1994	3	1.554
1995	3	1.554
2001	3	1.554
2005	3	1.554
2010	3	1.554
2012	3	1.554
1970	2	1.036
1982	2	1.036
1986	2	1.036
1998	2	1.036
2006	2	1.036
1971	1	0.518
1972	1	0.518
1975	1	0.518
1984	1	0.518
1987	1	0.518
1989	1	0.518
1993	1	0.518
2000	1	0.518
2002	1	0.518
2004	1	0.518
2008	1	0.518
