Publication Years	Record Count	% of 236
1991	24	10.169
1992	22	9.322
1983	18	7.627
1982	17	7.203
1994	16	6.780
1993	11	4.661
1984	9	3.814
1995	9	3.814
1998	9	3.814
1986	8	3.390
1987	8	3.390
1996	8	3.390
1980	7	2.966
1997	7	2.966
1981	6	2.542
2000	5	2.119
2004	5	2.119
1978	4	1.695
1985	4	1.695
1990	4	1.695
2001	4	1.695
2011	4	1.695
1989	3	1.271
2002	3	1.271
2006	3	1.271
2007	3	1.271
1988	2	0.847
1999	2	0.847
2009	2	0.847
2010	2	0.847
2021	2	0.847
1979	1	0.424
2005	1	0.424
2012	1	0.424
2014	1	0.424
2019	1	0.424
