Publication Years	Record Count	% of 916
1994	91	9.934
1995	72	7.860
1992	69	7.533
1993	68	7.424
1996	53	5.786
1997	51	5.568
1991	43	4.694
1998	41	4.476
1999	37	4.039
2004	36	3.930
2000	35	3.821
2003	31	3.384
1990	30	3.275
2002	24	2.620
2001	22	2.402
2005	18	1.965
2007	17	1.856
2009	16	1.747
2008	15	1.638
2011	14	1.528
2020	14	1.528
2006	13	1.419
2010	13	1.419
2021	13	1.419
1989	11	1.201
2015	9	0.983
2016	9	0.983
2018	9	0.983
2019	9	0.983
2014	7	0.764
2017	7	0.764
1987	6	0.655
2012	5	0.546
2013	5	0.546
1988	3	0.328
