Affiliations	Record Count	% of 94,965
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	7308	7.695
CHINESE ACADEMY OF SCIENCES	6105	6.429
NATIONAL AERONAUTICS SPACE ADMINISTRATION NASA	5466	5.756
UNIVERSITY OF CALIFORNIA SYSTEM	5260	5.539
HELMHOLTZ ASSOCIATION	4410	4.644
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD	4160	4.381
NATIONAL OCEANIC ATMOSPHERIC ADMIN NOAA USA	3789	3.990
CALIFORNIA INSTITUTE OF TECHNOLOGY	2977	3.135
NASA JET PROPULSION LABORATORY JPL	2775	2.922
NASA GODDARD SPACE FLIGHT CENTER	2483	2.615
SORBONNE UNIVERSITE	2318	2.441
UNIVERSITY OF CHINESE ACADEMY OF SCIENCES CAS	2215	2.332
CNRS NATIONAL INSTITUTE FOR EARTH SCIENCES ASTRONOMY INSU	2196	2.312
UNIVERSITY OF CALIFORNIA SAN DIEGO	2151	2.265
RUSSIAN ACADEMY OF SCIENCES	2104	2.216
UNIVERSITE DE PARIS	2020	2.127
NERC NATIONAL OCEANOGRAPHY CENTRE	2008	2.114
UNIVERSITY OF WASHINGTON	1997	2.103
UNIVERSITY OF WASHINGTON SEATTLE	1989	2.094
UNIVERSITE DE TOULOUSE	1978	2.083
IFREMER	1925	2.027
WOODS HOLE OCEANOGRAPHIC INSTITUTION	1908	2.009
UK RESEARCH INNOVATION UKRI	1835	1.932
UNIVERSITE TOULOUSE III PAUL SABATIER	1808	1.904
UNIVERSITY OF COLORADO SYSTEM	1800	1.895
STATE UNIVERSITY SYSTEM OF FLORIDA	1788	1.883
UNIVERSITY OF COLORADO BOULDER	1782	1.876
NATURAL ENVIRONMENT RESEARCH COUNCIL NERC	1759	1.852
UNIVERSITY OF HAWAII SYSTEM	1693	1.783
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC	1635	1.722
ALFRED WEGENER INSTITUTE HELMHOLTZ CENTRE FOR POLAR MARINE RESEARCH	1591	1.675
COMMONWEALTH SCIENTIFIC INDUSTRIAL RESEARCH ORGANISATION CSIRO	1540	1.622
UNIVERSITY SYSTEM OF MARYLAND	1514	1.594
UNIVERSITY OF TEXAS SYSTEM	1438	1.514
COLUMBIA UNIVERSITY	1413	1.488
UNITED STATES DEPARTMENT OF DEFENSE	1390	1.464
OCEAN UNIVERSITY OF CHINA	1347	1.418
UTRECHT UNIVERSITY	1347	1.418
LABORATOIRE D ETUDES EN GEOPHYSIQUE ET OCEANOGRAPHIE SPATIALES	1301	1.370
NERC BRITISH ANTARCTIC SURVEY	1288	1.356
UNIVERSITY OF SOUTHAMPTON	1275	1.343
UNIVERSITY OF TOKYO	1272	1.339
OREGON STATE UNIVERSITY	1266	1.333
UNITED STATES DEPARTMENT OF THE INTERIOR	1261	1.328
JAPAN AGENCY FOR MARINE EARTH SCIENCE TECHNOLOGY JAMSTEC	1227	1.292
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT	1226	1.291
UNIVERSITY OF TEXAS AUSTIN	1174	1.236
WUHAN UNIVERSITY	1170	1.232
CONSIGLIO NAZIONALE DELLE RICERCHE CNR	1169	1.231
UNIVERSITY OF MARYLAND COLLEGE PARK	1168	1.230
UNITED STATES GEOLOGICAL SURVEY	1164	1.226
UNITED STATES NAVY	1128	1.188
UNIVERSITY OF MIAMI	1112	1.171
UNIVERSITY OF HAWAII MANOA	1110	1.169
UNIVERSITY OF TASMANIA	1085	1.143
GEOMAR HELMHOLTZ CENTER FOR OCEAN RESEARCH KIEL	1044	1.099
NATIONAL CENTER ATMOSPHERIC RESEARCH NCAR USA	1040	1.095
UNIVERSITE PARIS SACLAY	1020	1.074
COMMUNAUTE UNIVERSITE GRENOBLE ALPES	997	1.050
UNIVERSITE GRENOBLE ALPES UGA	990	1.042
UNIVERSITY OF CALIFORNIA LOS ANGELES	984	1.036
UNITED STATES DEPARTMENT OF ENERGY DOE	942	0.992
MUSEUM NATIONAL D HISTOIRE NATURELLE MNHN	937	0.987
STATE OCEANIC ADMINISTRATION	931	0.980
DELFT UNIVERSITY OF TECHNOLOGY	930	0.979
HELMHOLTZ CENTER POTSDAM GFZ GERMAN RESEARCH CENTER FOR GEOSCIENCES	923	0.972
UNIVERSITY OF LONDON	912	0.960
SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY CAS	867	0.913
UNIVERSITY OF NEW SOUTH WALES SYDNEY	847	0.892
OHIO STATE UNIVERSITY	844	0.889
UNIVERSITY OF BREMEN	839	0.883
PSL RESEARCH UNIVERSITY PARIS	831	0.875
UNIVERSITY OF BRISTOL	823	0.867
UNIVERSITY OF CAMBRIDGE	810	0.853
TEXAS A M UNIVERSITY SYSTEM	800	0.842
UNIVERSITE DE BRETAGNE OCCIDENTALE	789	0.831
NAVAL RESEARCH LABORATORY	775	0.816
FISHERIES OCEANS CANADA	766	0.807
COUNCIL OF SCIENTIFIC INDUSTRIAL RESEARCH CSIR INDIA	764	0.805
PRINCETON UNIVERSITY	760	0.800
MINISTRY OF EARTH SCIENCES MOES INDIA	753	0.793
UNIVERSITY OF ALASKA SYSTEM	742	0.781
SHIRSHOV INSTITUTE OF OCEANOLOGY	737	0.776
ETH ZURICH	733	0.772
INDIAN INSTITUTE OF TECHNOLOGY SYSTEM IIT SYSTEM	729	0.768
QINGDAO NATL LAB MARINE SCI TECHNOL	728	0.767
UNIVERSITY OF NORTH CAROLINA	721	0.759
UNIVERSITE DE VERSAILLES SAINT QUENTIN EN YVELINES	709	0.747
MAX PLANCK SOCIETY	706	0.743
UNIVERSITY OF ALASKA FAIRBANKS	706	0.743
UNIVERSITY OF HAMBURG	699	0.736
INSTITUTE OF OCEANOLOGY CAS	680	0.716
UNIVERSITY OF OXFORD	666	0.701
HOKKAIDO UNIVERSITY	663	0.698
INSTITUT UNIVERSITAIRE EUROPEEN DE LA MER IUEM	659	0.694
DEPARTMENT OF SPACE DOS GOVERNMENT OF INDIA	656	0.691
TEXAS A M UNIVERSITY COLLEGE STATION	653	0.688
FLORIDA STATE UNIVERSITY	649	0.683
UNIVERSITY OF CALIFORNIA SANTA CRUZ	647	0.681
NANJING UNIVERSITY OF INFORMATION SCIENCE TECHNOLOGY	633	0.667
UNIVERSITY OF BERGEN	633	0.667
UNIVERSIDADE DE LISBOA	630	0.663
EUROPEAN SPACE AGENCY	628	0.661
GERMAN AEROSPACE CENTRE DLR	628	0.661
CEA	616	0.649
AUSTRALIAN NATIONAL UNIVERSITY	613	0.646
UNIVERSITY OF KIEL	611	0.643
UNIVERSITY OF CAPE TOWN	603	0.635
AIX MARSEILLE UNIVERSITE	601	0.633
UNIVERSITY COLLEGE LONDON	599	0.631
ISTITUTO NAZIONALE GEOFISICA E VULCANOLOGIA INGV	595	0.627
MET OFFICE UK	588	0.619
STANFORD UNIVERSITY	588	0.619
CONSEJO NACIONAL DE INVESTIGACIONES CIENTIFICAS Y TECNICAS CONICET	579	0.610
CSIR NATIONAL INSTITUTE OF OCEANOGRAPHY NIO	575	0.605
UNIVERSITY SYSTEM OF GEORGIA	573	0.603
NATURAL RESOURCES CANADA	570	0.600
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION PCSHE	570	0.600
UNIVERSITY OF READING	566	0.596
UNIVERSITY OF WISCONSIN SYSTEM	566	0.596
UNIVERSITY OF LEEDS	565	0.595
UNIVERSITY OF ARIZONA	556	0.585
UNIVERSITY OF CALIFORNIA IRVINE	556	0.585
INDIAN SPACE RESEARCH ORGANISATION ISRO	552	0.581
MINIST NAT RESOURCES	552	0.581
UNIVERSITY OF OSLO	551	0.580
ATLANTIC OCEANOGRAPHIC METEOROLOGICAL LABORATORY AOML	550	0.579
UNIVERSITY OF EDINBURGH	550	0.579
UNIVERSITY OF SOUTH FLORIDA	549	0.578
INSTITUTE OF ATMOSPHERIC PHYSICS CAS	531	0.559
RUTGERS STATE UNIVERSITY NEW BRUNSWICK	527	0.555
UNIVERSITE DE MONTPELLIER	525	0.553
TECHNICAL UNIVERSITY OF DENMARK	519	0.547
PENNSYLVANIA STATE UNIVERSITY	515	0.542
NATIONAL INSTITUTE OF WATER ATMOSPHERIC RESEARCH NIWA NEW ZEALAND	513	0.540
BEIJING NORMAL UNIVERSITY	511	0.538
STATE UNIVERSITY OF NEW YORK SUNY SYSTEM	511	0.538
UNIVERSITY OF CALIFORNIA SANTA BARBARA	499	0.525
UNIVERSITY OF WISCONSIN MADISON	499	0.525
JOHNS HOPKINS UNIVERSITY	495	0.521
DURHAM UNIVERSITY	491	0.517
HOHAI UNIVERSITY	491	0.517
UNIVERSITY OF RHODE ISLAND	489	0.515
CHINA UNIVERSITY OF GEOSCIENCES	486	0.512
PENNSYLVANIA STATE UNIVERSITY UNIVERSITY PARK	477	0.502
ENVIRONMENT CLIMATE CHANGE CANADA	469	0.494
GNS SCIENCE NEW ZEALAND	469	0.494
COLORADO STATE UNIVERSITY	454	0.478
UNIVERSITY OF MASSACHUSETTS SYSTEM	451	0.475
UNIVERSITY OF BRITISH COLUMBIA	449	0.473
STOCKHOLM UNIVERSITY	448	0.472
BJERKNES CENTRE FOR CLIMATE RESEARCH	447	0.471
TECHNICAL UNIVERSITY OF MUNICH	446	0.470
CNRS INSTITUTE OF ECOLOGY ENVIRONMENT INEE	445	0.469
HARVARD UNIVERSITY	444	0.468
UNIVERSITY OF CALIFORNIA BERKELEY	441	0.464
IMPERIAL COLLEGE LONDON	439	0.462
POLYTECHNIC UNIVERSITY OF CATALONIA	437	0.460
CSIC CENTRO MEDITERRANEO DE INVESTIGACIONES MARINAS Y AMBIENTALES CMIMA	431	0.454
INRAE	431	0.454
UNIVERSITY OF MICHIGAN	429	0.452
UNIVERSITY OF MICHIGAN SYSTEM	429	0.452
INSTITUTE OF GEODESY GEOPHYSICS CAS	424	0.446
SUN YAT SEN UNIVERSITY	413	0.435
CSIC INSTITUTO DE CIENCIAS DEL MAR ICM	412	0.434
NATIONAL TAIWAN UNIVERSITY	412	0.434
UNIVERSITY OF EXETER	412	0.434
CURTIN UNIVERSITY	410	0.432
UNITED STATES DEPARTMENT OF AGRICULTURE USDA	410	0.432
UNIVERSITY OF COPENHAGEN	409	0.431
METEO FRANCE	406	0.428
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO	402	0.423
UNIVERSITY OF EAST ANGLIA	402	0.423
UNIVERSITY OF WESTERN AUSTRALIA	401	0.422
THE INSTITUTE OF REMOTE SENSING DIGITAL EARTH CAS	400	0.421
UNIVERSITY OF MAINE SYSTEM	399	0.420
DALHOUSIE UNIVERSITY	398	0.419
UNIVERSITY OF MELBOURNE	398	0.419
UNIVERSITY OF VICTORIA	398	0.419
INSTITUT NATIONAL POLYTECHNIQUE DE GRENOBLE	393	0.414
UNIVERSITY OF MAINE ORONO	389	0.410
LOS ALAMOS NATIONAL LABORATORY	383	0.403
UNIVERSIDADE DE SAO PAULO	382	0.402
ISTITUTO DI SCIENZE MARINE ISMAR CNR	380	0.400
