Authors	Record Count	% of 94,965
Wang J	271	0.285
Zhang Y	264	0.278
Liu Y	254	0.267
Wang Y	241	0.254
Chapron B	234	0.246
Zhang J	230	0.242
Li J	222	0.234
Li Y	215	0.226
Wang H	211	0.222
Wang L	204	0.215
Shum CK	197	0.207
Camps A	195	0.205
Van Den Broeke MR	191	0.201
Wang DX	190	0.200
Wang Q	188	0.198
Cazenave A	181	0.191
Chen J	176	0.185
Wang F	166	0.175
Li Z	165	0.174
Mcwilliams JC	165	0.174
Qiu B	164	0.173
Chen G	158	0.166
Li X	157	0.165
Rignot E	156	0.164
Zhang H	153	0.161
Jin SG	152	0.160
Wang C	151	0.159
Wang X	149	0.157
Li L	148	0.156
Zhang L	148	0.156
Mcphaden MJ	144	0.152
Liu X	142	0.150
Liu L	141	0.148
Chen X	136	0.143
Stammer D	135	0.142
Xie SP	132	0.139
Zhang B	132	0.139
Siegert MJ	131	0.138
Li M	130	0.137
Liu J	129	0.136
Park H	127	0.134
Zhang Q	126	0.133
Du Y	125	0.132
Feng M	125	0.132
Frappart F	120	0.126
Dowdeswell JA	119	0.125
Li H	119	0.125
Bamber JL	117	0.123
Chen JL	117	0.123
Yang Y	117	0.123
Zhang R	116	0.122
Andersen OB	115	0.121
Lee H	114	0.120
Wu LX	114	0.120
Morlighem M	113	0.119
Zhang X	113	0.119
Gille ST	112	0.118
Fettweis X	111	0.117
Hoteit I	111	0.117
Li Q	110	0.116
Ponte RM	109	0.115
Wunsch C	109	0.115
Zhu J	109	0.115
Joughin I	108	0.114
Madec G	107	0.113
Pascual A	107	0.113
Bates PD	106	0.112
Lutjeharms JRE	104	0.110
Nerem RS	104	0.110
Shepherd A	104	0.110
Remy F	103	0.108
Chen W	102	0.107
Kumar R	102	0.107
Li W	102	0.107
Muller RD	102	0.107
Yang L	102	0.107
Chen Y	101	0.106
Fricker HA	101	0.106
Guo JY	101	0.106
Kumar A	101	0.106
Kusche J	101	0.106
Lee T	101	0.106
Verron J	101	0.106
Le Traon PY	100	0.105
Berthier E	99	0.104
Gordon AL	99	0.104
Griffies SM	99	0.104
Menemenlis D	99	0.104
Xu Y	99	0.104
Garabato ACN	98	0.103
Ray RD	98	0.103
Papa F	97	0.102
Ardhuin F	96	0.101
Calmant S	96	0.101
Sun J	96	0.101
Kwok R	95	0.100
Featherstone WE	94	0.099
Heywood KJ	94	0.099
Li F	94	0.099
Liu Q	94	0.099
Meredith MP	94	0.099
Wang B	94	0.099
Woodworth PL	94	0.099
Johnson GC	93	0.098
Tenzer R	93	0.098
Forsberg R	92	0.097
Fu LL	92	0.097
Li YL	92	0.097
Sprintall J	92	0.097
Blankenship DD	91	0.096
Heimbach P	91	0.096
Liu H	91	0.096
Perrie W	91	0.096
Dong CM	90	0.095
Lenaerts JTM	90	0.095
Marcos M	90	0.095
Sasaki H	90	0.095
Liu HL	89	0.094
King MA	88	0.093
Reverdin G	88	0.093
Wahr J	88	0.093
Yang J	88	0.093
Biastoch A	87	0.092
Liu ZY	87	0.092
Box JE	86	0.091
Hughes CW	86	0.091
Li XF	86	0.091
Rintoul SR	86	0.091
Gohl K	85	0.090
He YJ	85	0.090
Hillenbrand CD	85	0.090
Lee S	85	0.090
Vaughan DG	85	0.090
Wang M	85	0.090
Chai F	84	0.088
Wang W	84	0.088
Ishii M	83	0.087
Jenkins A	83	0.087
Marshall J	83	0.087
Sharma R	83	0.087
Chassignet EP	82	0.086
England MH	82	0.086
Haas C	82	0.086
Larter RD	82	0.086
Lumpkin R	82	0.086
Mannucci AJ	82	0.086
Merrifield MA	82	0.086
Poulain PM	82	0.086
Tapley BD	82	0.086
Weisberg RH	82	0.086
Wilson CR	82	0.086
Zuber MT	82	0.086
Chen Q	81	0.085
Lee J	81	0.085
Li C	81	0.085
Church JA	80	0.084
Di Lorenzo E	80	0.084
Liu SY	80	0.084
Masina S	80	0.084
Nicholls RJ	80	0.084
Tintore J	80	0.084
Zhao W	80	0.084
Alford MH	79	0.083
Arbic BK	79	0.083
Chen L	79	0.083
Fujii Y	79	0.083
Gao Y	79	0.083
Prigent C	79	0.083
Vialard J	79	0.083
Zhang W	79	0.083
Zhang YL	79	0.083
Hogg AM	78	0.082
Li ZW	78	0.082
Ravichandran M	78	0.082
Scambos TA	78	0.082
Alley RB	77	0.081
Cardellach E	77	0.081
Carton X	77	0.081
Chen XY	77	0.081
Johns WE	77	0.081
Park J	77	0.081
Qiao FL	77	0.081
Chelton DB	76	0.080
Chen C	76	0.080
Dijkstra HA	76	0.080
Ferrari R	76	0.080
Han WQ	76	0.080
Kohler J	76	0.080
Lemoine FG	76	0.080
Li S	76	0.080
Li ZJ	76	0.080
Li ZQ	76	0.080
Mercier H	76	0.080
Quartly GD	76	0.080
Wang ZM	76	0.080
Zhang C	76	0.080
Zhao J	76	0.080
Barnier B	75	0.079
Chambers DP	75	0.079
Horton BP	75	0.079
Hurlburt HE	75	0.079
Speich S	75	0.079
Wang XH	75	0.079
Cretaux JF	74	0.078
Famiglietti JS	74	0.078
Li T	74	0.078
Schuh H	74	0.078
Smith LC	74	0.078
Bromwich DH	73	0.077
Chen H	73	0.077
Doney SC	73	0.077
Fox-kemper B	73	0.077
Mouginot J	73	0.077
Peltier WR	73	0.077
Satake K	73	0.077
Seroussi H	73	0.077
Wang YQ	73	0.077
Yang K	73	0.077
Zhang F	73	0.077
Zhang Z	73	0.077
Dehant V	72	0.076
Jokat W	72	0.076
Kaab A	72	0.076
Li JC	72	0.076
Lin J	72	0.076
Lorenz RD	72	0.076
Ma Y	72	0.076
Piola AR	72	0.076
Smith DE	72	0.076
Spada G	72	0.076
Bolch T	71	0.075
Chao Y	71	0.075
Liu C	71	0.075
Losada IJ	71	0.075
Moore AM	71	0.075
Ozgokmen TM	71	0.075
Ramillien G	71	0.075
Thomas M	71	0.075
Xu XY	71	0.075
Benveniste J	70	0.074
Chao BF	70	0.074
Han GQ	70	0.074
Liu QY	70	0.074
Liu YG	70	0.074
Meyssignac B	70	0.074
Padman L	70	0.074
Pattyn F	70	0.074
Rodell M	70	0.074
Sandwell DT	70	0.074
Soares CG	70	0.074
Solomon SC	70	0.074
Tian JW	70	0.074
Van De Wal RSW	70	0.074
Wang YH	70	0.074
Yang H	70	0.074
Cheng X	69	0.073
Ciais P	69	0.073
Coleman R	69	0.073
Dewitte B	69	0.073
Hu JY	69	0.073
Hwang C	69	0.073
Lengaigne M	69	0.073
