Funding Agencies	Record Count	% of 94,965
National Natural Science Foundation Of China Nsfc	9849	10.371
National Science Foundation Nsf	9060	9.540
Uk Research Innovation Ukri	5412	5.699
Natural Environment Research Council Nerc	4985	5.249
National Aeronautics Space Administration Nasa	4585	4.828
European Commission	4516	4.755
Nsf Directorate For Geosciences Geo	2473	2.604
German Research Foundation Dfg	1860	1.959
Ministry Of Education Culture Sports Science And Technology Japan Mext	1835	1.932
National Oceanic Atmospheric Admin Noaa Usa	1768	1.862
Chinese Academy Of Sciences	1732	1.824
Office Of Naval Research	1535	1.616
National Basic Research Program Of China	1489	1.568
Australian Research Council	1466	1.544
Japan Society For The Promotion Of Science	1461	1.538
Natural Sciences And Engineering Research Council Of Canada Nserc	1377	1.450
French National Research Agency Anr	1341	1.412
National Key Research And Development Program Of China	1320	1.390
Centre National D Etudes Spatiales	1205	1.269
Spanish Government	1067	1.124
United States Department Of Energy Doe	1016	1.070
Grants In Aid For Scientific Research Kakenhi	975	1.027
Fundamental Research Funds For The Central Universities	907	0.955
Federal Ministry Of Education Research Bmbf	827	0.871
European Space Agency	818	0.861
National Key R D Program Of China	802	0.845
Russian Foundation For Basic Research Rfbr	792	0.834
Australian Government	787	0.829
Conselho Nacional De Desenvolvimento Cientifico E Tecnologico Cnpq	756	0.796
China Scholarship Council	713	0.751
Cgiar	663	0.698
Centre National De La Recherche Scientifique Cnrs	637	0.671
Portuguese Foundation For Science And Technology	566	0.596
Research Council Of Norway	564	0.594
European Research Council Erc	548	0.577
Coordenacao De Aperfeicoamento De Pessoal De Nivel Superior Capes	541	0.570
China Postdoctoral Science Foundation	540	0.569
Russian Science Foundation Rsf	510	0.537
Ministry Of Science And Technology Taiwan	472	0.497
European Commission Joint Research Centre	470	0.495
National High Technology Research And Development Program Of China	434	0.457
Netherlands Organization For Scientific Research Nwo	431	0.454
Department Of Industry Innovation And Science	417	0.439
Consejo Nacional De Ciencia Y Tecnologia Conacyt	410	0.432
Comision Nacional De Investigacion Cientifica Y Tecnologica Conicyt	399	0.420
Engineering Physical Sciences Research Council Epsrc	389	0.410
Swiss National Science Foundation Snsf	372	0.392
Department Of Science Technology India	336	0.354
Conicyt Fondecyt	313	0.330
Helmholtz Association	310	0.326
Ministry Of Education Universities And Research Miur	302	0.318
United States Geological Survey	299	0.315
Cooperative Research Centres Crc Programme	281	0.296
Ministry Of Science And Technology China	279	0.294
Fundacao De Amparo A Pesquisa Do Estado De Sao Paulo Fapesp	278	0.293
Gordon And Betty Moore Foundation	265	0.279
United States Department Of Defense	264	0.278
Royal Society Of London	254	0.267
Commonwealth Scientific Industrial Research Organisation Csiro	231	0.243
Swedish Research Council	218	0.230
Council Of Scientific Industrial Research Csir India	217	0.229
Consejo Nacional De Investigaciones Cientificas Y Tecnicas Conicet	191	0.201
Natural Science Foundation Of Jiangsu Province	188	0.198
Natural Science Foundation Of Shandong Province	186	0.196
United States Department Of Agriculture Usda	182	0.192
Austrian Science Fund Fwf	179	0.188
German Aerospace Centre Dlr	178	0.187
Ifremer	172	0.181
Nsfc Shandong Joint Fund For Marine Science Research Centers	172	0.181
Academy Of Finland	171	0.180
National Research Foundation Of Korea	171	0.180
Leverhulme Trust	164	0.173
Deutscher Akademischer Austausch Dienst Daad	163	0.172
Belgian Federal Science Policy Office	161	0.170
Nsf Directorate For Biological Sciences Bio	156	0.164
Fonds De La Recherche Scientifique Fnrs	154	0.162
The David Lucile Packard Foundation	153	0.161
Hong Kong Research Grants Council	152	0.160
National Geographic Society	150	0.158
Natural Resources Canada	150	0.158
Nsf Office Of The Director Od	150	0.158
Science Technology Facilities Council Stfc	150	0.158
Russian Academy Of Sciences	149	0.157
Royal Society Of New Zealand	136	0.143
Turkiye Bilimsel Ve Teknolojik Arastirma Kurumu Tubitak	136	0.143
Ird	131	0.138
National Program On Global Change And Air Sea Interaction	130	0.137
Canada Research Chairs	126	0.133
Ministry Of Earth Science Moes Government Of India	126	0.133
Ministry Of Education And Science Russian Federation	126	0.133
National Natural Science Foundation Of Guangdong Province	125	0.132
Alexander Von Humboldt Foundation	124	0.131
Canada Foundation For Innovation	124	0.131
National Research Foundation South Africa	124	0.131
National Programme On Global Change And Air Sea Interaction	123	0.130
Projekt Deal	121	0.127
Grant Agency Of The Czech Republic	119	0.125
Anpcyt	118	0.124
Agenzia Spaziale Italiana Asi	117	0.123
Department For Environment Food Rural Affairs Defra	117	0.123
European Social Fund Esf	116	0.122
Key Special Project For Introduced Talents Team Of Southern Marine Science And Engineering Guangdong Laboratory Guangzhou	116	0.122
Natural Science Foundation Of Zhejiang Province	114	0.120
Fwo	113	0.119
National Key Research And Development Program	112	0.118
New Zealand Foundation For Research Science And Technology	108	0.114
