Publication Titles	Record Count	% of 94,965
JOURNAL OF GEOPHYSICAL RESEARCH OCEANS	4756	5.008
GEOPHYSICAL RESEARCH LETTERS	3309	3.484
REMOTE SENSING	2789	2.937
JOURNAL OF PHYSICAL OCEANOGRAPHY	2131	2.244
JOURNAL OF CLIMATE	1335	1.406
JOURNAL OF GEOPHYSICAL RESEARCH SOLID EARTH	1335	1.406
REMOTE SENSING OF ENVIRONMENT	1241	1.307
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING	1002	1.055
GEOPHYSICAL JOURNAL INTERNATIONAL	987	1.039
IEEE INTERNATIONAL SYMPOSIUM ON GEOSCIENCE AND REMOTE SENSING IGARSS	977	1.029
CRYOSPHERE	974	1.026
DEEP SEA RESEARCH PART II TOPICAL STUDIES IN OCEANOGRAPHY	974	1.026
EARTH AND PLANETARY SCIENCE LETTERS	908	0.956
ADVANCES IN SPACE RESEARCH	838	0.882
OCEAN MODELLING	800	0.842
JOURNAL OF GEOPHYSICAL RESEARCH ATMOSPHERES	784	0.826
JOURNAL OF GLACIOLOGY	758	0.798
DEEP SEA RESEARCH PART I OCEANOGRAPHIC RESEARCH PAPERS	744	0.783
CLIMATE DYNAMICS	733	0.772
SCIENTIFIC REPORTS	725	0.763
INTERNATIONAL JOURNAL OF REMOTE SENSING	706	0.743
JOURNAL OF GEODESY	696	0.733
FRONTIERS IN MARINE SCIENCE	681	0.717
PROGRESS IN OCEANOGRAPHY	673	0.709
GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS	666	0.701
JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY	644	0.678
OCEAN DYNAMICS	644	0.678
CONTINENTAL SHELF RESEARCH	642	0.676
JOURNAL OF MARINE SYSTEMS	642	0.676
WATER	593	0.624
OCEAN SCIENCE	585	0.616
JOURNAL OF HYDROLOGY	578	0.609
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING	574	0.604
TECTONOPHYSICS	568	0.598
PLOS ONE	543	0.572
PROCEEDINGS OF SPIE	509	0.536
JOURNAL OF COASTAL RESEARCH	481	0.507
BIOGEOSCIENCES	468	0.493
MARINE GEOLOGY	464	0.489
MARINE ECOLOGY PROGRESS SERIES	444	0.468
WATER RESOURCES RESEARCH	436	0.459
QUATERNARY SCIENCE REVIEWS	434	0.457
MONTHLY WEATHER REVIEW	431	0.454
ACTA OCEANOLOGICA SINICA	428	0.451
INTERNATIONAL ASSOCIATION OF GEODESY SYMPOSIA	424	0.446
JOURNAL OF GEOPHYSICAL RESEARCH SPACE PHYSICS	416	0.438
SCIENCE OF THE TOTAL ENVIRONMENT	414	0.436
JOURNAL OF OCEANOGRAPHY	413	0.435
GLOBAL AND PLANETARY CHANGE	393	0.414
GEOMORPHOLOGY	370	0.390
ESTUARINE COASTAL AND SHELF SCIENCE	364	0.383
ICARUS	364	0.383
JOURNAL OF GEOPHYSICAL RESEARCH EARTH SURFACE	364	0.383
MARINE GEODESY	358	0.377
SENSORS	356	0.375
HYDROLOGY AND EARTH SYSTEM SCIENCES	348	0.366
IEEE GEOSCIENCE AND REMOTE SENSING LETTERS	346	0.364
NATURE COMMUNICATIONS	343	0.361
JOURNAL OF MARINE SCIENCE AND ENGINEERING	334	0.352
ANNALS OF GLACIOLOGY	332	0.350
FRONTIERS IN EARTH SCIENCE	331	0.349
SCIENCE	328	0.345
NATURE	324	0.341
CHINESE JOURNAL OF GEOPHYSICS CHINESE EDITION	315	0.332
PURE AND APPLIED GEOPHYSICS	314	0.331
ENVIRONMENTAL RESEARCH LETTERS	302	0.318
NATURAL HAZARDS	301	0.317
GEOSCIENTIFIC MODEL DEVELOPMENT	291	0.306
JOURNAL OF GEODYNAMICS	274	0.289
OCEANOGRAPHY	274	0.289
INTERNATIONAL JOURNAL OF CLIMATOLOGY	273	0.287
EARTH SCIENCE REVIEWS	268	0.282
TECTONICS	266	0.280
GLOBAL BIOGEOCHEMICAL CYCLES	260	0.274
NATURE GEOSCIENCE	259	0.273
MARINE POLLUTION BULLETIN	254	0.267
QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY	252	0.265
OCEAN ENGINEERING	251	0.264
GEOLOGY	247	0.260
JOURNAL OF GEOPHYSICAL RESEARCH PLANETS	239	0.252
GEOLOGICAL SOCIETY SPECIAL PUBLICATION	224	0.236
HYDROLOGICAL PROCESSES	224	0.236
NATURAL HAZARDS AND EARTH SYSTEM SCIENCES	224	0.236
JOURNAL OF FLUID MECHANICS	219	0.231
ATMOSPHERIC CHEMISTRY AND PHYSICS	217	0.229
PALAEOGEOGRAPHY PALAEOCLIMATOLOGY PALAEOECOLOGY	215	0.226
SURVEYS IN GEOPHYSICS	213	0.224
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	210	0.221
INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION	208	0.219
MARINE AND PETROLEUM GEOLOGY	201	0.212
EARTH PLANETS AND SPACE	199	0.210
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	194	0.204
JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS	193	0.203
RADIO SCIENCE	193	0.203
PLANETARY AND SPACE SCIENCE	192	0.202
OCEANOLOGY	191	0.201
DYNAMICS OF ATMOSPHERES AND OCEANS	189	0.199
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING	189	0.199
JOURNAL OF MARINE RESEARCH	182	0.192
OCEANS IEEE	182	0.192
PALEOCEANOGRAPHY	179	0.188
ATMOSPHERE	178	0.187
RENEWABLE ENERGY	177	0.186
LIMNOLOGY AND OCEANOGRAPHY	174	0.183
ARABIAN JOURNAL OF GEOSCIENCES	173	0.182
JOURNAL OF ASIAN EARTH SCIENCES	173	0.182
GPS SOLUTIONS	171	0.180
NATURE CLIMATE CHANGE	169	0.178
FISHERIES OCEANOGRAPHY	167	0.176
EARTH SYSTEM SCIENCE DATA	166	0.175
COASTAL ENGINEERING	165	0.174
OCEAN COASTAL MANAGEMENT	163	0.172
GEOPHYSICAL MONOGRAPH BOOK SERIES	162	0.171
QUATERNARY INTERNATIONAL	161	0.170
CLIMATIC CHANGE	160	0.168
REVIEWS OF GEOPHYSICS	160	0.168
CURRENT SCIENCE	154	0.162
EARTH SURFACE PROCESSES AND LANDFORMS	154	0.162
COMPUTERS GEOSCIENCES	153	0.161
JOURNAL OF THE ATMOSPHERIC SCIENCES	153	0.161
ICES JOURNAL OF MARINE SCIENCE	152	0.160
IEEE ACCESS	152	0.160
SCIENCE CHINA EARTH SCIENCES	152	0.160
GEOSCIENCES	151	0.159
JOURNAL OF APPLIED REMOTE SENSING	149	0.157
ENVIRONMENTAL EARTH SCIENCES	148	0.156
ADVANCES IN ATMOSPHERIC SCIENCES	147	0.155
IZVESTIYA ATMOSPHERIC AND OCEANIC PHYSICS	147	0.155
JOURNAL OF OPERATIONAL OCEANOGRAPHY	147	0.155
