出版年	记录	% of 237,094 （施引次数）
2021	28971	10.468
2020	24750	9.375
2019	23071	8.631
2018	18671	7.459
2017	16075	6.639
2016	16342	6.684
2015	13781	5.816
2014	13584	5.563
2013	10677	4.853
2012	9825	4.443
2011	8544	3.829
2010	7299	3.340
2009	6139	3.026
2008	5324	2.701
2007	4526	2.377
2006	4048	2.070
2005	3269	1.868
2004	3041	1.639
2003	2589	1.449
2002	2520	1.421
2001	1880	0.957
2000	1304	0.780
1999	1304	0.706
1998	1145	0.519
1997	1097	0.449
1996	716	0.344
1995	827	0.331
1994	605	0.264
1993	287	0.166
1992	204	0.114
1991	170	0.091
1990	123	0.057
1989	87	0.049
1988	94	0.042
1987	85	0.041
1986	95	0.048
1985	58	0.020
1984	74	0.037
1983	97	0.019
1982	33	0.004
1981	16	0
1980	19	0
1979	26	0
1978	9	0
1977	1	0
1976	2	0
1975	2	0
1974	3	0
1973	0	0
1972	0	0
1971	1	0
1970	0	0


(0 记录 (0.000%) 不包含所分析字段的数据。)
