Affiliations	Record Count	% of 1,493
CHINESE ACADEMY OF SCIENCES	629	42.130
UNIVERSITY OF CHINESE ACADEMY OF SCIENCES CAS	225	15.070
WUHAN UNIVERSITY	168	11.253
OCEAN UNIVERSITY OF CHINA	157	10.516
STATE OCEANIC ADMINISTRATION	140	9.377
INSTITUTE OF GEODESY GEOPHYSICS CAS	107	7.167
INSTITUTE OF OCEANOLOGY CAS	84	5.626
SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY CAS	83	5.559
MINIST NAT RESOURCES	67	4.488
SHANDONG UNIVERSITY OF SCIENCE TECHNOLOGY	67	4.488
QINGDAO NATL LAB MARINE SCI TECHNOL	66	4.421
HOHAI UNIVERSITY	63	4.220
OHIO STATE UNIVERSITY	51	3.416
NANJING UNIVERSITY OF INFORMATION SCIENCE TECHNOLOGY	50	3.349
THE INSTITUTE OF REMOTE SENSING DIGITAL EARTH CAS	50	3.349
NATIONAL SPACE SCIENCE CENTER CAS	47	3.148
SHANGHAI ASTRONOMICAL OBSERVATORY CAS	41	2.746
TSINGHUA UNIVERSITY	39	2.612
NATIONAL AERONAUTICS SPACE ADMINISTRATION NASA	38	2.545
UNIVERSITY OF CALIFORNIA SYSTEM	38	2.545
CHINA UNIVERSITY OF GEOSCIENCES	36	2.411
HELMHOLTZ ASSOCIATION	35	2.344
XIAMEN UNIVERSITY	35	2.344
INSTITUTE OF ATMOSPHERIC PHYSICS CAS	32	2.143
UNIVERSITY SYSTEM OF MARYLAND	32	2.143
HONG KONG POLYTECHNIC UNIVERSITY	31	2.076
BEIJING NORMAL UNIVERSITY	30	2.009
NATL SATELLITE OCEAN APPLICAT SERV	30	2.009
UNIVERSITY OF MARYLAND COLLEGE PARK	30	2.009
UNIVERSITY OF TEXAS SYSTEM	30	2.009
TONGJI UNIVERSITY	29	1.942
BEIHANG UNIVERSITY	28	1.875
UNIVERSITY OF HAWAII SYSTEM	27	1.808
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	26	1.741
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD	26	1.741
NASA JET PROPULSION LABORATORY JPL	24	1.608
NATIONAL YANG MING CHIAO TUNG UNIVERSITY	24	1.608
CALIFORNIA INSTITUTE OF TECHNOLOGY	23	1.541
CHINA UNIVERSITY OF PETROLEUM	23	1.541
INSTITUTE OF TIBETAN PLATEAU RESEARCH CAS	23	1.541
TECHNICAL UNIVERSITY OF DENMARK	22	1.474
UNIVERSITY OF HAWAII MANOA	22	1.474
ZHEJIANG UNIVERSITY	22	1.474
FISHERIES OCEANS CANADA	21	1.407
