Authors	Record Count	% of 1,493
Chen G	51	3.416
Shum CK	44	2.947
Guo JY	41	2.746
Xu K	33	2.210
Lin MS	27	1.808
Zhang J	27	1.808
Ma Y	22	1.474
Wang J	22	1.474
Wang L	22	1.474
Li S	21	1.407
Tong XH	21	1.407
Wang F	21	1.407
Yang L	21	1.407
Jin SG	20	1.340
Li F	20	1.340
Liu X	20	1.340
Liu Y	20	1.340
Lu Y	20	1.340
Qiu B	20	1.340
Song CQ	20	1.340
Wang H	20	1.340
Xie H	20	1.340
Xu XY	20	1.340
Li JC	19	1.273
Hwang C	18	1.206
Ke LH	18	1.206
Li GY	18	1.206
Tang XM	18	1.206
Wang C	18	1.206
Zhang Y	18	1.206
Zhu JH	18	1.206
Li J	17	1.139
Li Y	17	1.139
Xu Q	17	1.139
Yang DK	17	1.139
Hu JY	16	1.072
Li Z	16	1.072
Wang DX	16	1.072
Wang X	16	1.072
Wang Y	16	1.072
Zhou XH	16	1.072
Zhu J	16	1.072
Zhu XH	16	1.072
Andersen OB	15	1.005
Chen CT	15	1.005
Cheng YC	15	1.005
Du Y	15	1.005
Jin TY	15	1.005
Xu Y	15	1.005
Yuan JJ	15	1.005
Han GQ	14	0.938
Kuo CY	14	0.938
Li L	14	0.938
Qi YQ	14	0.938
Yang JG	14	0.938
Zhang ZZ	14	0.938
Zheng QA	14	0.938
Bao LF	13	0.871
Fok HS	13	0.871
Guo W	13	0.871
Hou YJ	13	0.871
Jia YJ	13	0.871
Tseng KH	13	0.871
Wang Q	13	0.871
Wang XH	13	0.871
Xie JF	13	0.871
Zhao J	13	0.871
Chang XT	12	0.804
Chen DK	12	0.804
Dong CM	12	0.804
Jiang MF	12	0.804
Li H	12	0.804
Li M	12	0.804
Li X	12	0.804
Liu SJ	12	0.804
Tenzer R	12	0.804
Wang ZM	12	0.804
Wu YH	12	0.804
Xi XH	12	0.804
Yang JS	12	0.804
Yi YC	12	0.804
Zhang WH	12	0.804
Cheng X	11	0.737
Gao F	11	0.737
Ke CQ	11	0.737
Liu HG	11	0.737
Liu J	11	0.737
Liu P	11	0.737
Liu R	11	0.737
Liu YL	11	0.737
Wang CY	11	0.737
Zhai WL	11	0.737
Zhang SJ	11	0.737
Zhang SK	11	0.737
Zhu CC	11	0.737
Chapron B	10	0.670
Chen X	10	0.670
Gao XM	10	0.670
Guo J	10	0.670
Huang XQ	10	0.670
Jiang WP	10	0.670
Liu HL	10	0.670
Liu ZQ	10	0.670
Peng HL	10	0.670
Shi HL	10	0.670
Sun WK	10	0.670
Wan XY	10	0.670
Wang HS	10	0.670
Wang JD	10	0.670
Wickert J	10	0.670
Xu N	10	0.670
Xu YS	10	0.670
Yuan YB	10	0.670
Zhang X	10	0.670
Zhang YG	10	0.670
Chen JL	9	0.603
Chen L	9	0.603
Chen N	9	0.603
Li BB	9	0.603
Li SQ	9	0.603
Li WQ	9	0.603
Li YL	9	0.603
Li ZS	9	0.603
Li ZW	9	0.603
Liao JJ	9	0.603
Lin XP	9	0.603
Luo ZC	9	0.603
Nie S	9	0.603
Wang GH	9	0.603
Wang XY	9	0.603
Xie HJ	9	0.603
Xu C	9	0.603
Yi S	9	0.603
Zhang B	9	0.603
Zhang YH	9	0.603
Zhang ZJ	9	0.603
Zheng W	9	0.603
Zhou H	9	0.603
Chao NF	8	0.536
Chen J	8	0.536
Chen P	8	0.536
Chu XQ	8	0.536
Gong P	8	0.536
He YJ	8	0.536
Hu DX	8	0.536
Jiang JS	8	0.536
Li JY	8	0.536
Liu K	8	0.536
Mo F	8	0.536
Sun GQ	8	0.536
Tian JW	8	0.536
Wang B	8	0.536
Wang HH	8	0.536
Wang YH	8	0.536
Wang ZT	8	0.536
Wang ZZ	8	0.536
Wu F	8	0.536
Xu HZ	8	0.536
Xu TH	8	0.536
Xue HJ	8	0.536
Yan XH	8	0.536
Yang Y	8	0.536
Yang YD	8	0.536
Yu KG	8	0.536
Zhang G	8	0.536
Zhou L	8	0.536
Cai SQ	7	0.469
Chen GX	7	0.469
Chen H	7	0.469
Chen JY	7	0.469
Chen T	7	0.469
Cheng XH	7	0.469
Cui W	7	0.469
Ferreira VG	7	0.469
Fu YG	7	0.469
He YH	7	0.469
Hu XG	7	0.469
Huang B	7	0.469
Huang Q	7	0.469
Ji B	7	0.469
Lee H	7	0.469
Liu CY	7	0.469
Liu L	7	0.469
Liu QH	7	0.469
Liu W	7	0.469
Liu YX	7	0.469
Long D	7	0.469
Niu YP	7	0.469
Semmling M	7	0.469
Wang HZ	7	0.469
Wang JB	7	0.469
Wang NB	7	0.469
Wang NZ	7	0.469
Wang W	7	0.469
Wang XD	7	0.469
Wang XW	7	0.469
Wilson CR	7	0.469
Wu D	7	0.469
Xie LL	7	0.469
Xie SP	7	0.469
Yan LH	7	0.469
Yang J	7	0.469
Yang SB	7	0.469
Yu FJ	7	0.469
Zhang ZG	7	0.469
Zhang ZY	7	0.469
Zhao F	7	0.469
Zhao QL	7	0.469
Zhu L	7	0.469
Zhuang W	7	0.469
Bauer-gottwein P	6	0.402
Cao CX	6	0.402
Chen MX	6	0.402
Chen XY	6	0.402
Dai J	6	0.402
E DC	6	0.402
Fan CQ	6	0.402
Gao JY	6	0.402
Gao YG	6	0.402
Hai G	6	0.402
Hong Y	6	0.402
Hsu HT	6	0.402
Huang DJ	6	0.402
Hwang CW	6	0.402
Jevrejeva S	6	0.402
Jia LL	6	0.402
Jia YY	6	0.402
Jiang HY	6	0.402
Jiang LG	6	0.402
Kong QL	6	0.402
Li JX	6	0.402
Li W	6	0.402
Li XD	6	0.402
Li XP	6	0.402
Li ZJ	6	0.402
Liu QY	6	0.402
Liu SW	6	0.402
Lv XQ	6	0.402
Ma CY	6	0.402
Qiao FL	6	0.402
Shen H	6	0.402
Shi P	6	0.402
Shu S	6	0.402
Su XL	6	0.402
Sun J	6	0.402
Sun M	6	0.402
Sun ZY	6	0.402
Tang QH	6	0.402
Wan JZ	6	0.402
Wang QY	6	0.402
Wu P	6	0.402
Wu XR	6	0.402
Wu ZL	6	0.402
Xiao F	6	0.402
Xing YQ	6	0.402
Yang XB	6	0.402
Yu XF	6	0.402
Zhang GQ	6	0.402
Zhang R	6	0.402
Zhang XH	6	0.402
Zhao W	6	0.402
Zhao YL	6	0.402
Zhou P	6	0.402
Abulaitijiang A	5	0.335
Annan RF	5	0.335
Bai WH	5	0.335
Bian SF	5	0.335
Braun A	5	0.335
Cazenave A	5	0.335
Chen YL	5	0.335
Chi H	5	0.335
Chu YH	5	0.335
Ding XL	5	0.335
Duan JB	5	0.335
Feng GP	5	0.335
Frappart F	5	0.335
Gao L	5	0.335
Geng T	5	0.335
Guo XY	5	0.335
Han YL	5	0.335
He XF	5	0.335
Hong ZH	5	0.335
Hu MZ	5	0.335
Hu ZY	5	0.335
Huang C	5	0.335
Huang GH	5	0.335
Huang HB	5	0.335
Huang J	5	0.335
Huang RX	5	0.335
Huang Y	5	0.335
Iz HB	5	0.335
Jiang LM	5	0.335
Jing CS	5	0.335
Li GS	5	0.335
Li Q	5	0.335
Li RX	5	0.335
Li XH	5	0.335
Lin PF	5	0.335
Liu B	5	0.335
Liu C	5	0.335
Liu QX	5	0.335
Liu XY	5	0.335
Luo SZ	5	0.335
Ma CF	5	0.335
Meng JM	5	0.335
Miao HL	5	0.335
Mu DP	5	0.335
Nakamura H	5	0.335
Ouyang YZ	5	0.335
Pan DL	5	0.335
Peng SQ	5	0.335
Qi P	5	0.335
