Funding Agencies	Record Count	% of 1,493
National Natural Science Foundation Of China Nsfc	843	56.463
National Basic Research Program Of China	152	10.181
Chinese Academy Of Sciences	141	9.444
National Key Research And Development Program Of China	111	7.435
Fundamental Research Funds For The Central Universities	93	6.229
National Key R D Program Of China	78	5.224
National High Technology Research And Development Program Of China	61	4.086
China Postdoctoral Science Foundation	53	3.550
China Scholarship Council	52	3.483
National Science Foundation Nsf	47	3.148
National Aeronautics Space Administration Nasa	30	2.009
National Programme On Global Change And Air Sea Interaction	26	1.741
Ministry Of Science And Technology China	25	1.674
Natural Science Foundation Of Shandong Province	25	1.674
Nsfc Shandong Joint Fund For Marine Science Research Centers	20	1.340
Natural Environment Research Council Nerc	19	1.273
Uk Research Innovation Ukri	19	1.273
Ministry Of Science And Technology Taiwan	18	1.206
Natural Science Foundation Of Jiangsu Province	17	1.139
Sdust Research Fund	17	1.139
Hong Kong Research Grants Council	16	1.072
Nsf Directorate For Geosciences Geo	16	1.072
Ministry Of Education Culture Sports Science And Technology Japan Mext	15	1.005
National Science And Technology Major Project	14	0.938
European Commission	13	0.871
Grants In Aid For Scientific Research Kakenhi	12	0.804
Japan Society For The Promotion Of Science	12	0.804
Centre National D Etudes Spatiales	10	0.670
National Science Fund For Distinguished Young Scholars	10	0.670
European Space Agency	9	0.603
Key Laboratory Of Geospace Environment And Geodesy Ministry Of Education Wuhan University	9	0.603
Marine Public Welfare Project Of China	9	0.603
Marine S T Fund Of Shandong Province For Pilot National Laboratory For Marine Science And Technology Qingdao	9	0.603
National Key Research And Development Program	9	0.603
National Program On Global Change And Air Sea Interaction	9	0.603
Office Of Naval Research	9	0.603
Public Science And Technology Research Funds Projects Of Ocean	9	0.603
Spanish Government	9	0.603
Australian Research Council	8	0.536
China Geological Survey	8	0.536
Frontier Science And Technology Innovation Project	8	0.536
Ministry Of Science And Technology	8	0.536
State Key Laboratory Of Disaster Reduction In Civil Engineering	8	0.536
State Key Laboratory Of Geo Information Engineering	8	0.536
Global Change And Air Sea Interaction Project	7	0.469
Key Special Project For Introduced Talents Team Of Southern Marine Science And Engineering Guangdong Laboratory Guangzhou	7	0.469
Knowledge Innovation Program Of The Chinese Academy Of Sciences	7	0.469
National Key Research And Development Project Of China	7	0.469
National Key Technology R D Program	7	0.469
Natural Science Foundation Of Zhejiang Province	7	0.469
Scientific Research Fund Of Sio	7	0.469
Ministry Of Education	6	0.402
Ministry Of Education China	6	0.402
National High Resolution Ground Observation System Of China	6	0.402
Natural Science Foundation Of Hubei Province	6	0.402
Natural Science Foundation Of Shanghai	6	0.402
Natural Sciences And Engineering Research Council Of Canada Nserc	6	0.402
Priority Academic Program Development Of Jiangsu Higher Education Institutions Papd	6	0.402
Startup Foundation For Introducing Talent Of Nuist	6	0.402
Thousand Young Talents Program In China	6	0.402
Youth Innovation Promotion Association Cas	6	0.402
Active And Passive Composite Mapping And Application Technology With Visible Infrared And Laser Sensors	5	0.335
Dragon 4 Project	5	0.335
French National Research Agency Anr	5	0.335
Guangdong Special Fund Program For Marine Economy Development	5	0.335
Liaoning Revitalization Talents Program	5	0.335
Ministry Of Education China 111 Project	5	0.335
National Key Ramp D Program Of China	5	0.335
National Key Research Program Of China	5	0.335
National Key Research Program Of China Collaborative Precision Positioning Project	5	0.335
Natural Science Foundation Of Fujian Province	5	0.335
Netherlands Organization For Scientific Research Nwo	5	0.335
Nsfc Innovative Group	5	0.335
Ohio State University S Climate Water And Carbon Program	5	0.335
Opening Foundation Of Hunan Engineering And Research Center Of Natural Resource Investigation And Monitoring	5	0.335
Program For Changjiang Scholars Innovative Research Team In University Pcsirt	5	0.335
Program For New Century Excellent Talents In University Ncet	5	0.335
Public Benefit Scientific Research Project Of China	5	0.335
Qingdao National Laboratory For Marine Science And Technology	5	0.335
Shanghai Pujiang Talent Program Project	5	0.335
Shanghai Science And Technology Commission Project	5	0.335
Shanghai Science Technology Committee	5	0.335
State Key Laboratory Of Geodesy And Earth S Dynamics	5	0.335
State Key Laboratory Of Tropical Oceanography South China Sea Institute Of Oceanology Chinese Academy Of Sciences	5	0.335
Authenticity Validation Technology Of Elevation Accuracy Of The Gf 7 Laser Altimeter	4	0.268
Autonomous And Controllable Special Project For Surveying And Mapping Of China	4	0.268
Basic Scientific Fund For National Public Research Institutes Of China	4	0.268
Dawn Scholar Of Shanghai	4	0.268
German Research Foundation Dfg	4	0.268
Global Change And Air Sea Interaction Program Of China	4	0.268
Global Change Research Program Of China	4	0.268
Headquarters Of University Advancement At National Cheng Kung University Taiwan	4	0.268
Independent Research And Development Start Up Fund Of Qian Xuesen Laboratory Of Space Technology	4	0.268
Innovation Workstation Project Of Science And Technology Commission Of The Central Military Commission	4	0.268
Innovation Workstation Project Of The Science And Technology Commission Of The Central Military Commission	4	0.268
Jiangsu Province Distinguished Professor Project	4	0.268
Key R D Program Of Shandong Province	4	0.268
Major Project Of High Resolution Earth Observation System	4	0.268
Nasg Young Academic Leaders Foundation	4	0.268
National Fund For Basic Surveying And Mapping	4	0.268
Natural Science Foundation Of Anhui Province	4	0.268
Outstanding Youth Foundation Of The China Academy Of Space Technology	4	0.268
Postgraduate Research Practice Innovation Program Of Jiangsu Province	4	0.268
Priority Academic Program Development Of Jiangsu Higher Education Institutions	4	0.268
Program For Innovation Research And Entrepreneurship Team In Jiangsu Province	4	0.268
Project Of State Key Laboratory Of Satellite Ocean Environment Dynamics Second Institute Of Oceanography	4	0.268
Qian Xuesen Lab Dfh Sat Co Joint Research And Development Fund	4	0.268
Science And Technology Innovation Action Plan Program Of Shanghai	4	0.268
Science Technology Commission Of Shanghai Municipality Stcsm	4	0.268
Shanghai Science And Technology Innovation Action Plan Program	4	0.268
Soa	4	0.268
State Oceanic Administration Of China	4	0.268
Youth Science And Technology Innovation Fund Project Of Anhui Province Key Laboratory Of Water Conservancy And Water Resources	4	0.268
Authenticity Validation Technology Of Elevation Accuracy Of Gf 7 Laser Altimeter	3	0.201
Basic Frontier Science Research Program Of Chinese Academy Of Sciences	3	0.201
Beijing Municipal Science Technology Commission	3	0.201
Canadian Space Agency	3	0.201
Cas Chinese Academy Of Sciences 100 Talent Program	3	0.201
Cas Innovative Foundation	3	0.201
Cas Pioneer Hundred Talents Program	3	0.201
China Ocean Mineral Resources Research And Development Association Program	3	0.201
China S National Key Science Program For Global Change Research	3	0.201
Chinese Arctic And Antarctic Administration	3	0.201
Conselho Nacional De Desenvolvimento Cientifico E Tecnologico Cnpq	3	0.201
European Research Council Erc	3	0.201
First Institute Of Oceanography In Ministry Of Natural Resources	3	0.201
Foundation Of China Ocean Mineral Resources Rd Association	3	0.201
High Resolution Remote Sensing Surveying And Mapping Application Demonstration System	3	0.201
High Resolution Remote Sensing Surveying And Mapping Application Program	3	0.201
Hk Science Project	3	0.201
Innovation Academy Of South China Sea Ecology And Environmental Engineering Chinese Academy Of Sciences	3	0.201
Jamstec	3	0.201
K C Wong Education Foundation	3	0.201
Key Research And Development Program Of Shandong Province	3	0.201
