Publication Titles	Record Count	% of 1,493
REMOTE SENSING	145	9.712
IEEE INTERNATIONAL SYMPOSIUM ON GEOSCIENCE AND REMOTE SENSING IGARSS	84	5.626
JOURNAL OF GEOPHYSICAL RESEARCH OCEANS	81	5.425
ACTA OCEANOLOGICA SINICA	65	4.354
CHINESE JOURNAL OF GEOPHYSICS CHINESE EDITION	47	3.148
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING	43	2.880
INTERNATIONAL JOURNAL OF REMOTE SENSING	39	2.612
REMOTE SENSING OF ENVIRONMENT	36	2.411
ADVANCES IN SPACE RESEARCH	25	1.674
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING	25	1.674
PROCEEDINGS OF SPIE	25	1.674
CHINESE JOURNAL OF OCEANOLOGY AND LIMNOLOGY	24	1.608
GEOPHYSICAL RESEARCH LETTERS	24	1.608
SENSORS	23	1.541
JOURNAL OF GEODESY	22	1.474
IEEE GEOSCIENCE AND REMOTE SENSING LETTERS	20	1.340
JOURNAL OF PHYSICAL OCEANOGRAPHY	20	1.340
MARINE GEODESY	20	1.340
SCIENCE CHINA EARTH SCIENCES	18	1.206
2019 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS 2019	16	1.072
CHINESE SCIENCE BULLETIN	16	1.072
OCEAN DYNAMICS	16	1.072
JOURNAL OF OCEANOGRAPHY	15	1.005
INTERNATIONAL ASSOCIATION OF GEODESY SYMPOSIA	14	0.938
FRONTIERS IN EARTH SCIENCE	13	0.871
IGARSS 2018 2018 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	13	0.871
JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY	13	0.871
JOURNAL OF HYDROLOGY	13	0.871
TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES	13	0.871
2016 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	12	0.804
JOURNAL OF OCEANOLOGY AND LIMNOLOGY	12	0.804
WATER	11	0.737
CONTINENTAL SHELF RESEARCH	10	0.670
GLOBAL AND PLANETARY CHANGE	10	0.670
INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION	10	0.670
IOP CONFERENCE SERIES EARTH AND ENVIRONMENTAL SCIENCE	10	0.670
JOURNAL OF APPLIED REMOTE SENSING	10	0.670
SCIENTIFIC REPORTS	10	0.670
GEOPHYSICAL JOURNAL INTERNATIONAL	9	0.603
GPS SOLUTIONS	9	0.603
