Publication Titles	Record Count	% of 805
JOURNAL OF GEOPHYSICAL RESEARCH OCEANS	88	10.932
GEOPHYSICAL RESEARCH LETTERS	56	6.957
CRYOSPHERE	29	3.602
REMOTE SENSING OF ENVIRONMENT	29	3.602
ADVANCES IN SPACE RESEARCH	28	3.478
INTERNATIONAL JOURNAL OF REMOTE SENSING	22	2.733
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING	21	2.609
JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY	18	2.236
JOURNAL OF PHYSICAL OCEANOGRAPHY	17	2.112
REMOTE SENSING	17	2.112
JOURNAL OF GEOPHYSICAL RESEARCH SOLID EARTH	16	1.988
FRONTIERS IN MARINE SCIENCE	13	1.615
WATER RESOURCES RESEARCH	13	1.615
GEOPHYSICAL JOURNAL INTERNATIONAL	12	1.491
JOURNAL OF GLACIOLOGY	12	1.491
OCEAN SCIENCE	12	1.491
DEEP SEA RESEARCH PART II TOPICAL STUDIES IN OCEANOGRAPHY	11	1.366
JOURNAL OF GEODESY	11	1.366
SCIENCE	10	1.242
EARTH AND PLANETARY SCIENCE LETTERS	8	0.994
IEEE INTERNATIONAL SYMPOSIUM ON GEOSCIENCE AND REMOTE SENSING IGARSS	8	0.994
INTERNATIONAL ASSOCIATION OF GEODESY SYMPOSIA	8	0.994
MARINE GEODESY	8	0.994
OCEAN MODELLING	8	0.994
GLOBAL AND PLANETARY CHANGE	7	0.870
IEEE GEOSCIENCE AND REMOTE SENSING LETTERS	7	0.870
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING	7	0.870
JOURNAL OF GEOPHYSICAL RESEARCH EARTH SURFACE	7	0.870
PROGRESS IN OCEANOGRAPHY	7	0.870
DEEP SEA RESEARCH PART I OCEANOGRAPHIC RESEARCH PAPERS	6	0.745
HYDROLOGICAL PROCESSES	6	0.745
JOURNAL OF GEOPHYSICAL RESEARCH ATMOSPHERES	6	0.745
NATURE	6	0.745
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	6	0.745
ADVANCES IN SPACE RESEARCH SERIES	5	0.621
CLIMATE DYNAMICS	5	0.621
EARTH SYSTEM SCIENCE DATA	5	0.621
GEOPHYSICAL JOURNAL OF THE ROYAL ASTRONOMICAL SOCIETY	5	0.621
JOURNAL OF OPERATIONAL OCEANOGRAPHY	5	0.621
OCEAN DYNAMICS	5	0.621
REVIEWS OF GEOPHYSICS	5	0.621
ADVANCES IN WATER RESOURCES	4	0.497
JOURNAL OF CLIMATE	4	0.497
JOURNAL OF GEODYNAMICS	4	0.497
JOURNAL OF HYDROLOGY	4	0.497
MARINE GEOLOGY	4	0.497
NATURE COMMUNICATIONS	4	0.497
ORBIT DETERMINATION AND ANALYSIS	4	0.497
PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON SERIES A MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES	4	0.497
PHYSICS AND CHEMISTRY OF THE EARTH PART A SOLID EARTH AND GEODESY	4	0.497
SURVEYS IN GEOPHYSICS	4	0.497
TECTONOPHYSICS	4	0.497
ANNALS OF GLACIOLOGY	3	0.373
ANNALS OF GLACIOLOGY SERIES	3	0.373
CANADIAN JOURNAL OF REMOTE SENSING	3	0.373
EARTH SCIENCE REVIEWS	3	0.373
GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS	3	0.373
GRAVITY GEOID AND EARTH OBSERVATION	3	0.373
JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS	3	0.373
JOURNAL OF COASTAL RESEARCH	3	0.373
MONTHLY WEATHER REVIEW	3	0.373
NATURE GEOSCIENCE	3	0.373
PROCEEDINGS OF SPIE	3	0.373
QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY	3	0.373
QUATERNARY SCIENCE REVIEWS	3	0.373
SENSORS	3	0.373
SPACE SCIENCE REVIEWS	3	0.373
SURVEY REVIEW	3	0.373
ACTA ASTRONAUTICA	2	0.248
ANNALES GEOPHYSICAE ATMOSPHERES HYDROSPHERES AND SPACE SCIENCES	2	0.248
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	2	0.248
DISCOVERING THE OCEAN FROM SPACE THE UNIQUE APPLICATIONS OF SATELLITE OCEANOGRAPHY	2	0.248
EARTH AND SPACE SCIENCE	2	0.248
ENVIRONMENTAL RESEARCH LETTERS	2	0.248
ERS MISSIONS 20 YEARS OF OBSERVING OF EARTH	2	0.248
ESA SPECIAL PUBLICATIONS	2	0.248
GEOLOGICAL SOCIETY SPECIAL PUBLICATION	2	0.248
GEOPHYSICAL JOURNAL OXFORD	2	0.248
GEOSCIENTIFIC MODEL DEVELOPMENT	2	0.248
GRACE REMOTE SENSING AND GROUND BASED METHODS IN MULTI SCALE HYDROLOGY	2	0.248
HYDROLOGY AND EARTH SYSTEM SCIENCES	2	0.248
IAHS PUBLICATION	2	0.248
IEEE JOURNAL OF OCEANIC ENGINEERING	2	0.248
IGARSS 2003 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM VOLS I VII PROCEEDINGS	2	0.248
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING	2	0.248
JOURNAL OF GEOPHYSICAL RESEARCH SPACE PHYSICS	2	0.248
JOURNAL OF MARINE RESEARCH	2	0.248
JOURNAL OF MARINE SCIENCE AND ENGINEERING	2	0.248
JOURNAL OF MARINE SYSTEMS	2	0.248
NATURE CLIMATE CHANGE	2	0.248
OCEAN ENGINEERING	2	0.248
OCEAN WAVE MEASUREMENT AND ANALYSIS VOLS 1 AND 2	2	0.248
OCEANOGRAPHY	2	0.248
PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING	2	0.248
PHYSICS AND CHEMISTRY OF THE EARTH	2	0.248
