Publication Years	Record Count	% of 805
2020	59	7.329
2018	57	7.081
2019	49	6.087
2015	41	5.093
2010	36	4.472
2014	36	4.472
2021	35	4.348
2017	32	3.975
2006	31	3.851
2012	31	3.851
2009	29	3.602
2013	29	3.602
2002	27	3.354
2011	26	3.230
2003	25	3.106
2007	25	3.106
2016	25	3.106
2008	22	2.733
1995	21	2.609
2001	20	2.484
1998	19	2.360
1999	17	2.112
1994	16	1.988
2005	15	1.863
2000	14	1.739
2004	14	1.739
1996	12	1.491
1993	9	1.118
1997	9	1.118
1991	7	0.870
1988	4	0.497
1992	3	0.373
1985	2	0.248
1987	2	0.248
1989	2	0.248
1980	1	0.124
1984	1	0.124
1986	1	0.124
1990	1	0.124
