Authors	Record Count	% of 805
Cipollini P	50	6.211
Bamber JL	36	4.472
Shepherd A	35	4.348
Quartly GD	34	4.224
Benveniste J	28	3.478
Moore P	27	3.354
Hughes CW	24	2.981
Berry PAM	22	2.733
Wingham DJ	22	2.733
Woodworth PL	20	2.484
Challenor PG	19	2.360
Srokosz MA	19	2.360
Bates PD	18	2.236
Mcmillan M	18	2.236
Passaro M	18	2.236
Vignudelli S	18	2.236
Muir A	17	2.112
Andersen OB	16	1.988
Gommenginger C	16	1.988
Tsamados M	14	1.739
Cazenave A	13	1.615
Abdalla S	12	1.491
Bouffard J	12	1.491
Laxon SW	12	1.491
Ridout A	12	1.491
Shum CK	12	1.491
Bidlot JR	11	1.366
Calafat FM	11	1.366
Laxon S	11	1.366
Marcos M	11	1.366
Siegert MJ	11	1.366
Williams SDP	11	1.366
Chapron B	10	1.242
Cromwell D	10	1.242
Gomez-enri J	10	1.242
Heywood KJ	10	1.242
Jevrejeva S	10	1.242
Wouters B	10	1.242
Armitage TWK	9	1.118
Balmaseda M	9	1.118
Forsberg R	9	1.118
Haines K	9	1.118
Horwath M	9	1.118
Johannessen JA	9	1.118
Knudsen P	9	1.118
Lyard F	9	1.118
Melet A	9	1.118
Meyssignac B	9	1.118
Ridley JK	9	1.118
Ridout AL	9	1.118
Snaith HM	9	1.118
Van Den Broeke MR	9	1.118
Ardhuin F	8	0.994
Church JA	8	0.994
Cotton PD	8	0.994
Cullen R	8	0.994
Farrell SL	8	0.994
Galin N	8	0.994
Gilbert L	8	0.994
Guymer TH	8	0.994
Martin MJ	8	0.994
Meredith MP	8	0.994
Srokosz M	8	0.994
Stammer D	8	0.994
Vaughan DG	8	0.994
Wahr J	8	0.994
Ablain M	7	0.870
Bamber J	7	0.870
Bertino L	7	0.870
Cudlip W	7	0.870
Donlon C	7	0.870
Dowdeswell JA	7	0.870
Fenoglio-marc L	7	0.870
Fernandes MJ	7	0.870
Gommenginger CP	7	0.870
Hernandez F	7	0.870
King MA	7	0.870
Ligtenberg SRM	7	0.870
Palmer MD	7	0.870
Scharroo R	7	0.870
Schumann GJP	7	0.870
Smith RG	7	0.870
Sorensen LS	7	0.870
Tamisiea ME	7	0.870
Tsimplis MN	7	0.870
Woppelmann G	7	0.870
Berry P	6	0.745
Clarizia MP	6	0.745
Dangendorf S	6	0.745
Ehlers S	6	0.745
Flament T	6	0.745
Garabato ACN	6	0.745
Giles KA	6	0.745
Hogg A	6	0.745
Konrad H	6	0.745
Le Traon PY	6	0.745
Lea DJ	6	0.745
Leuliette E	6	0.745
Luthcke SB	6	0.745
Martin-espanol A	6	0.745
Mcadoo D	6	0.745
Mcadoo DC	6	0.745
Nencioli F	6	0.745
Pascual A	6	0.745
Robinson IS	6	0.745
Roca M	6	0.745
Schumann G	6	0.745
Stroeve J	6	0.745
Stroeve JC	6	0.745
Von Schuckmann K	6	0.745
Yi DH	6	0.745
Zwally HJ	6	0.745
Andersen O	5	0.621
Bacon S	5	0.621
Banks CJ	5	0.621
Bauer-gottwein P	5	0.621
Birol F	5	0.621
Bonaduce A	5	0.621
Carnochan S	5	0.621
Challenor P	5	0.621
Dibarboure G	5	0.621
Dinardo S	5	0.621
Domeneghetti A	5	0.621
Domingues CM	5	0.621
Drinkwater MR	5	0.621
Femenias P	5	0.621
Fettweis X	5	0.621
Forootan E	5	0.621
Gourmelen N	5	0.621
Haigh ID	5	0.621
Hogg AE	5	0.621
Krabill WB	5	0.621
Landy JC	5	0.621
Larnicol G	5	0.621
Legeais JF	5	0.621
Llovel W	5	0.621
Nienow P	5	0.621
Olliver JG	5	0.621
Parrinello T	5	0.621
Parsons B	5	0.621
Partington KC	5	0.621
Paul F	5	0.621
Read JF	5	0.621
Schumacher M	5	0.621
Schwatke C	5	0.621
Slangen ABA	5	0.621
Slater T	5	0.621
Smeed DA	5	0.621
Smith WHF	5	0.621
Spada G	5	0.621
Staneva J	5	0.621
Thompson AF	5	0.621
Wilson C	5	0.621
Woodworth P	5	0.621
Allan TD	4	0.497
Alsdorf D	4	0.497
Anderson DLT	4	0.497
Arthern RJ	4	0.497
Baker S	4	0.497
Bingham R	4	0.497
Bingham RJ	4	0.497
Blazquez A	4	0.497
Blundell JR	4	0.497
Boyer T	4	0.497
Brasseur P	4	0.497
