Affiliations	Record Count	% of 805
NERC NATIONAL OCEANOGRAPHY CENTRE	258	32.050
UNIVERSITY OF LONDON	130	16.149
UNIVERSITY COLLEGE LONDON	127	15.776
UNIVERSITY OF SOUTHAMPTON	115	14.286
UNIVERSITY OF BRISTOL	100	12.422
UK RESEARCH INNOVATION UKRI	87	10.807
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	80	9.938
NATIONAL AERONAUTICS SPACE ADMINISTRATION NASA	80	9.938
NATURAL ENVIRONMENT RESEARCH COUNCIL NERC	80	9.938
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD	66	8.199
NERC BRITISH ANTARCTIC SURVEY	60	7.453
EUROPEAN SPACE AGENCY	57	7.081
HELMHOLTZ ASSOCIATION	50	6.211
EUROPEAN CENTRE FOR MEDIUM RANGE WEATHER FORECASTS ECMWF	48	5.963
UNIVERSITE DE TOULOUSE	47	5.839
UNIVERSITE TOULOUSE III PAUL SABATIER	47	5.839
NASA GODDARD SPACE FLIGHT CENTER	45	5.590
UNIVERSITY OF LEEDS	45	5.590
MET OFFICE UK	44	5.466
NATIONAL OCEANIC ATMOSPHERIC ADMIN NOAA USA	44	5.466
LABORATOIRE D ETUDES EN GEOPHYSIQUE ET OCEANOGRAPHIE SPATIALES	42	5.217
NASA JET PROPULSION LABORATORY JPL	42	5.217
CALIFORNIA INSTITUTE OF TECHNOLOGY	41	5.093
UNIVERSITY OF CAMBRIDGE	40	4.969
TECHNICAL UNIVERSITY OF DENMARK	39	4.845
IFREMER	35	4.348
UNIVERSITY OF CALIFORNIA SYSTEM	35	4.348
NEWCASTLE UNIVERSITY UK	32	3.975
ALFRED WEGENER INSTITUTE HELMHOLTZ CENTRE FOR POLAR MARINE RESEARCH	29	3.602
CONSIGLIO NAZIONALE DELLE RICERCHE CNR	29	3.602
OHIO STATE UNIVERSITY	29	3.602
PLYMOUTH MARINE LABORATORY	29	3.602
UNIVERSITY OF COLORADO BOULDER	29	3.602
UNIVERSITY OF COLORADO SYSTEM	29	3.602
UNIVERSITY OF OXFORD	29	3.602
UTRECHT UNIVERSITY	28	3.478
COMMONWEALTH SCIENTIFIC INDUSTRIAL RESEARCH ORGANISATION CSIRO	27	3.354
UNIVERSITY OF READING	27	3.354
DE MONTFORT UNIVERSITY	24	2.981
UNIVERSITY OF CALIFORNIA SAN DIEGO	23	2.857
TECHNICAL UNIVERSITY OF MUNICH	21	2.609
UNIVERSITY OF EDINBURGH	21	2.609
UNIVERSITY SYSTEM OF MARYLAND	20	2.484
CLS	19	2.360
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC	18	2.236
UNIVERSITY OF EAST ANGLIA	18	2.236
UNIVERSITY OF MARYLAND COLLEGE PARK	18	2.236
UNIVERSITY OF TASMANIA	18	2.236
UNIVERSITY OF WASHINGTON	18	2.236
UNIVERSITY OF WASHINGTON SEATTLE	18	2.236
DELFT UNIVERSITY OF TECHNOLOGY	17	2.112
HADLEY CENTRE	17	2.112
UNITED STATES DEPARTMENT OF DEFENSE	16	1.988
UNIVERSITY OF TEXAS SYSTEM	16	1.988
CHINESE ACADEMY OF SCIENCES	15	1.863
HELMHOLTZ CENTER POTSDAM GFZ GERMAN RESEARCH CENTER FOR GEOSCIENCES	15	1.863
UNITED STATES NAVY	15	1.863
UNIVERSITY OF LIVERPOOL	15	1.863
MERCATOR OCEAN	14	1.739
SORBONNE UNIVERSITE	14	1.739
UNIVERSITY OF HAMBURG	14	1.739
UNIVERSITY OF TEXAS AUSTIN	14	1.739
ASTON UNIVERSITY	13	1.615
STATE UNIVERSITY SYSTEM OF FLORIDA	13	1.615
AUSTRALIAN NATIONAL UNIVERSITY	12	1.491
COMMUNAUTE UNIVERSITE GRENOBLE ALPES	12	1.491
CSIC INSTITUTO MEDITERRANEO DE ESTUDIOS AVANZADOS IMEDEA	12	1.491
IMPERIAL COLLEGE LONDON	12	1.491
LANCASTER UNIVERSITY	12	1.491
UNIVERSITE DE PARIS	12	1.491
UNIVERSITE GRENOBLE ALPES UGA	12	1.491
UNIVERSITY OF LEICESTER	12	1.491
WOODS HOLE OCEANOGRAPHIC INSTITUTION	12	1.491
ISTITUTO DI BIOFISICA IBF CNR	11	1.366
NANSEN ENVIRONM REMOTE SENSING CTR	11	1.366
UNIVERSIDADE DO PORTO	11	1.366
UNIVERSITE DE BRETAGNE OCCIDENTALE	11	1.366
INSTITUT UNIVERSITAIRE EUROPEEN DE LA MER IUEM	10	1.242
NAVAL RESEARCH LABORATORY	10	1.242
RUSSIAN ACADEMY OF SCIENCES	10	1.242
UNIVERSIDAD DE CADIZ	10	1.242
UNIVERSITY OF HAWAII SYSTEM	10	1.242
BUREAU OF METEOROLOGY AUSTRALIA	9	1.118
ENVIRONMENT CLIMATE CHANGE CANADA	9	1.118
EUROPEAN ORGANISATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES	9	1.118
NERC NATIONAL CENTRE FOR EARTH OBSERVATION	9	1.118
PSL RESEARCH UNIVERSITY PARIS	9	1.118
STINGER GHAFFARIAN TECHNOLOGIES INC SGT	9	1.118
TECHNISCHE UNIVERSITAT DRESDEN	9	1.118
UNIVERSITAT DE LES ILLES BALEARS	9	1.118
UNIVERSITY OF BONN	9	1.118
UNIVERSITY OF CALIFORNIA IRVINE	9	1.118
UNIVERSITY OF EXETER	9	1.118
UNIVERSITY OF MANCHESTER	9	1.118
UNIVERSITY OF NEW SOUTH WALES SYDNEY	9	1.118
UNIVERSITY OF NOTTINGHAM	9	1.118
AUSTRALIAN ANTARCTIC DIVISION	8	0.994
CNRS NATIONAL INSTITUTE FOR EARTH SCIENCES ASTRONOMY INSU	8	0.994
FISHERIES OCEANS CANADA	8	0.994
GEOMAR HELMHOLTZ CENTER FOR OCEAN RESEARCH KIEL	8	0.994
OREGON STATE UNIVERSITY	8	0.994
THALES GROUP	8	0.994
UNIVERSITY OF CAPE TOWN	8	0.994
UNIVERSITY OF MANITOBA	8	0.994
UNIVERSITY OF NORTH CAROLINA	8	0.994
UNIVERSITY OF SOUTH FLORIDA	8	0.994
CARDIFF UNIVERSITY	7	0.870
COLUMBIA UNIVERSITY	7	0.870
DURHAM UNIVERSITY	7	0.870
