Affiliations	Record Count	% of 1,386
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	828	59.740
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD	698	50.361
UNIVERSITE DE TOULOUSE	517	37.302
UNIVERSITE TOULOUSE III PAUL SABATIER	498	35.931
LABORATOIRE D ETUDES EN GEOPHYSIQUE ET OCEANOGRAPHIE SPATIALES	439	31.674
IFREMER	253	18.254
CNRS NATIONAL INSTITUTE FOR EARTH SCIENCES ASTRONOMY INSU	180	12.987
SORBONNE UNIVERSITE	169	12.193
NATIONAL AERONAUTICS SPACE ADMINISTRATION NASA	153	11.039
UNIVERSITE DE PARIS	140	10.101
CLS	115	8.297
COMMUNAUTE UNIVERSITE GRENOBLE ALPES	94	6.782
UNIVERSITE GRENOBLE ALPES UGA	94	6.782
NASA JET PROPULSION LABORATORY JPL	92	6.638
CTR NATL ETUD SPATIALES	90	6.494
CNES	84	6.061
CALIFORNIA INSTITUTE OF TECHNOLOGY	78	5.628
MUSEUM NATIONAL D HISTOIRE NATURELLE MNHN	77	5.556
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC	76	5.483
UNIVERSITE DE BRETAGNE OCCIDENTALE	73	5.267
EUROPEAN SPACE AGENCY	71	5.123
NASA GODDARD SPACE FLIGHT CENTER	68	4.906
PSL RESEARCH UNIVERSITY PARIS	63	4.545
INSTITUT UNIVERSITAIRE EUROPEEN DE LA MER IUEM	55	3.968
INSTITUT NATIONAL POLYTECHNIQUE DE GRENOBLE	54	3.896
NATIONAL OCEANIC ATMOSPHERIC ADMIN NOAA USA	54	3.896
CSIC INSTITUTO MEDITERRANEO DE ESTUDIOS AVANZADOS IMEDEA	53	3.824
HELMHOLTZ ASSOCIATION	53	3.824
UNIVERSITY OF CALIFORNIA SYSTEM	53	3.824
MERCATOR OCEAN	49	3.535
NERC NATIONAL OCEANOGRAPHY CENTRE	48	3.463
UNIVERSITAT DE LES ILLES BALEARS	48	3.463
UNIVERSITE COTE D AZUR	45	3.247
COLLECTE LOCALISAT SATELLITES	44	3.175
METEO FRANCE	42	3.030
OBSERVATOIRE DE PARIS	41	2.958
OBSERVATOIRE DE LA COTE D AZUR	40	2.886
UNIVERSITE PARIS SACLAY	34	2.453
AIX MARSEILLE UNIVERSITE	33	2.381
COMMONWEALTH SCIENTIFIC INDUSTRIAL RESEARCH ORGANISATION CSIRO	33	2.381
UNIVERSITE GUSTAVE EIFFEL	33	2.381
CONSIGLIO NAZIONALE DELLE RICERCHE CNR	32	2.309
RUSSIAN ACADEMY OF SCIENCES	31	2.237
UNIVERSITY OF CALIFORNIA SAN DIEGO	31	2.237
OHIO STATE UNIVERSITY	30	2.165
INRAE	29	2.092
