Authors	Record Count	% of 1,386
Cazenave A	93	6.710
Chapron B	66	4.762
Remy F	63	4.545
Calmant S	58	4.185
Frappart F	54	3.896
Cretaux JF	51	3.680
Papa F	48	3.463
Le Traon PY	46	3.319
Verron J	43	3.102
Pascual A	42	3.030
Lyard F	38	2.742
Bonnefond P	35	2.525
Birol F	33	2.381
Picot N	32	2.309
Legresy B	31	2.237
Morrow R	31	2.237
Meyssignac B	29	2.092
Tournadre J	29	2.092
Dibarboure G	28	2.020
Seyler F	28	2.020
Ablain M	27	1.948
Brasseur P	27	1.948
Benveniste J	26	1.876
Provost C	25	1.804
Berge-nguyen M	24	1.732
Ardhuin F	23	1.659
Biancamaria S	23	1.659
Rio MH	23	1.659
Vandemark D	23	1.659
Exertier P	22	1.587
Menard Y	22	1.587
Kouraev AV	21	1.515
Prigent C	21	1.515
Bouffard J	20	1.443
Brankart JM	20	1.443
Faugere Y	20	1.443
Woppelmann G	20	1.443
Chaigneau A	19	1.371
Guinehut S	19	1.371
Larnicol G	19	1.371
Bonnet MP	18	1.299
Klein P	18	1.299
Laurain O	18	1.299
Llovel W	18	1.299
Minster JF	18	1.299
Nino F	18	1.299
Shum CK	18	1.299
Vincent P	18	1.299
Biancale R	17	1.227
Blarel F	17	1.227
Cipollini P	17	1.227
Hernandez F	17	1.227
Marcos M	17	1.227
Ruiz S	17	1.227
Becker M	16	1.154
Berthier E	16	1.154
Da Silva JS	16	1.154
Durand F	16	1.154
Gourdeau L	16	1.154
Legeais JF	16	1.154
Pujol MI	16	1.154
Queffeulou P	16	1.154
Quilfen Y	16	1.154
Testut L	16	1.154
Willis P	16	1.154
Arnault S	15	1.082
Fablet R	15	1.082
Femenias P	15	1.082
Tran N	15	1.082
Boy F	14	1.010
Fu LL	14	1.010
Lellouche JM	14	1.010
Melet A	14	1.010
Ramillien G	14	1.010
Rossow WB	14	1.010
Saraceno M	14	1.010
Ubelmann C	14	1.010
Andersen OB	13	0.938
Donlon C	13	0.938
Ferrari R	13	0.938
Garambois PA	13	0.938
Lemoine JM	13	0.938
Park YH	13	0.938
Speich S	13	0.938
Bentamy A	12	0.866
Flament T	12	0.866
Fleury S	12	0.866
Johannessen JA	12	0.866
Letraon PY	12	0.866
Paris A	12	0.866
Remy E	12	0.866
Thibaut P	12	0.866
Artana C	11	0.794
Bailly JS	11	0.794
Benkiran M	11	0.794
Collard F	11	0.794
Cosme E	11	0.794
Eymard L	11	0.794
Gaspar P	11	0.794
Greiner E	11	0.794
Maisongrande P	11	0.794
Mognard NM	11	0.794
Palanisamy H	11	0.794
Passaro M	11	0.794
Perosanz F	11	0.794
Steunou N	11	0.794
Tintore J	11	0.794
Vignudelli S	11	0.794
Aires F	10	0.722
Baghdadi N	10	0.722
Barlier F	10	0.722
Chen G	10	0.722
D'ovidio F	10	0.722
Jeansou E	10	0.722
Le Provost C	10	0.722
Le Sommer J	10	0.722
Leger F	10	0.722
Mazzega P	10	0.722
Mercier F	10	0.722
Mourre B	10	0.722
Prandi P	10	0.722
Roblou L	10	0.722
Sennechael N	10	0.722
Testut CE	10	0.722
Arbic BK	9	0.649
Ballu V	9	0.649
Blumstein D	9	0.649
Boy JP	9	0.649
Garric G	9	0.649
Girard-ardhuin F	9	0.649
Labroue S	9	0.649
Lambin J	9	0.649
Lemoine FG	9	0.649
Mavrocordatos C	9	0.649
Menemenlis D	9	0.649
Penduff T	9	0.649
Piola AR	9	0.649
Qiu B	9	0.649
Raynal M	9	0.649
Schaeffer P	9	0.649
Stegner A	9	0.649
Tison C	9	0.649
Von Schuckmann K	9	0.649
Zakharova EA	9	0.649
Almar R	8	0.577
Barnier B	8	0.577
Bertino L	8	0.577
Cancet M	8	0.577
Carrere L	8	0.577
Darrozes J	8	0.577
De Mey P	8	0.577
Desjonqueres JD	8	0.577
Dominh K	8	0.577
Escudier P	8	0.577
Feng H	8	0.577
Gennero MC	8	0.577
Guinle T	8	0.577
Guntner A	8	0.577
Katsaros K	8	0.577
Knudsen P	8	0.577
Lombard A	8	0.577
Mason E	8	0.577
Molines JM	8	0.577
Monnier J	8	0.577
Mulet S	8	0.577
Quartly GD	8	0.577
Richman JG	8	0.577
Rodriguez E	8	0.577
Sanchez-roman A	8	0.577
Shriver JF	8	0.577
Spada G	8	0.577
Stammer D	8	0.577
Stopa JE	8	0.577
Thouvenot E	8	0.577
Aouf L	7	0.505
Arsen A	7	0.505
Bouin MN	7	0.505
Bruinsma S	7	0.505
Collischonn W	7	0.505
Cravatte S	7	0.505
Delcroix T	7	0.505
Drillet Y	7	0.505
Durand M	7	0.505
Escudier R	7	0.505
Fenoglio-marc L	7	0.505
Getirana ACV	7	0.505
Gomez-navarro L	7	0.505
Horwath M	7	0.505
Jayles C	7	0.505
Kouraev A	7	0.505
Le Gac S	7	0.505
Lettenmaier DP	7	0.505
Marieu V	7	0.505
Martinez JM	7	0.505
Mercier H	7	0.505
Penven P	7	0.505
Pinardi N	7	0.505
Pouliquen S	7	0.505
Samain E	7	0.505
Scott RB	7	0.505
Valladeau G	7	0.505
Balmaseda M	6	0.433
Balmino G	6	0.433
Boone A	6	0.433
Buharizin PI	6	0.433
Cabanes C	6	0.433
Carton X	6	0.433
Caubet E	6	0.433
Dieng HB	6	0.433
Dorandeu J	6	0.433
Elfouhaily T	6	0.433
Ezraty R	6	0.433
Ferry N	6	0.433
Gaillard F	6	0.433
Gaultier L	6	0.433
Guillot A	6	0.433
Haines BJ	6	0.433
Hamon M	6	0.433
Hauser D	6	0.433
Hebert H	6	0.433
Ishii M	6	0.433
Jan G	6	0.433
Larnier K	6	0.433
Le Cozannet G	6	0.433
Lefevre JM	6	0.433
Leuliette E	6	0.433
Lherminier P	6	0.433
Ligtenberg SRM	6	0.433
Llubes M	6	0.433
Luthcke SB	6	0.433
Lutjeharms JRE	6	0.433
Moreau T	6	0.433
Mortier L	6	0.433
Nencioli F	6	0.433
Nerem RS	6	0.433
Obligis E	6	0.433
Pegliasco C	6	0.433
Roca M	6	0.433
Sallee JB	6	0.433
Santoleri R	6	0.433
Schwatke C	6	0.433
Shepherd A	6	0.433
Shu S	6	0.433
Tandeo P	6	0.433
Tourain C	6	0.433
Tranchant B	6	0.433
Woodworth PL	6	0.433
Zanife OZ	6	0.433
Zelensky NP	6	0.433
Andersen O	5	0.361
Ballarotta M	5	0.361
Beckley B	5	0.361
Benjelloun M	5	0.361
Blazquez A	5	0.361
Bonaduce A	5	0.361
Borde F	5	0.361
Bourdalle-badie R	5	0.361
Briais A	5	0.361
Brossier C	5	0.361
Caniaux G	5	0.361
Chambers D	5	0.361
Chen JL	5	0.361
Choquel JB	5	0.361
Church JA	5	0.361
Ciani D	5	0.361
Cochonneau G	5	0.361
Couhert A	5	0.361
Dalphinet A	5	0.361
Del Rio RA	5	0.361
Delecluse P	5	0.361
Delvit JM	5	0.361
Dewitte B	5	0.361
Dodet G	5	0.361
Doglioli AM	5	0.361
Dozortseva J	5	0.361
Dufau C	5	0.361
Dumas F	5	0.361
Fernandes MJ	5	0.361
Fjortoft R	5	0.361
Forsberg R	5	0.361
Gasparin F	5	0.361
Gegout P	5	0.361
