Web of Science Categories	Record Count	% of 1,386
Oceanography	456	32.900
Geosciences Multidisciplinary	431	31.097
Remote Sensing	370	26.696
Meteorology Atmospheric Sciences	255	18.398
Geochemistry Geophysics	239	17.244
Imaging Science Photographic Technology	200	14.430
Environmental Sciences	169	12.193
Engineering Electrical Electronic	112	8.081
Astronomy Astrophysics	90	6.494
Engineering Aerospace	79	5.700
Geography Physical	76	5.483
Water Resources	68	4.906
Marine Freshwater Biology	55	3.968
Engineering Ocean	51	3.680
Multidisciplinary Sciences	23	1.659
Instruments Instrumentation	20	1.443
Engineering Civil	19	1.371
Limnology	13	0.938
Optics	13	0.938
Telecommunications	11	0.794
Ecology	10	0.722
Acoustics	6	0.433
Computer Science Artificial Intelligence	6	0.433
Mathematics Interdisciplinary Applications	6	0.433
Physics Applied	5	0.361
Physics Fluids Plasmas	5	0.361
Engineering Marine	4	0.289
Engineering Multidisciplinary	4	0.289
Environmental Studies	4	0.289
Computer Science Information Systems	3	0.216
Computer Science Interdisciplinary Applications	3	0.216
Mathematics Applied	3	0.216
Physics Mathematical	3	0.216
Computer Science Theory Methods	2	0.144
Geology	2	0.144
Mathematics	2	0.144
Mechanics	2	0.144
Automation Control Systems	1	0.072
Behavioral Sciences	1	0.072
Biology	1	0.072
Chemistry Analytical	1	0.072
Energy Fuels	1	0.072
Engineering Environmental	1	0.072
Evolutionary Biology	1	0.072
Green Sustainable Science Technology	1	0.072
History Philosophy Of Science	1	0.072
Operations Research Management Science	1	0.072
Physics Condensed Matter	1	0.072
Physics Multidisciplinary	1	0.072
Statistics Probability	1	0.072
Zoology	1	0.072
