Funding Agencies	Record Count	% of 1,386
Centre National D Etudes Spatiales	195	14.069
European Commission	118	8.514
French National Research Agency Anr	104	7.504
National Aeronautics Space Administration Nasa	89	6.421
Uk Research Innovation Ukri	73	5.267
Natural Environment Research Council Nerc	70	5.051
Centre National De La Recherche Scientifique Cnrs	55	3.968
National Science Foundation Nsf	50	3.608
European Space Agency	43	3.102
Spanish Government	26	1.876
Office Of Naval Research	22	1.587
Conselho Nacional De Desenvolvimento Cientifico E Tecnologico Cnpq	18	1.299
National Oceanic Atmospheric Admin Noaa Usa	16	1.154
Nsf Directorate For Geosciences Geo	16	1.154
Coordenacao De Aperfeicoamento De Pessoal De Nivel Superior Capes	14	1.010
Ifremer	14	1.010
Ministry Of Research France	14	1.010
Australian Research Council	12	0.866
European Commission Joint Research Centre	12	0.866
Ird	12	0.866
National Natural Science Foundation Of China Nsfc	12	0.866
European Research Council Erc	11	0.794
Cnes Tosca	10	0.722
German Research Foundation Dfg	9	0.649
Russian Foundation For Basic Research Rfbr	9	0.649
Labexmer	8	0.577
Comision Nacional De Investigacion Cientifica Y Tecnologica Conicyt	7	0.505
Conicyt Fondecyt	7	0.505
Japan Society For The Promotion Of Science	7	0.505
Ministry Of Education Culture Sports Science And Technology Japan Mext	7	0.505
Russian Science Foundation Rsf	7	0.505
Chinese Academy Of Sciences	6	0.433
Grants In Aid For Scientific Research Kakenhi	6	0.433
Region Occitanie	6	0.433
Region Provence Alpes Cote D Azur	6	0.433
United States Department Of Energy Doe	6	0.433
Australian Government	5	0.361
China Scholarship Council	5	0.361
Council Of Scientific Industrial Research Csir India	5	0.361
Institut De Recherche Pour Le Developpement Ird	5	0.361
National Key R D Program Of China	5	0.361
Natural Sciences And Engineering Research Council Of Canada Nserc	5	0.361
Sorbonne Universite	5	0.361
Austrian Science Fund Fwf	4	0.289
Cls	4	0.289
Department Of Industry Innovation And Science	4	0.289
Direction Generale De L Armement	4	0.289
European Social Fund Esf	4	0.289
European Union S Horizon 2020 Research And Innovation Programme	4	0.289
Federal Ministry Of Education Research Bmbf	4	0.289
Ird Institut De Recherche Pour Le Developpement	4	0.289
Mercator Ocean	4	0.289
Nasa Swot Mission	4	0.289
National Oceanography Centre Southampton	4	0.289
Region Bretagne	4	0.289
Swot Science Team	4	0.289
Cgiar	3	0.216
Cnes Cls	3	0.216
Cnes S Swot Mission	3	0.216
Cnes Through The Ost St	3	0.216
Commonwealth Scientific Industrial Research Organisation Csiro	3	0.216
Consejo Nacional De Investigaciones Cientificas Y Tecnicas Conicet	3	0.216
Cooperative Research Centres Crc Programme	3	0.216
Copernicus Marine Environment Monitoring Service Cmems Medsub Project	3	0.216
Eu Fp7 Project Swarp	3	0.216
Federal Ministry For Economic Affairs And Energy Bmwi	3	0.216
Financiadora De Inovacao E Pesquisa Finep	3	0.216
Genci Idris	3	0.216
Ipgp	3	0.216
Labex Cominlabs Grant Seacs	3	0.216
Laboratoire D Excellence Labexmer	3	0.216
Ministry Of Education And Science Russian Federation	3	0.216
Ministry Of Education Universities And Research Miur	3	0.216
Ministry Of Research And Technology Of The Republic Of Indonesia Ristek	3	0.216
National Key Research And Development Program Of China	3	0.216
Nio	3	0.216
Nrf	3	0.216
Ohio State University	3	0.216
Ostst Project Manatee	3	0.216
Research Council Of Norway	3	0.216
Russian Academy Of Sciences	3	0.216
Shom	3	0.216
