Publication Titles	Record Count	% of 1,386
JOURNAL OF GEOPHYSICAL RESEARCH OCEANS	161	11.616
GEOPHYSICAL RESEARCH LETTERS	68	4.906
MARINE GEODESY	61	4.401
REMOTE SENSING	59	4.257
ADVANCES IN SPACE RESEARCH	57	4.113
IEEE INTERNATIONAL SYMPOSIUM ON GEOSCIENCE AND REMOTE SENSING IGARSS	53	3.824
JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY	46	3.319
REMOTE SENSING OF ENVIRONMENT	41	2.958
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING	35	2.525
OCEAN SCIENCE	35	2.525
SURVEYS IN GEOPHYSICS	25	1.804
JOURNAL OF MARINE SYSTEMS	22	1.587
JOURNAL OF PHYSICAL OCEANOGRAPHY	22	1.587
OCEAN DYNAMICS	20	1.443
PROGRESS IN OCEANOGRAPHY	20	1.443
FRONTIERS IN MARINE SCIENCE	19	1.371
JOURNAL OF GEOPHYSICAL RESEARCH SOLID EARTH	18	1.299
CRYOSPHERE	17	1.227
GEOPHYSICAL JOURNAL INTERNATIONAL	17	1.227
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING	17	1.227
OCEAN MODELLING	17	1.227
JOURNAL OF GEODESY	16	1.154
COMPTES RENDUS GEOSCIENCE	15	1.082
JOURNAL OF HYDROLOGY	15	1.082
DEEP SEA RESEARCH PART II TOPICAL STUDIES IN OCEANOGRAPHY	13	0.938
GLOBAL AND PLANETARY CHANGE	13	0.938
HYDROLOGY AND EARTH SYSTEM SCIENCES	13	0.938
INTERNATIONAL JOURNAL OF REMOTE SENSING	13	0.938
EARTH SYSTEM SCIENCE DATA	12	0.866
OCEANOLOGICA ACTA	11	0.794
PROCEEDINGS OF SPIE	11	0.794
WATER RESOURCES RESEARCH	11	0.794
DEEP SEA RESEARCH PART I OCEANOGRAPHIC RESEARCH PAPERS	10	0.722
EARTH AND PLANETARY SCIENCE LETTERS	10	0.722
JOURNAL OF OPERATIONAL OCEANOGRAPHY	9	0.649
ACTA ASTRONAUTICA	8	0.577
ENVIRONMENTAL RESEARCH LETTERS	8	0.577
IEEE GEOSCIENCE AND REMOTE SENSING LETTERS	8	0.577
IGARSS 2018 2018 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	8	0.577
INTERNATIONAL ASSOCIATION OF GEODESY SYMPOSIA	8	0.577
JOURNAL OF GEOPHYSICAL RESEARCH ATMOSPHERES	8	0.577
JOURNAL OF GLACIOLOGY	8	0.577
COMPTES RENDUS DE L ACADEMIE DES SCIENCES SERIE II FASCICULE A SCIENCES DE LA TERRE ET DES PLANETES	7	0.505
ADVANCES IN SPACE RESEARCH SERIES	6	0.433
CONTINENTAL SHELF RESEARCH	6	0.433
HYDROLOGICAL SCIENCES JOURNAL JOURNAL DES SCIENCES HYDROLOGIQUES	6	0.433
ICARUS	6	0.433
IGARSS 2003 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM VOLS I VII PROCEEDINGS	6	0.433
IGARSS 2007 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM VOLS 1 12	6	0.433
JOURNAL OF GEODYNAMICS	6	0.433
CLIMATE DYNAMICS	5	0.361
ESA SPECIAL PUBLICATIONS	5	0.361
GEOSCIENTIFIC MODEL DEVELOPMENT	5	0.361
INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION	5	0.361
PURE AND APPLIED GEOPHYSICS	5	0.361
REVIEWS OF GEOPHYSICS	5	0.361
SPACE SCIENCE REVIEWS	5	0.361
2010 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	4	0.289
COASTAL ALTIMETRY	4	0.289
GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS	4	0.289
IGARSS 2001 SCANNING THE PRESENT AND RESOLVING THE FUTURE VOLS 1 7 PROCEEDINGS	4	0.289
INTERNATIONAL ARCHIVES OF THE PHOTOGRAMMETRY REMOTE SENSING AND SPATIAL INFORMATION SCIENCES	4	0.289
JOURNAL OF MARINE RESEARCH	4	0.289
MONTHLY WEATHER REVIEW	4	0.289
NATURE	4	0.289
NATURE COMMUNICATIONS	4	0.289
OCEANOGRAPHY	4	0.289
SCIENTIFIC REPORTS	4	0.289
TECTONOPHYSICS	4	0.289
WATER	4	0.289
2011 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	3	0.216
2014 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	3	0.216
2015 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	3	0.216
2017 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	3	0.216
2019 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS 2019	3	0.216
ANNALES GEOPHYSICAE ATMOSPHERES HYDROSPHERES AND SPACE SCIENCES	3	0.216
ANNALS OF GLACIOLOGY	3	0.216
DYNAMICS OF ATMOSPHERES AND OCEANS	3	0.216
HYDROLOGICAL PROCESSES	3	0.216
IGARSS 2020 2020 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	3	0.216
ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING	3	0.216
JOURNAL OF APPLIED REMOTE SENSING	3	0.216
JOURNAL OF COASTAL RESEARCH	3	0.216
JOURNAL OF GEOPHYSICAL RESEARCH EARTH SURFACE	3	0.216
MARINE POLLUTION BULLETIN	3	0.216
REMOTE SENSING AND WATER RESOURCES	3	0.216
SCIENCE	3	0.216
SCIENCE OF THE TOTAL ENVIRONMENT	3	0.216
SENSORS SYSTEMS AND NEXT GENERATION SATELLITES XIV	3	0.216
SPACE SCIENCE SERIES OF ISSI	3	0.216
TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES	3	0.216
2009 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM VOLS 1 5	2	0.144
ADVANCES IN THE ASTRONAUTICAL SCIENCES	2	0.144
ANNALS OF GLACIOLOGY SERIES	2	0.144
ANNALS OF GLACIOLOGY VOL 39 2004	2	0.144
BIOGEOSCIENCES	2	0.144
BUILDING THE EUROPEAN CAPACITY IN OPERATIONAL OCEANOGRAPHY PROCEEDINGS	2	0.144
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	2	0.144
CLIMATE OF THE PAST	2	0.144
COMPTES RENDUS DE L ACADEMIE DES SCIENCES SERIE II	2	0.144
COMPUTERS GEOSCIENCES	2	0.144
CORAL REEFS	2	0.144
EARTH AND SPACE SCIENCE	2	0.144
ELSEVIER OCEANOGRAPHY SERIES	2	0.144
ERS MISSIONS 20 YEARS OF OBSERVING OF EARTH	2	0.144
ESA BULLETIN EUROPEAN SPACE AGENCY	2	0.144
FLUIDS	2	0.144
GEOMORPHOLOGY	2	0.144
GEOPHYSICAL JOURNAL OF THE ROYAL ASTRONOMICAL SOCIETY	2	0.144
GRACE REMOTE SENSING AND GROUND BASED METHODS IN MULTI SCALE HYDROLOGY	2	0.144
IAG 150 YEARS	2	0.144
IAHS PUBLICATION	2	0.144
IEEE ACCESS	2	0.144
IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE	2	0.144
IGARSS 2000 IEEE 2000 INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM VOL I VI PROCEEDINGS	2	0.144
IGARSS 2002 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM AND 24TH CANADIAN SYMPOSIUM ON REMOTE SENSING VOLS I VI PROCEEDINGS	2	0.144
INGENIERIA E INVESTIGACION	2	0.144
INTERNATIONAL CONFERENCE ON ACOUSTICS SPEECH AND SIGNAL PROCESSING ICASSP	2	0.144
INTERNATIONAL OFFSHORE AND POLAR ENGINEERING CONFERENCE PROCEEDINGS	2	0.144
JOURNAL OF HYDROMETEOROLOGY	2	0.144
MARINE ECOLOGY PROGRESS SERIES	2	0.144
NATURAL HAZARDS	2	0.144
NATURAL HAZARDS AND EARTH SYSTEM SCIENCES	2	0.144
NATURAL HAZARDS AND OCEANOGRAPHIC PROCESSES FROM SATELLITE DATA	2	0.144
NATURE CLIMATE CHANGE	2	0.144
NATURE GEOSCIENCE	2	0.144
NONLINEAR PROCESSES IN GEOPHYSICS	2	0.144
OCEANS 2005 EUROPE VOLS 1 AND 2	2	0.144
ONDE ELECTRIQUE	2	0.144
PHYSICS OF THE EARTH AND PLANETARY INTERIORS	2	0.144
PLANETARY AND SPACE SCIENCE	2	0.144
PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA	2	0.144
QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY	2	0.144
REMOTE SENSING OF THE CHANGING OCEANS	2	0.144
REMOTE SENSING OF THE MARINE ENVIRONMENT	2	0.144
SCIENTIFIC DATA	2	0.144
TECTONICS	2	0.144
2001 IEEE MTT S INTERNATIONAL MICROWAVE SYMPOSIUM DIGEST VOLS 1 3	1	0.072
2006 IEEE MICRORAD	1	0.072
2012 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	1	0.072
2013 MTS IEEE OCEANS BERGEN	1	0.072
2014 INTERNATIONAL RADAR CONFERENCE RADAR	1	0.072
2014 XXXITH URSI GENERAL ASSEMBLY AND SCIENTIFIC SYMPOSIUM URSI GASS	1	0.072
2015 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS SPEECH AND SIGNAL PROCESSING ICASSP	1	0.072
2016 24TH EUROPEAN SIGNAL PROCESSING CONFERENCE EUSIPCO	1	0.072
2016 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	1	0.072
2017 PROGRESS IN ELECTROMAGNETICS RESEARCH SYMPOSIUM SPRING PIERS	1	0.072
2020 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS SPEECH AND SIGNAL PROCESSING	1	0.072
34TH EUROPEAN MICROWAVE CONFERENCE VOLS 1 3 CONFERENCE PROCEEDINGS	1	0.072
36TH INTERNATIONAL SYMPOSIUM ON REMOTE SENSING OF ENVIRONMENT	1	0.072
ACTA OECOLOGICA INTERNATIONAL JOURNAL OF ECOLOGY	1	0.072
ADVANCES IN ATMOSPHERIC SCIENCES	1	0.072
ADVANCES IN WATER RESOURCES	1	0.072
AFRICAN JOURNAL OF MARINE SCIENCE	1	0.072
AIRCRAFT ENGINEERING AND AEROSPACE TECHNOLOGY	1	0.072
ALCATEL TELECOMMUNICATIONS REVIEW	1	0.072
ANIMAL BEHAVIOUR	1	0.072
ANNALES GEOPHYSICAE	1	0.072
ANNALS OF GLACIOLOGY VOL 37	1	0.072
ANNALS OF TELECOMMUNICATIONS ANNALES DES TELECOMMUNICATIONS	1	0.072
ANNUAL REVIEW OF MARINE SCIENCE	1	0.072
ANNUAL REVIEW OF MARINE SCIENCE VOL 5	1	0.072
ANTARCTIC SCIENCE	1	0.072
APPLIED MATHEMATICS AND COMPUTATION	1	0.072
ARABIAN JOURNAL OF GEOSCIENCES	1	0.072
ASTRODYNAMICS 1997	1	0.072
ASTRODYNAMICS 2018 PTS I IV	1	0.072
ATMOSPHERE OCEAN	1	0.072
ATMOSPHERIC CHEMISTRY AND PHYSICS	1	0.072
BULLETIN DES CENTRES DE RECHERCHES EXPLORATION PRODUCTION ELF AQUITAINE	1	0.072
BULLETIN GEODESIQUE	1	0.072
BULLETIN OF THE SEISMOLOGICAL SOCIETY OF AMERICA	1	0.072
CALIBRATION CHARACTERIZATION OF SATELLITE SENSORS PHYSICAL PARAMETERS DERIVED FROM SATELLITE DATA	1	0.072
CELESTIAL MECHANICS DYNAMICAL ASTRONOMY	1	0.072
CEOS SAR WORKSHOP	1	0.072
CLIMATE OF THE MEDITERRANEAN REGION FROM THE PAST TO THE FUTURE	1	0.072
CURRENT SCIENCE	1	0.072
DEEP SEA RESEARCH PART A OCEANOGRAPHIC RESEARCH PAPERS	1	0.072
DYNAMIC PLANET MONITORING AND UNDERSTANDING A DYNAMIC PLANET WITH GEODETIC AND OCEANOGRAPHIC TOOLS	1	0.072
EARTH PLANETS AND SPACE	1	0.072
EARTH SCIENCE REVIEWS	1	0.072
EARTH SCIENCES HISTORY	1	0.072
ELECTRONICS LETTERS	1	0.072
ELSEVIER INSIGHTS	1	0.072
ENCYCLOPEDIA OF OCEAN SCIENCES VOL 5 TECHNOLOGY INSTRUMENTATION 3RD EDITION	1	0.072
ENVIRONMETRICS	1	0.072
EPJ WEB OF CONFERENCES	1	0.072
ERCA FROM THE HUMAN DIMENSIONS OF GLOBAL ENVIRONMENTAL CHANGE TO THE OBSERVATION OF THE EARTH FROM SPACE VOL 8	1	0.072
ESAIM MATHEMATICAL MODELLING AND NUMERICAL ANALYSIS MODELISATION MATHEMATIQUE ET ANALYSE NUMERIQUE	1	0.072
ESTUARINE COASTAL AND SHELF SCIENCE	1	0.072
EUROPEAN JOURNAL OF REMOTE SENSING	1	0.072
EUROPEAN SIGNAL PROCESSING CONFERENCE	1	0.072
FRONTIERS IN EARTH SCIENCE	1	0.072
GEOGRAFIA FISICA E DINAMICA QUATERNARIA	1	0.072
GPS SOLUTIONS	1	0.072
GRAVITY GEOID AND GEODYNAMICS 2000	1	0.072
IEEE CONFERENCE ON DECISION AND CONTROL	1	0.072
IEEE MTT S INTERNATIONAL MICROWAVE SYMPOSIUM DIGEST	1	0.072
IEEE TRANSACTIONS ON ULTRASONICS FERROELECTRICS AND FREQUENCY CONTROL	1	0.072
IGARSS 2004 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM PROCEEDINGS VOLS 1 7	1	0.072
IGARSS 2005 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM VOLS 1 8 PROCEEDINGS	1	0.072
INDIAN JOURNAL OF PURE APPLIED MATHEMATICS	1	0.072
INSTITUTE OF NAVIGATION SATELLITE DIVISION PROCEEDINGS OF THE INTERNATIONAL TECHNICAL MEETING	1	0.072
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS	1	0.072
INTERNATIONAL JOURNAL OF MODERN PHYSICS B	1	0.072
INTERNATIONAL JOURNAL OF MODERN PHYSICS D	1	0.072
INTERNATIONAL SYMPOSIUM ON EARTH AND ENVIRONMENTAL SCIENCES FOR FUTURE GENERATIONS	1	0.072
INVERSE PROBLEMS	1	0.072
INVERSE PROBLEMS IN SCIENCE AND ENGINEERING	1	0.072
ISPRS HANNOVER WORKSHOP HRIGI 17 CMRT 17 ISA 17 EUROCOW 17	1	0.072
JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS	1	0.072
JOURNAL OF APPLIED METEOROLOGY AND CLIMATOLOGY	1	0.072
JOURNAL OF ATMOSPHERIC AND TERRESTRIAL PHYSICS	1	0.072
JOURNAL OF CLIMATE	1	0.072
JOURNAL OF ELECTROMAGNETIC WAVES AND APPLICATIONS	1	0.072
JOURNAL OF GEOPHYSICAL RESEARCH SOLID EARTH AND PLANETS	1	0.072
JOURNAL OF GEOPHYSICAL RESEARCH SPACE PHYSICS	1	0.072
JOURNAL OF GREAT LAKES RESEARCH	1	0.072
JOURNAL OF NAVIGATION	1	0.072
