Publication Years	Record Count	% of 1,386
2021	97	6.999
2018	94	6.782
2015	86	6.205
2019	77	5.556
2014	74	5.339
2016	70	5.051
2020	70	5.051
2012	68	4.906
2017	64	4.618
2009	62	4.473
2011	50	3.608
2010	49	3.535
2006	48	3.463
2004	44	3.175
2013	44	3.175
2003	43	3.102
2008	37	2.670
2007	36	2.597
2002	34	2.453
2005	31	2.237
1998	25	1.804
1999	22	1.587
2001	22	1.587
2000	21	1.515
1992	19	1.371
1993	17	1.227
1994	17	1.227
1997	17	1.227
1995	16	1.154
1996	14	1.010
1991	7	0.505
1990	5	0.361
1989	2	0.144
1980	1	0.072
1982	1	0.072
1984	1	0.072
1988	1	0.072
