Publication Titles	Record Count	% of 749
JOURNAL OF GEOPHYSICAL RESEARCH OCEANS	57	7.610
REMOTE SENSING	57	7.610
INTERNATIONAL ASSOCIATION OF GEODESY SYMPOSIA	37	4.940
JOURNAL OF GEODESY	37	4.940
ADVANCES IN SPACE RESEARCH	35	4.673
GEOPHYSICAL RESEARCH LETTERS	29	3.872
GEOPHYSICAL JOURNAL INTERNATIONAL	24	3.204
REMOTE SENSING OF ENVIRONMENT	23	3.071
CRYOSPHERE	20	2.670
OCEAN SCIENCE	19	2.537
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING	18	2.403
JOURNAL OF GEODYNAMICS	18	2.403
IEEE INTERNATIONAL SYMPOSIUM ON GEOSCIENCE AND REMOTE SENSING IGARSS	15	2.003
EARTH SYSTEM SCIENCE DATA	12	1.602
FRONTIERS IN MARINE SCIENCE	12	1.602
MARINE GEODESY	12	1.602
SURVEYS IN GEOPHYSICS	12	1.602
OCEAN DYNAMICS	11	1.469
INTERNATIONAL JOURNAL OF REMOTE SENSING	8	1.068
JOURNAL OF GEOPHYSICAL RESEARCH SOLID EARTH	7	0.935
JOURNAL OF PHYSICAL OCEANOGRAPHY	7	0.935
GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS	6	0.801
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING	6	0.801
JOURNAL OF GLACIOLOGY	6	0.801
PROCEEDINGS OF SPIE	6	0.801
WATER	6	0.801
WATER RESOURCES RESEARCH	6	0.801
EARTH AND PLANETARY SCIENCE LETTERS	5	0.668
HYDROLOGY AND EARTH SYSTEM SCIENCES	5	0.668
JOURNAL OF GEOPHYSICAL RESEARCH EARTH SURFACE	5	0.668
OCEAN MODELLING	5	0.668
PLANETARY AND SPACE SCIENCE	5	0.668
ADVANCES IN WATER RESOURCES	4	0.534
IAG 150 YEARS	4	0.534
IEEE AIAA DIGITAL AVIONICS SYSTEMS CONFERENCE	4	0.534
ORBIT DETERMINATION AND ANALYSIS	4	0.534
STUDIA GEOPHYSICA ET GEODAETICA	4	0.534
ADVANCES IN SPACE RESEARCH SERIES	3	0.401
ADVANCES IN THE ASTRONAUTICAL SCIENCES	3	0.401
ANNALS OF GLACIOLOGY SERIES	3	0.401
DEEP SEA RESEARCH PART I OCEANOGRAPHIC RESEARCH PAPERS	3	0.401
DEEP SEA RESEARCH PART II TOPICAL STUDIES IN OCEANOGRAPHY	3	0.401
EARTH AND SPACE SCIENCE	3	0.401
EARTH MOON AND PLANETS	3	0.401
EARTH ON THE EDGE SCIENCE FOR A SUSTAINABLE PLANET	3	0.401
GLOBAL AND PLANETARY CHANGE	3	0.401
INSTITUTE OF NAVIGATION SATELLITE DIVISION PROCEEDINGS OF THE INTERNATIONAL TECHNICAL MEETING	3	0.401
NATURE	3	0.401
PROGRESS IN OCEANOGRAPHY	3	0.401
QUARTERLY JOURNAL OF THE ROYAL METEOROLOGICAL SOCIETY	3	0.401
SCIENCE	3	0.401
SCIENCE OF THE TOTAL ENVIRONMENT	3	0.401
VISTAS FOR GEODESY IN THE NEW MILLENNIUM	3	0.401
2012 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	2	0.267
2016 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	2	0.267
2019 IEEE AIAA 38TH DIGITAL AVIONICS SYSTEMS CONFERENCE DASC	2	0.267
2019 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS 2019	2	0.267
ANTARCTIC SCIENCE	2	0.267
BIOGEOSCIENCES	2	0.267
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	2	0.267
CANADIAN JOURNAL OF REMOTE SENSING	2	0.267
DOKLADY AKADEMII NAUK	2	0.267
DYNAMIC PLANET MONITORING AND UNDERSTANDING A DYNAMIC PLANET WITH GEODETIC AND OCEANOGRAPHIC TOOLS	2	0.267
DYNAMICS OF ATMOSPHERES AND OCEANS	2	0.267
EARTH OBSERVATION WITH CHAMP RESULTS FROM THREE YEARS ORBIT	2	0.267
EARTH PLANETS AND SPACE	2	0.267
ENVIRONMENTAL RESEARCH LETTERS	2	0.267
ESA SPECIAL PUBLICATIONS	2	0.267
FIRST CHAMP MISSION RESULTS FOR GRAVITY MAGNETIC AND ATMOSPHERIC STUDIES	2	0.267
GEODESY BEYOND 2000	2	0.267
GEODETIC REFERENCE FRAMES	2	0.267
GEOLOGY	2	0.267
GEOSCIENCES	2	0.267
GPS SOLUTIONS	2	0.267
GRAVITY GEOID AND EARTH OBSERVATION	2	0.267
GRAVITY GEOID AND GEODYNAMICS 2000	2	0.267
GRAVITY GEOID AND HEIGHT SYSTEMS	2	0.267
GRAVITY GEOID AND SPACE MISSIONS	2	0.267
ICARUS	2	0.267
IEEE GEOSCIENCE AND REMOTE SENSING LETTERS	2	0.267
IGARSS 2018 2018 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	2	0.267
INTERNATIONAL ARCHIVES OF THE PHOTOGRAMMETRY REMOTE SENSING AND SPATIAL INFORMATION SCIENCES	2	0.267
INTERNATIONAL CONFERENCE ON UNMANNED AIRCRAFT SYSTEMS	2	0.267
INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION	2	0.267
INTERNATIONAL SYMPOSIUM ON EARTH AND ENVIRONMENTAL SCIENCES FOR FUTURE GENERATIONS	2	0.267
JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY	2	0.267
JOURNAL OF CLIMATE	2	0.267
JOURNAL OF GEODETIC SCIENCE	2	0.267
JOURNAL OF GEOPHYSICAL RESEARCH SPACE PHYSICS	2	0.267
JOURNAL OF HYDROLOGY	2	0.267
JOURNAL OF MARINE RESEARCH	2	0.267
JOURNAL OF MARINE SCIENCE AND ENGINEERING	2	0.267
JOURNAL OF MARINE SYSTEMS	2	0.267
NATURAL HAZARDS AND EARTH SYSTEM SCIENCES	2	0.267
NATURE GEOSCIENCE	2	0.267
OBSERVING OUR CHANGING EARTH	2	0.267
PHYSICS AND CHEMISTRY OF THE EARTH	2	0.267
PURE AND APPLIED GEOPHYSICS	2	0.267
RADIO SCIENCE	2	0.267
REVIEWS OF GEOPHYSICS	2	0.267
SOLID EARTH	2	0.267
TOWARDS AN INTEGRATED GLOBAL GEODETIC OBSERVING SYSTEM IGGOS	2	0.267
VERTICAL REFERENCE SYSTEMS	2	0.267
10TH EUROPEAN CONFERENCE ON SYNTHETIC APERTURE RADAR EUSAR 2014	1	0.134
2010 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	1	0.134
2010 IEEE ION POSITION LOCATION AND NAVIGATION SYMPOSIUM PLANS	1	0.134
2010 IEEE MTT S INTERNATIONAL MICROWAVE SYMPOSIUM DIGEST MTT	1	0.134
2011 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	1	0.134
2013 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	1	0.134
2014 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	1	0.134
2015 INTERNATIONAL CONFERENCE ON UNMANNED AIRCRAFT SYSTEMS ICUAS 15	1	0.134
2016 INTERNATIONAL CONFERENCE ON UNMANNED AIRCRAFT SYSTEMS ICUAS	1	0.134
2017 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM IGARSS	1	0.134
2018 IEEE MTT S INTERNATIONAL CONFERENCE ON MICROWAVES FOR INTELLIGENT MOBILITY ICMIM	1	0.134
2020 AIAA IEEE 39TH DIGITAL AVIONICS SYSTEMS CONFERENCE DASC PROCEEDINGS	1	0.134
2021 IEEE AIAA 40TH DIGITAL AVIONICS SYSTEMS CONFERENCE DASC	1	0.134
ADVANCED TECHNOLOGIES IN EARTH SCIENCES	1	0.134
AEROSPACE SCIENCE AND TECHNOLOGY	1	0.134
ANNALES GEOPHYSICAE	1	0.134
ANNALS OF GLACIOLOGY	1	0.134
ANNALS OF GLACIOLOGY VOL 30 2000	1	0.134
ANNALS OF GLACIOLOGY VOL 39 2004	1	0.134
ANNALS OF GLACIOLOGY VOL 44 2006	1	0.134
ANNUAL REVIEW OF MARINE SCIENCE	1	0.134
ANNUAL REVIEW OF MARINE SCIENCE VOL 5	1	0.134
APPLIED SCIENCES BASEL	1	0.134
ARABIAN JOURNAL OF GEOSCIENCES	1	0.134
ASTRONOMY ASTROPHYSICS	1	0.134
ATMOSPHERIC MEASUREMENT TECHNIQUES	1	0.134
ATOMWIRTSCHAFT ATOMTECHNIK	1	0.134
BOLLETTINO DI GEOFISICA TEORICA ED APPLICATA	1	0.134
BULLETIN GEODESIQUE	1	0.134
CATENA	1	0.134
CEAS SPACE JOURNAL	1	0.134
CELESTIAL MECHANICS DYNAMICAL ASTRONOMY	1	0.134
CLIMATE DYNAMICS	1	0.134
CLIMATE OF THE MEDITERRANEAN REGION FROM THE PAST TO THE FUTURE	1	0.134
COASTAL ENGINEERING	1	0.134
COMPTES RENDUS GEOSCIENCE	1	0.134
COMPUTERS GEOSCIENCES	1	0.134
CONTINENTAL SHELF RESEARCH	1	0.134
CUBESATS AND SMALLSATS FOR REMOTE SENSING III	1	0.134
DOKLADY EARTH SCIENCES	1	0.134
EARTH OBSERVING SYSTEMS XIX	1	0.134
EARTH OBSERVING SYSTEMS XX	1	0.134
EARTH OBSERVING SYSTEMS XXI	1	0.134
EARTH OBSERVING SYSTEMS XXII	1	0.134
EARTH OBSERVING SYSTEMS XXIII	1	0.134
EARTH SCIENCE REVIEWS	1	0.134
EARTH SURFACE DYNAMICS	1	0.134
EARTH SYSTEM DYNAMICS	1	0.134
ELSEVIER INSIGHTS	1	0.134
ENVIRONMENTAL MANAGEMENT	1	0.134
ERS MISSIONS 20 YEARS OF OBSERVING OF EARTH	1	0.134
ESA BULLETIN EUROPEAN SPACE AGENCY	1	0.134
ESTUARINE COASTAL AND SHELF SCIENCE	1	0.134
EUSAR PROCEEDINGS	1	0.134
GEM INTERNATIONAL JOURNAL ON GEOMATHEMATICS	1	0.134
GEODESY FOR PLANET EARTH PROCEEDINGS OF THE 2009 IAG SYMPOSIUM	1	0.134
GEODETIC TIME SERIES ANALYSIS IN EARTH SCIENCES	1	0.134
GEOGRAFISKA ANNALER SERIES A PHYSICAL GEOGRAPHY	1	0.134
GEOPHYSICAL MONOGRAPH BOOK SERIES	1	0.134
GEOSCIENCE DATA JOURNAL	1	0.134
GEOSCIENTIFIC MODEL DEVELOPMENT	1	0.134
GIS OSTRAVA 2012 SURFACE MODELS FOR GEOSCIENCES	1	0.134
GLOBAL CHANGE BIOLOGY	1	0.134
HYDROLOGICAL PROCESSES	1	0.134
