Authors	Record Count	% of 749
Dettmering D	39	5.207
Seitz F	35	4.673
Bosch W	33	4.406
Passaro M	33	4.406
Stammer D	30	4.005
Schwatke C	28	3.738
Horwath M	25	3.338
Schroter J	25	3.338
Wickert J	25	3.338
Fenoglio-marc L	23	3.071
Benveniste J	22	2.937
Kusche J	21	2.804
Sneeuw N	21	2.804
Cazenave A	18	2.403
Andersen OB	17	2.270
Tourian MJ	17	2.270
Helm V	16	2.136
Dietrich R	15	2.003
Groh A	15	2.003
Rummel R	15	2.003
Schmidt M	15	2.003
Semmling M	15	2.003
Rudenko S	14	1.869
Hendricks S	13	1.736
Savcenko R	13	1.736
Scharroo R	13	1.736
Schone T	13	1.736
Esselborn S	12	1.602
Flechtner F	12	1.602
Reigber C	12	1.602
Ricker R	12	1.602
Shum CK	12	1.602
Cipollini P	11	1.469
Scheinert M	11	1.469
Shepherd A	11	1.469
Thomas M	11	1.469
Becker M	10	1.335
Forootan E	10	1.335
Forsberg R	10	1.335
Guntner A	10	1.335
Schwintzer P	10	1.335
Wouters B	10	1.335
Ablain M	9	1.202
Boergens E	9	1.202
Cardellach E	9	1.202
Dangendorf S	9	1.202
Gruber T	9	1.202
Haas C	9	1.202
Kern S	9	1.202
Legeais JF	9	1.202
Meyssignac B	9	1.202
Quartly GD	9	1.202
Rietbroek R	9	1.202
Staneva J	9	1.202
Wenzel M	9	1.202
Albertella A	8	1.068
Bertino L	8	1.068
Biancale R	8	1.068
Birol F	8	1.068
Dinardo S	8	1.068
Gottl F	8	1.068
Ligtenberg SRM	8	1.068
Muller FL	8	1.068
Otten M	8	1.068
Pail R	8	1.068
Scharffenberg MG	8	1.068
Schroder L	8	1.068
Van Den Broeke MR	8	1.068
Brandt P	7	0.935
Fernandes MJ	7	0.935
Gommenginger C	7	0.935
Johannessen JA	7	0.935
Knudsen P	7	0.935
Kohl A	7	0.935
Lemoine JM	7	0.935
Marcos M	7	0.935
Muir A	7	0.935
Nino F	7	0.935
Oberst J	7	0.935
Sanchez L	7	0.935
Schuh WD	7	0.935
Sorensen LS	7	0.935
Stanev EV	7	0.935
Uebbing B	7	0.935
Ardhuin F	6	0.801
Balmino G	6	0.801
Beyerle G	6	0.801
Bonaduce A	6	0.801
Bonnefond P	6	0.801
Bouffard J	6	0.801
Braun A	6	0.801
Brocca L	6	0.801
Chapron B	6	0.801
Dobslaw H	6	0.801
Donlon C	6	0.801
Ewert H	6	0.801
Forste C	6	0.801
Frappart F	6	0.801
Herzfeld UC	6	0.801
Hussmann H	6	0.801
Ishii M	6	0.801
Leger F	6	0.801
Legresy B	6	0.801
Lehner S	6	0.801
Losch M	6	0.801
Mayer-gurr T	6	0.801
Mcmillan M	6	0.801
Remy F	6	0.801
Rhein M	6	0.801
Rius A	6	0.801
Schuh H	6	0.801
Schulz-stellenfleth J	6	0.801
Schwabe J	6	0.801
Singh A	6	0.801
Stark A	6	0.801
Stosius R	6	0.801
Tarpanelli A	6	0.801
Barthelmes F	5	0.668
Bidlot JR	5	0.668
Blossfeld M	5	0.668
Bode A	5	0.668
Brockmann JM	5	0.668
Cullen R	5	0.668
Danilov S	5	0.668
De Haag MU	5	0.668
Dow JM	5	0.668
Elmi O	5	0.668
Exertier P	5	0.668
Fleury S	5	0.668
Heimbach P	5	0.668
Hoeg P	5	0.668
Jaggi A	5	0.668
Janjic T	5	0.668
Karstensen J	5	0.668
Kieke D	5	0.668
Klaes KD	5	0.668
Klees R	5	0.668
Klein I	5	0.668
Klemann V	5	0.668
Kohler J	5	0.668
Konig R	5	0.668
Konrad H	5	0.668
Kropacek J	5	0.668
Laurain O	5	0.668
Lemoine FG	5	0.668
Leuliette E	5	0.668
Martin-neira M	5	0.668
Melet A	5	0.668
Mertens C	5	0.668
Moholdt G	5	0.668
Pascual A	5	0.668
Prigent C	5	0.668
Raimondo JC	5	0.668
Remy E	5	0.668
Rinne E	5	0.668
Roland A	5	0.668
Romeiser R	5	0.668
Sasgen I	5	0.668
Serra N	5	0.668
Sharifi MA	5	0.668
Steinbrugge G	5	0.668
Von Schuckmann K	5	0.668
Zandbergen R	5	0.668
Zhu SY	5	0.668
Abdalla S	4	0.534
Alpers W	4	0.534
Balmaseda M	4	0.534
Bamber JL	4	0.534
Bardossy A	4	0.534
Barletta VR	4	0.534
Barlier F	4	0.534
Behrens A	4	0.534
Benkiran M	4	0.534
Biastoch A	4	0.534
Bolch T	4	0.534
Bouman J	4	0.534
Boyer T	4	0.534
Calafat FM	4	0.534
Camps A	4	0.534
Church JA	4	0.534
Collard F	4	0.534
Cretaux JF	4	0.534
D'addio S	4	0.534
Dibarboure G	4	0.534
Dielacher A	4	0.534
Dill R	4	0.534
Fabra F	4	0.534
Fagiolini E	4	0.534
Faugere Y	4	0.534
Femenias P	4	0.534
Fettweis X	4	0.534
Floricioiu D	4	0.534
Fragner H	4	0.534
Gilbert L	4	0.534
Gohl K	4	0.534
Gourdeau L	4	0.534
Grayek S	4	0.534
Heck B	4	0.534
Hernandez-pajares M	4	0.534
Hochschild V	4	0.534
Hoechner A	4	0.534
Hogg A	4	0.534
Jochumsen K	4	0.534
Kostelecky J	4	0.534
Le Traon PY	4	0.534
Lillibridge J	4	0.534
Llovel W	4	0.534
Luthcke SB	4	0.534
Martin-espanol A	4	0.534
Marty JC	4	0.534
Marzeion B	4	0.534
Massmann FH	4	0.534
Menemenlis D	4	0.534
Montenbruck O	4	0.534
Moreaux G	4	0.534
Muller M	4	0.534
Nagler T	4	0.534
Nielsen K	4	0.534
Nilsen JEO	4	0.534
Palanisamy H	4	0.534
Palmer MD	4	0.534
Papa F	4	0.534
Paul F	4	0.534
Piccioni G	4	0.534
Picot N	4	0.534
Restano M	4	0.534
Ribo S	4	0.534
Richter A	4	0.534
Richter K	4	0.534
Riva R	4	0.534
Rose SK	4	0.534
Rott H	4	0.534
Saynisch J	4	0.534
Scherer D	4	0.534
Schmidt R	4	0.534
Send U	4	0.534
Shaw A	4	0.534
Sidorenko D	4	0.534
Sikiric MD	4	0.534
Simonsen SB	4	0.534
Skourup H	4	0.534
Slangen ABA	4	0.534
Sohl F	4	0.534
Spada G	4	0.534
Steinhage D	4	0.534
Stroeve J	4	0.534
Tsamados M	4	0.534
Vatrt V	4	0.534
Verron J	4	0.534
Vignudelli S	4	0.534
Visser P	4	0.534
Vojtiskova M	4	0.534
Von Storch JS	4	0.534
Walter M	4	0.534
Woppelmann G	4	0.534
Xie JP	4	0.534
Yu KG	4	0.534
Zhao ZX	4	0.534
Zhu YC	4	0.534
Abulaitijiang A	3	0.401
Ackley S	3	0.401
Almar R	3	0.401
Andersen O	3	0.401
Ardalan AA	3	0.401
Armitage TWK	3	0.401
Arndt JE	3	0.401
Awange JL	3	0.401
Baker S	3	0.401
Bauer E	3	0.401
Becker S	3	0.401
Beckheinrich J	3	0.401
Benito J	3	0.401
Berthier E	3	0.401
Bilitza D	3	0.401
Blazquez A	3	0.401
Bonekamp H	3	0.401
Boy F	3	0.401
Brasseur P	3	0.401
Brockley D	3	0.401
Brown S	3	0.401
Carrere L	3	0.401
Carson M	3	0.401
Casal T	3	0.401
Champollion N	3	0.401
Cheng LJ	3	0.401
Clarke PJ	3	0.401
Cogley JG	3	0.401
Cravatte S	3	0.401
Dahle C	3	0.401
Dayoub N	3	0.401
Desjonqueres JD	3	0.401
Devaraju B	3	0.401
Djath B	3	0.401
Dodet G	3	0.401
Doll P	3	0.401
Domeneghetti A	3	0.401
Domingues CM	3	0.401
Drinkwater MR	3	0.401
Eagles G	3	0.401
Eberlein L	3	0.401
Eden C	3	0.401
Eicker A	3	0.401
Elgner S	3	0.401
Engels O	3	0.401
Ferrage P	3	0.401
Fischer J	3	0.401
Flament T	3	0.401
Fornari M	3	0.401
Frederikse T	3	0.401
Freiwald G	3	0.401
Funk A	3	0.401
Gaultier L	3	0.401
Ge MR	3	0.401
Girard-ardhuin F	3	0.401
Gouzenes Y	3	0.401
Greatbatch RJ	3	0.401
Grevemeyer I	3	0.401
Groten E	3	0.401
Hamlington B	3	0.401
Han GQ	3	0.401
Hansen B	3	0.401
Hart-davis MG	3	0.401
He XF	3	0.401
Heinkelmann R	3	0.401
Helm A	3	0.401
Hernandez F	3	0.401
Hogg AE	3	0.401
Holmlund K	3	0.401
Holschneider M	3	0.401
Holt B	3	0.401
Horvath A	3	0.401
Humbert A	3	0.401
Jevrejeva S	3	0.401
Kang Z	3	0.401
Kern M	3	0.401
Khvorostovsky K	3	0.401
King MA	3	0.401
Kleinherenbrink M	3	0.401
Klokocnik J	3	0.401
Koch B	3	0.401
Komjathy A	3	0.401
Koudelka O	3	0.401
Krumpen T	3	0.401
Kuhn M	3	0.401
Lambin J	3	0.401
Larsen KMH	3	0.401
Larter RD	3	0.401
Lee H	3	0.401
Lee T	3	0.401
Lehmann R	3	0.401
Li XM	3	0.401
Li ZH	3	0.401
Li ZJ	3	0.401
Liu Y	3	0.401
Longuevergne L	3	0.401
Lucas B	3	0.401
Lutjeharms JRE	3	0.401
Lyard F	3	0.401
Martin-puig C	3	0.401
Masina S	3	0.401
Meyer U	3	0.401
Moramarco T	3	0.401
Morrow R	3	0.401
Moynot B	3	0.401
Munneke PK	3	0.401
Myers PG	3	0.401
Nandan V	3	0.401
Neckel N	3	0.401
Nerem RS	3	0.401
Neumayer KH	3	0.401
Nicolaus M	3	0.401
Oelsmann J	3	0.401
Osterhus S	3	0.401
Panet I	3	0.401
Parisot F	3	0.401
Park H	3	0.401
Parrinello T	3	0.401
Pedersen LT	3	0.401
Peneva EL	3	0.401
Piolle JF	3	0.401
Ponte RM	3	0.401
Popov SV	3	0.401
Qu XC	3	0.401
Quadfasel D	3	0.401
Rack W	3	0.401
Raj RP	3	0.401
Ramatschi M	3	0.401
Raynal M	3	0.401
Ressler G	3	0.401
Roca M	3	0.401
Roessler A	3	0.401
Rossow WB	3	0.401
Roth A	3	0.401
Sanchez-roman A	3	0.401
Schon S	3	0.401
Schrama EJO	3	0.401
Schumacher M	3	0.401
Seitz M	3	0.401
Semmling AM	3	0.401
Siegismund F	3	0.401
Skachko S	3	0.401
Slater T	3	0.401
