Affiliations	Record Count	% of 749
HELMHOLTZ ASSOCIATION	310	41.389
TECHNICAL UNIVERSITY OF MUNICH	108	14.419
HELMHOLTZ CENTER POTSDAM GFZ GERMAN RESEARCH CENTER FOR GEOSCIENCES	106	14.152
ALFRED WEGENER INSTITUTE HELMHOLTZ CENTRE FOR POLAR MARINE RESEARCH	102	13.618
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	89	11.883
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD	72	9.613
EUROPEAN SPACE AGENCY	65	8.678
UNIVERSITY OF HAMBURG	63	8.411
GERMAN AEROSPACE CENTRE DLR	59	7.877
UNIVERSITE DE TOULOUSE	55	7.343
UNIVERSITE TOULOUSE III PAUL SABATIER	55	7.343
UNIVERSITY OF BONN	52	6.943
NATIONAL AERONAUTICS SPACE ADMINISTRATION NASA	51	6.809
LABORATOIRE D ETUDES EN GEOPHYSIQUE ET OCEANOGRAPHIE SPATIALES	50	6.676
TECHNISCHE UNIVERSITAT DRESDEN	45	6.008
NASA JET PROPULSION LABORATORY JPL	38	5.073
GEOMAR HELMHOLTZ CENTER FOR OCEAN RESEARCH KIEL	36	4.806
TECHNICAL UNIVERSITY OF DENMARK	36	4.806
CALIFORNIA INSTITUTE OF TECHNOLOGY	34	4.539
NERC NATIONAL OCEANOGRAPHY CENTRE	34	4.539
NATIONAL OCEANIC ATMOSPHERIC ADMIN NOAA USA	31	4.139
UNIVERSITY OF STUTTGART	31	4.139
TECHNICAL UNIVERSITY OF BERLIN	30	4.005
MAX PLANCK SOCIETY	27	3.605
CHINESE ACADEMY OF SCIENCES	26	3.471
IFREMER	26	3.471
UNIVERSITY OF KIEL	26	3.471
EUROPEAN ORGANISATION FOR THE EXPLOITATION OF METEOROLOGICAL SATELLITES	25	3.338
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC	24	3.204
DELFT UNIVERSITY OF TECHNOLOGY	24	3.204
UTRECHT UNIVERSITY	24	3.204
NASA GODDARD SPACE FLIGHT CENTER	22	2.937
UNIVERSITY OF COLORADO BOULDER	22	2.937
UNIVERSITY OF COLORADO SYSTEM	22	2.937
TECHNICAL UNIVERSITY OF DARMSTADT	20	2.670
UNIVERSITE DE PARIS	20	2.670
UNIVERSITY OF BREMEN	20	2.670
CLS	19	2.537
EUROPEAN CENTRE FOR MEDIUM RANGE WEATHER FORECASTS ECMWF	19	2.537
SORBONNE UNIVERSITE	19	2.537
UNIVERSITY OF BRISTOL	19	2.537
UNIVERSITY OF CALIFORNIA SYSTEM	19	2.537
CONSIGLIO NAZIONALE DELLE RICERCHE CNR	18	2.403
DEUTSCH GEODAT FORSCHUNGSINST	17	2.270
HELMHOLTZ ZENTRUM GEESTHACHT ZENTRUM FUR MATERIAL UND KUSTENFORSCHUNG	17	2.270
NATURAL ENVIRONMENT RESEARCH COUNCIL NERC	17	2.270
OHIO STATE UNIVERSITY	17	2.270
UK RESEARCH INNOVATION UKRI	17	2.270
UNIVERSITY COLLEGE LONDON	17	2.270
UNIVERSITY OF LEEDS	17	2.270
UNIVERSITY OF LONDON	17	2.270
UNIVERSITY OF TEXAS SYSTEM	16	2.136
INSTITUT D ESTUDIS ESPACIALS DE CATALUNYA IEEC	15	2.003
UNIVERSITY OF CALIFORNIA SAN DIEGO	14	1.869
INSTITUT UNIVERSITAIRE EUROPEEN DE LA MER IUEM	13	1.736
UNIVERSITE DE BRETAGNE OCCIDENTALE	13	1.736
WUHAN UNIVERSITY	13	1.736
CNES	12	1.602
CNRS NATIONAL INSTITUTE FOR EARTH SCIENCES ASTRONOMY INSU	12	1.602
COMMONWEALTH SCIENTIFIC INDUSTRIAL RESEARCH ORGANISATION CSIRO	12	1.602
