Affiliations	Record Count	% of 3,072
NATIONAL AERONAUTICS SPACE ADMINISTRATION NASA	896	29.167
NASA GODDARD SPACE FLIGHT CENTER	478	15.560
NASA JET PROPULSION LABORATORY JPL	428	13.932
CALIFORNIA INSTITUTE OF TECHNOLOGY	407	13.249
UNIVERSITY OF CALIFORNIA SYSTEM	393	12.793
NATIONAL OCEANIC ATMOSPHERIC ADMIN NOAA USA	380	12.370
UNIVERSITY OF CALIFORNIA SAN DIEGO	247	8.040
UNIVERSITY OF COLORADO SYSTEM	247	8.040
UNIVERSITY OF COLORADO BOULDER	246	8.008
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	234	7.617
UNIVERSITY OF TEXAS SYSTEM	204	6.641
INSTITUT DE RECHERCHE POUR LE DEVELOPPEMENT IRD	190	6.185
OHIO STATE UNIVERSITY	187	6.087
UNIVERSITY OF HAWAII SYSTEM	181	5.892
UNIVERSITY OF TEXAS AUSTIN	176	5.729
UNITED STATES DEPARTMENT OF DEFENSE	174	5.664
UNIVERSITY SYSTEM OF MARYLAND	164	5.339
UNITED STATES NAVY	157	5.111
CHINESE ACADEMY OF SCIENCES	153	4.980
UNIVERSITY OF WASHINGTON	153	4.980
UNIVERSITY OF WASHINGTON SEATTLE	153	4.980
STATE UNIVERSITY SYSTEM OF FLORIDA	144	4.688
UNIVERSITY OF MARYLAND COLLEGE PARK	140	4.557
UNIVERSITE DE TOULOUSE	137	4.460
UNIVERSITE TOULOUSE III PAUL SABATIER	133	4.329
UNIVERSITY OF HAWAII MANOA	132	4.297
WOODS HOLE OCEANOGRAPHIC INSTITUTION	118	3.841
LABORATOIRE D ETUDES EN GEOPHYSIQUE ET OCEANOGRAPHIE SPATIALES	116	3.776
NAVAL RESEARCH LABORATORY	106	3.451
OREGON STATE UNIVERSITY	100	3.255
UNIVERSITY OF MIAMI	100	3.255
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT	96	3.125
IFREMER	90	2.930
UNIVERSITY OF CALIFORNIA LOS ANGELES	80	2.604
UNIVERSITY OF SOUTH FLORIDA	72	2.344
ATLANTIC OCEANOGRAPHIC METEOROLOGICAL LABORATORY AOML	67	2.181
HELMHOLTZ ASSOCIATION	60	1.953
COLUMBIA UNIVERSITY	59	1.921
NERC NATIONAL OCEANOGRAPHY CENTRE	57	1.855
FLORIDA STATE UNIVERSITY	55	1.790
JOHNS HOPKINS UNIVERSITY	53	1.725
UNIVERSITY OF BRISTOL	52	1.693
UNIVERSITE DE PARIS	50	1.628
UNITED STATES DEPARTMENT OF THE INTERIOR	48	1.563
STINGER GHAFFARIAN TECHNOLOGIES INC SGT	47	1.530
UNITED STATES GEOLOGICAL SURVEY	47	1.530
SORBONNE UNIVERSITE	46	1.497
TEXAS A M UNIVERSITY SYSTEM	46	1.497
NATIONAL CENTER ATMOSPHERIC RESEARCH NCAR USA	45	1.465
UNIVERSITY OF NORTH CAROLINA	45	1.465
COMMONWEALTH SCIENTIFIC INDUSTRIAL RESEARCH ORGANISATION CSIRO	44	1.432
UNIVERSITY OF LONDON	44	1.432
JOHNS HOPKINS UNIVERSITY APPLIED PHYSICS LABORATORY	43	1.400
CNRS NATIONAL INSTITUTE FOR EARTH SCIENCES ASTRONOMY INSU	42	1.367
TEXAS A M UNIVERSITY COLLEGE STATION	42	1.367
UNIVERSITY COLLEGE LONDON	42	1.367
INSTITUTE OF GEODESY GEOPHYSICS CAS	41	1.335
OCEAN UNIVERSITY OF CHINA	41	1.335
SCIENCE SYSTEMS AND APPLICATIONS INC	41	1.335
UNIVERSITY OF HOUSTON	40	1.302
UNIVERSITY OF HOUSTON SYSTEM	40	1.302
STATE UNIVERSITY OF NEW YORK SUNY SYSTEM	39	1.270
UNIVERSITY OF ALASKA SYSTEM	39	1.270
PRINCETON UNIVERSITY	38	1.237
UNIVERSITY OF MICHIGAN	38	1.237
UNIVERSITY OF MICHIGAN SYSTEM	38	1.237
UNIVERSITY OF RHODE ISLAND	38	1.237
UNIVERSITY OF ALASKA FAIRBANKS	37	1.204
NATIONAL CHENG KUNG UNIVERSITY	35	1.139
TECHNICAL UNIVERSITY OF DENMARK	35	1.139
EUROPEAN SPACE AGENCY	34	1.107
UTRECHT UNIVERSITY	34	1.107
JAPAN AGENCY FOR MARINE EARTH SCIENCE TECHNOLOGY JAMSTEC	32	1.042
NAVAL POSTGRADUATE SCHOOL	32	1.042
SOUTH CHINA SEA INSTITUTE OF OCEANOLOGY CAS	32	1.042
UNIVERSITE DE BRETAGNE OCCIDENTALE	32	1.042
UNIVERSITY OF CALIFORNIA IRVINE	32	1.042
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC	31	1.009
DELFT UNIVERSITY OF TECHNOLOGY	31	1.009
NATURAL ENVIRONMENT RESEARCH COUNCIL NERC	31	1.009
UK RESEARCH INNOVATION UKRI	31	1.009
UNIVERSITY OF CHINESE ACADEMY OF SCIENCES CAS	31	1.009
UNIVERSITY SYSTEM OF GEORGIA	31	1.009
ALFRED WEGENER INSTITUTE HELMHOLTZ CENTRE FOR POLAR MARINE RESEARCH	30	0.977
ATMOSPHERIC ENVIRONMENTAL RESEARCH	30	0.977
PSL RESEARCH UNIVERSITY PARIS	30	0.977
UNIVERSITY OF TASMANIA	29	0.944
RUTGERS STATE UNIVERSITY NEW BRUNSWICK	28	0.911
STATE OCEANIC ADMINISTRATION	28	0.911
CLS	27	0.879
CONSIGLIO NAZIONALE DELLE RICERCHE CNR	27	0.879
EARTH SPACE RES	27	0.879
NERC BRITISH ANTARCTIC SURVEY	27	0.879
UNITED STATES DEPARTMENT OF ENERGY DOE	27	0.879
UNIVERSITY OF MISSOURI SYSTEM	27	0.879
COLORADO STATE UNIVERSITY	26	0.846
UNIVERSITY OF MASSACHUSETTS SYSTEM	26	0.846
CNES	25	0.814
FISHERIES OCEANS CANADA	25	0.814
