Funding Agencies	Record Count	% of 3,072
National Aeronautics Space Administration Nasa	548	17.839
National Science Foundation Nsf	370	12.044
National Natural Science Foundation Of China Nsfc	166	5.404
National Oceanic Atmospheric Admin Noaa Usa	123	4.004
Centre National D Etudes Spatiales	120	3.906
Uk Research Innovation Ukri	114	3.711
Natural Environment Research Council Nerc	112	3.646
Office Of Naval Research	109	3.548
Nsf Directorate For Geosciences Geo	108	3.516
European Commission	63	2.051
Chinese Academy Of Sciences	53	1.725
National Basic Research Program Of China	44	1.432
French National Research Agency Anr	34	1.107
Ministry Of Science And Technology Taiwan	31	1.009
European Space Agency	30	0.977
China Scholarship Council	29	0.944
Ministry Of Education Culture Sports Science And Technology Japan Mext	21	0.684
Australian Research Council	19	0.618
Japan Society For The Promotion Of Science	18	0.586
National Key Research And Development Program Of China	18	0.586
Natural Sciences And Engineering Research Council Of Canada Nserc	18	0.586
United States Department Of Energy Doe	18	0.586
Centre National De La Recherche Scientifique Cnrs	17	0.553
National Key R D Program Of China	17	0.553
Australian Government	15	0.488
German Research Foundation Dfg	15	0.488
Nasa Measures Program	14	0.456
United States Department Of Defense	14	0.456
Grants In Aid For Scientific Research Kakenhi	13	0.423
National High Technology Research And Development Program Of China	13	0.423
United States Geological Survey	13	0.423
National Programme On Global Change And Air Sea Interaction	12	0.391
Ohio State University	12	0.391
Conselho Nacional De Desenvolvimento Cientifico E Tecnologico Cnpq	11	0.358
Nasa Ocean Surface Topography Mission Science Team	11	0.358
Spanish Government	11	0.358
Fundamental Research Funds For The Central Universities	10	0.326
Cgiar	9	0.293
Gulf Of Mexico Research Initiative	9	0.293
Nasa Earth And Space Science Fellowship	9	0.293
Netherlands Organization For Scientific Research Nwo	9	0.293
Cooperative Research Centres Crc Programme	8	0.260
Coordenacao De Aperfeicoamento De Pessoal De Nivel Superior Capes	8	0.260
Department Of Industry Innovation And Science	8	0.260
Jamstec	8	0.260
Japan Agency For Marine Earth Science And Technology Jamstec	8	0.260
Research Council Of Norway	8	0.260
China Postdoctoral Science Foundation	7	0.228
Comision Nacional De Investigacion Cientifica Y Tecnologica Conicyt	7	0.228
Jet Propulsion Laboratory California Institute Of Technology	7	0.228
Ministry Of Education	7	0.228
Ministry Of Science And Technology China	7	0.228
Nasa Icesat 2 Project Science Office	7	0.228
National Geospatial Intelligence Agency	7	0.228
Natural Resources Canada	7	0.228
Ohio State University S Climate Water And Carbon Program	7	0.228
Woods Hole Oceanographic Institution	7	0.228
Conicyt Fondecyt	6	0.195
Federal Ministry Of Education Research Bmbf	6	0.195
Ifremer	6	0.195
Jpl	6	0.195
Leverhulme Trust	6	0.195
Nasa Grace Science Team	6	0.195
Nasa Swot Program	6	0.195
European Commission Joint Research Centre	5	0.163
Federal Ministry For Economic Affairs And Energy Bmwi	5	0.163
G Unger Vetlesen Foundation	5	0.163
Nasa Cryosphere Program	5	0.163
Nasa Swot Science Team Grant	5	0.163
National Program On Global Change And Air Sea Interaction	5	0.163
Natural Science Foundation Of Jiangsu Province	5	0.163
Nsf Office Of The Director Od	5	0.163
Ohio Supercomputer Center	5	0.163
Royal Society Of London	5	0.163
Russian Foundation For Basic Research Rfbr	5	0.163
Boem	4	0.130
Bp The Gulf Of Mexico Research Initiative	4	0.130
Cnes Tosca	4	0.130
European Research Council Erc	4	0.130
European Social Fund Esf	4	0.130
European Union S Horizon 2020 Research And Innovation Programme	4	0.130
Gordon And Betty Moore Foundation	4	0.130
Headquarters Of University Advancement At National Cheng Kung University Taiwan	4	0.130
Icesat 2 Project Science Office	4	0.130
Labexmer	4	0.130
Nasa Ocean Surface Topography Science Team Program	4	0.130
Nasa Swot Mission	4	0.130
National Central University New Faculty Research Award	4	0.130
National Ocean Partnership Program	4	0.130
National Oceanography Centre Southampton	4	0.130
National Research Foundation Of Korea	4	0.130
Old Dominion University S Climate Change And Sea Level Rise Initiative Ccslri	4	0.130
Portuguese Foundation For Science And Technology	4	0.130
Program For Innovation Research And Entrepreneurship Team In Jiangsu Province	4	0.130
Russian Science Foundation Rsf	4	0.130
Swot Mission	4	0.130
Swot Project	4	0.130
Thousand Young Talents Program In China	4	0.130
Youth Innovation Promotion Association Cas	4	0.130
Canada 150 Chair Program	3	0.098
Canadian Forest Service	3	0.098
Canadian Space Agency	3	0.098
Conocophillips	3	0.098
Copernicus Marine Environment Monitoring Service Cmems Medsub Project	3	0.098
Det Frie Forskningsrad Dff	3	0.098
Geo Program	3	0.098
German Aerospace Centre Dlr	3	0.098
Global Change And Air Sea Interaction Project	3	0.098
Harvard University	3	0.098
Helmholtz Association	3	0.098
Innovation Academy Of South China Sea Ecology And Environmental Engineering Chinese Academy Of Sciences	3	0.098
Ivanhoe Foundation	3	0.098
Korea Polar Research Institute	3	0.098
Ministry Of Education China	3	0.098
Ministry Of Science And Technology	3	0.098
Nasa Cnes Swot Mission	3	0.098
Nasa Esi Program	3	0.098
Nasa Grace	3	0.098
Nasa Ocean Surface Topography Mission	3	0.098
Nasa Ocean Surface Topography Mission Science Team Grant	3	0.098
Nasa Physical Oceanography	3	0.098
Nasa Physical Oceanography Po Program	3	0.098
Nasa Science Of Terra Aqua And Suomi Npp Tasnpp Program	3	0.098
Nasa Sea Level Change Team	3	0.098
Nasa Servir Program	3	0.098
Nasa Swot Science Team	3	0.098
National Key Research Program Of China	3	0.098
National Oceanographic Partnership Program Nopp	3	0.098
National Taiwan University	3	0.098
New Zealand Foundation For Research Science And Technology	3	0.098
Noaa Quantitative Observing System Assessment Program Qosap	3	0.098
Nsf Directorate For Social Behavioral Economic Sciences Sbe	3	0.098
Nsfc Shandong Joint Fund For Marine Science Research Centers	3	0.098
Ohio University Russ Legacy Development Fund	3	0.098
Priority Academic Program Development Of Jiangsu Higher Education Institutions Papd	3	0.098
Program For New Century Excellent Talents In University Ncet	3	0.098
Project Eddy Resolving Global Ocean Prediction Including Tides Office Of Naval Research	3	0.098
Region Occitanie	3	0.098
Region Provence Alpes Cote D Azur	3	0.098
Soa Global Change And Air Sea Interaction Project	3	0.098
Startup Foundation For Introducing Talent Of Nanjing University Of Information Science And Technology	3	0.098
Swot Projects	3	0.098
The David Lucile Packard Foundation	3	0.098
Tosca Program Of The French Space Agency Cnes	3	0.098
United States Geological Surveying Usgs Landsat Science Team Program Grant	3	0.098
University Of California System	3	0.098
University Of Colorado	3	0.098
University Of Minnesota System	3	0.098
Agenzia Spaziale Italiana Asi	2	0.065
Alfred P Sloan Foundation	2	0.065
Australian Climate Change Science Program	2	0.065
Austrian Science Fund Fwf	2	0.065
Belgian Federal Science Policy Office	2	0.065
Bureau Of Meteorology Australia	2	0.065
Bureau Of Ocean Energy Management Boem	2	0.065
California Institute Of Technology	2	0.065
Caltech Jpl Postdoctoral Fellowship	2	0.065
Canada Research Chairs	2	0.065
Canon Foundation	2	0.065
Cassini Project	2	0.065
Cecil And Ida Green Foundation Scholarship	2	0.065
Center For Global Sea Level Change Cslc Of Nyu Abu Dhabi	2	0.065
Central Guide Local Science And Technology Development Projects	2	0.065
Centre For Integrated Remote Sensing And Forecasting For Arctic Operations Cirfa Project Through The Research Council Of Norway Rcn	2	0.065
Climate Observations Division Of The Noaa Climate Program Office	2	0.065
Cls	2	0.065
Cnes Ostst Osiw Grant	2	0.065
Commonwealth Scientific Industrial Research Organisation Csiro	2	0.065
Consejo Nacional De Investigaciones Cientificas Y Tecnicas Conicet	2	0.065
Conselleria D Educacio Cultura I Universitats Del Govern De Les Illes Balears Mallorca Spain	2	0.065
Consumer Option For An Alternative System To Allocate Losses Coastal Act Project Within National Oceanic And Atmospheric Administration Noaa	2	0.065
Cooperative Institute For Marine And Atmospheric Studies Cimas	2	0.065
Cooperative Institute For Marine And Atmospheric Studies Cimas University Of Miami	2	0.065
Core Research For Evolutional Science And Technology Crest	2	0.065
Council Of Scientific Industrial Research Csir India	2	0.065
Csiro Through The Australian Climate Change Science Programme	2	0.065
Deutscher Akademischer Austausch Dienst Daad	2	0.065
Financiadora De Inovacao E Pesquisa Finep	2	0.065
Foundation Of China Ocean Mineral Resources Rd Association	2	0.065
