Publication Titles	Record Count	% of 3,072
JOURNAL OF GEOPHYSICAL RESEARCH OCEANS	431	14.030
GEOPHYSICAL RESEARCH LETTERS	236	7.682
JOURNAL OF PHYSICAL OCEANOGRAPHY	169	5.501
IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING	102	3.320
REMOTE SENSING OF ENVIRONMENT	87	2.832
REMOTE SENSING	81	2.637
JOURNAL OF ATMOSPHERIC AND OCEANIC TECHNOLOGY	73	2.376
JOURNAL OF GEOPHYSICAL RESEARCH SOLID EARTH	72	2.344
MARINE GEODESY	70	2.279
IEEE INTERNATIONAL SYMPOSIUM ON GEOSCIENCE AND REMOTE SENSING IGARSS	59	1.921
ADVANCES IN SPACE RESEARCH	49	1.595
CRYOSPHERE	41	1.335
JOURNAL OF GEODESY	41	1.335
WATER RESOURCES RESEARCH	41	1.335
DEEP SEA RESEARCH PART II TOPICAL STUDIES IN OCEANOGRAPHY	37	1.204
INTERNATIONAL JOURNAL OF REMOTE SENSING	36	1.172
OCEAN MODELLING	35	1.139
JOURNAL OF GLACIOLOGY	32	1.042
PROCEEDINGS OF SPIE	31	1.009
PROGRESS IN OCEANOGRAPHY	31	1.009
IEEE GEOSCIENCE AND REMOTE SENSING LETTERS	29	0.944
SCIENCE	26	0.846
DEEP SEA RESEARCH PART I OCEANOGRAPHIC RESEARCH PAPERS	23	0.749
JOURNAL OF CLIMATE	22	0.716
OCEANOGRAPHY	22	0.716
ANNALS OF GLACIOLOGY	21	0.684
GEOPHYSICAL JOURNAL INTERNATIONAL	21	0.684
IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING	21	0.684
JOURNAL OF GEOPHYSICAL RESEARCH ATMOSPHERES	21	0.684
OCEAN DYNAMICS	20	0.651
OCEAN SCIENCE	19	0.618
OCEANS IEEE	19	0.618
REVIEWS OF GEOPHYSICS	19	0.618
ADVANCES IN THE ASTRONAUTICAL SCIENCES	18	0.586
EARTH AND PLANETARY SCIENCE LETTERS	17	0.553
JOURNAL OF GEODYNAMICS	17	0.553
TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES	17	0.553
CONTINENTAL SHELF RESEARCH	16	0.521
DYNAMICS OF ATMOSPHERES AND OCEANS	16	0.521
FRONTIERS IN MARINE SCIENCE	15	0.488
NATURE	15	0.488
EARTH AND SPACE SCIENCE	14	0.456
HYDROLOGY AND EARTH SYSTEM SCIENCES	14	0.456
JOURNAL OF HYDROLOGY	14	0.456
ACTA OCEANOLOGICA SINICA	13	0.423
INTERNATIONAL ASSOCIATION OF GEODESY SYMPOSIA	13	0.423
MONTHLY WEATHER REVIEW	13	0.423
JOURNAL OF GEOPHYSICAL RESEARCH EARTH SURFACE	12	0.391
SURVEYS IN GEOPHYSICS	12	0.391
GEOCHEMISTRY GEOPHYSICS GEOSYSTEMS	11	0.358
JOURNAL OF MARINE SYSTEMS	11	0.358
JOURNAL OF OCEANOGRAPHY	11	0.358
ENVIRONMENTAL RESEARCH LETTERS	10	0.326
ICARUS	10	0.326
JOURNAL OF THE ASTRONAUTICAL SCIENCES	10	0.326
PROCEEDINGS OF THE SOCIETY OF PHOTO OPTICAL INSTRUMENTATION ENGINEERS SPIE	10	0.326
RADIO SCIENCE	10	0.326
ANNALS OF GLACIOLOGY SERIES	9	0.293
BULLETIN OF THE AMERICAN METEOROLOGICAL SOCIETY	9	0.293
HYDROLOGICAL PROCESSES	9	0.293
JOURNAL OF GEOPHYSICAL RESEARCH	9	0.293
JOURNAL OF GEOPHYSICAL RESEARCH SPACE PHYSICS	9	0.293
JOURNAL OF MARINE RESEARCH	9	0.293
MARINE GEOPHYSICAL RESEARCH	9	0.293
SCIENTIFIC REPORTS	9	0.293
GLOBAL AND PLANETARY CHANGE	8	0.260
JOHNS HOPKINS APL TECHNICAL DIGEST	8	0.260
JOURNAL OF GEODETIC SCIENCE	8	0.260
JOURNAL OF GEOPHYSICAL RESEARCH PLANETS	8	0.260
JOURNAL OF OPERATIONAL OCEANOGRAPHY	8	0.260
MARINE GEOPHYSICAL RESEARCHES	8	0.260
MARINE TECHNOLOGY SOCIETY JOURNAL	8	0.260
EARTH SYSTEM SCIENCE DATA	7	0.228
IGARSS 2018 2018 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM	7	0.228
JOURNAL OF APPLIED REMOTE SENSING	7	0.228
JOURNAL OF COASTAL RESEARCH	7	0.228
JOURNAL OF SPACECRAFT AND ROCKETS	7	0.228
NATURE CLIMATE CHANGE	7	0.228
NATURE COMMUNICATIONS	7	0.228
PLOS ONE	7	0.228
STUDIA GEOPHYSICA ET GEODAETICA	7	0.228
TECTONOPHYSICS	7	0.228
WATER	7	0.228
