Publication Years	Record Count	% of 3,072
2019	179	5.827
2016	170	5.534
2020	158	5.143
2021	154	5.013
2018	147	4.785
2010	142	4.622
2011	136	4.427
2014	135	4.395
2017	126	4.102
2012	122	3.971
2013	122	3.971
2015	122	3.971
2008	116	3.776
2004	102	3.320
2009	100	3.255
2005	98	3.190
2003	90	2.930
2007	86	2.799
2006	77	2.507
2002	73	2.376
2000	68	2.214
2001	61	1.986
1998	59	1.921
1999	58	1.888
1994	54	1.758
1997	54	1.758
1995	47	1.530
1996	36	1.172
1992	34	1.107
1993	32	1.042
1991	31	1.009
1979	9	0.293
1990	9	0.293
1984	8	0.260
1985	8	0.260
1989	8	0.260
1980	7	0.228
1982	7	0.228
1983	7	0.228
1986	7	0.228
1987	4	0.130
1988	3	0.098
1978	2	0.065
1973	1	0.033
1974	1	0.033
1975	1	0.033
1981	1	0.033
