Publication Years	Record Count	% of 386
2021	69	17.876
2018	29	7.513
2013	28	7.254
2010	19	4.922
2012	18	4.663
2019	18	4.663
2020	18	4.663
2003	17	4.404
2016	16	4.145
2011	14	3.627
2015	14	3.627
2008	11	2.850
2017	11	2.850
1997	10	2.591
2002	10	2.591
1993	9	2.332
1998	8	2.073
1999	8	2.073
2005	8	2.073
2014	8	2.073
2006	7	1.813
2009	6	1.554
2004	5	1.295
2007	5	1.295
1994	4	1.036
1990	3	0.777
1996	3	0.777
2000	2	0.518
2001	2	0.518
1976	1	0.259
1981	1	0.259
1982	1	0.259
1989	1	0.259
1991	1	0.259
1995	1	0.259
