Publication Years	Record Count	% of 416
2021	60	14.423
2018	30	7.212
2013	25	6.010
1997	19	4.567
2005	19	4.567
1995	18	4.327
2010	18	4.327
2019	17	4.087
2020	17	4.087
2016	16	3.846
2017	15	3.606
1999	14	3.365
1993	12	2.885
2006	12	2.885
2015	12	2.885
2003	11	2.644
2012	11	2.644
1998	10	2.404
2011	10	2.404
1994	8	1.923
2004	8	1.923
2008	8	1.923
2000	7	1.683
2002	7	1.683
2014	7	1.683
1996	5	1.202
1992	3	0.721
2009	3	0.721
1991	2	0.481
2001	2	0.481
2007	2	0.481
1971	1	0.240
1973	1	0.240
1976	1	0.240
1977	1	0.240
1980	1	0.240
1984	1	0.240
1989	1	0.240
1990	1	0.240
