Publication Years	Record Count	% of 795
2016	71	8.931
2014	68	8.553
2021	68	8.553
2018	67	8.428
2015	52	6.541
2019	50	6.289
2020	45	5.660
2012	40	5.031
2017	40	5.031
2013	39	4.906
2007	30	3.774
2011	24	3.019
2010	23	2.893
2001	21	2.642
2006	18	2.264
2008	17	2.138
2009	16	2.013
1993	12	1.509
1998	11	1.384
2004	9	1.132
1996	8	1.006
1995	7	0.881
1999	7	0.881
2002	7	0.881
1991	6	0.755
1997	6	0.755
2000	6	0.755
1992	5	0.629
2005	5	0.629
1990	3	0.377
1982	2	0.252
1988	2	0.252
1994	2	0.252
2003	2	0.252
1972	1	0.126
1973	1	0.126
1975	1	0.126
1977	1	0.126
1984	1	0.126
1985	1	0.126
