Publication Years	Record Count	% of 1,420
2015	73	5.141
2021	73	5.141
2014	68	4.789
2012	66	4.648
2016	65	4.577
2010	63	4.437
2017	61	4.296
2019	57	4.014
2009	56	3.944
2018	56	3.944
2004	54	3.803
2011	53	3.732
2007	51	3.592
2020	48	3.380
2005	45	3.169
2006	42	2.958
2002	41	2.887
1999	40	2.817
2013	40	2.817
2000	38	2.676
2001	34	2.394
2008	32	2.254
1998	31	2.183
2003	31	2.183
1997	29	2.042
1995	27	1.901
1996	21	1.479
1993	14	0.986
1992	11	0.775
1994	11	0.775
1984	10	0.704
1991	10	0.704
1978	8	0.563
1979	8	0.563
1980	7	0.493
1976	6	0.423
1974	5	0.352
1977	4	0.282
1982	4	0.282
1985	4	0.282
1988	4	0.282
1972	3	0.211
1986	3	0.211
1973	2	0.141
1975	2	0.141
1981	2	0.141
1983	2	0.141
1987	2	0.141
1990	2	0.141
1971	1	0.070
