Publication Years	Record Count	% of 1,323
2021	168	12.698
2020	136	10.280
2019	126	9.524
2018	103	7.785
2016	102	7.710
2014	84	6.349
2017	81	6.122
2015	67	5.064
2013	45	3.401
2012	40	3.023
2011	35	2.646
2010	33	2.494
2003	28	2.116
2004	25	1.890
2002	23	1.738
2009	23	1.738
2006	22	1.663
2007	22	1.663
2008	21	1.587
2005	16	1.209
2000	15	1.134
1991	13	0.983
2001	13	0.983
1993	12	0.907
1995	11	0.831
1996	11	0.831
1998	11	0.831
1999	10	0.756
1994	9	0.680
1997	5	0.378
1992	4	0.302
1982	2	0.151
1988	2	0.151
1990	2	0.151
1979	1	0.076
1984	1	0.076
1987	1	0.076
