Publication Years	Record Count	% of 1,128
2021	114	10.106
2018	86	7.624
2016	77	6.826
2019	72	6.383
2013	64	5.674
2015	61	5.408
2020	59	5.230
2008	54	4.787
2017	48	4.255
2014	41	3.635
2009	40	3.546
2011	39	3.457
2012	39	3.457
2010	34	3.014
2002	29	2.571
2000	27	2.394
2005	26	2.305
2007	22	1.950
1998	21	1.862
2003	19	1.684
2004	18	1.596
2006	18	1.596
1997	17	1.507
2001	17	1.507
1999	16	1.418
1993	15	1.330
1996	11	0.975
1991	10	0.887
1995	10	0.887
1994	8	0.709
1992	5	0.443
1989	3	0.266
1980	2	0.177
1990	2	0.177
1976	1	0.089
1979	1	0.089
1982	1	0.089
1986	1	0.089
