Publication Years	Record Count	% of 2,485
2021	258	10.382
2020	220	8.853
2019	198	7.968
2018	196	7.887
2016	124	4.990
2014	119	4.789
2017	108	4.346
2013	107	4.306
2015	93	3.742
2012	88	3.541
2011	82	3.300
2005	70	2.817
2010	68	2.736
2002	67	2.696
2004	67	2.696
2009	65	2.616
2003	63	2.535
1997	62	2.495
2008	61	2.455
2006	58	2.334
2007	46	1.851
2000	43	1.730
2001	40	1.610
1998	30	1.207
1993	26	1.046
1999	21	0.845
1995	20	0.805
1994	16	0.644
1991	12	0.483
1996	11	0.443
1990	8	0.322
1992	8	0.322
1979	7	0.282
1989	7	0.282
1986	3	0.121
1988	3	0.121
1980	2	0.080
1982	2	0.080
1975	1	0.040
1976	1	0.040
1977	1	0.040
1984	1	0.040
1985	1	0.040
1987	1	0.040
