Publication Years	Record Count	% of 2,575
2015	150	5.825
2020	137	5.320
2016	136	5.282
2021	134	5.204
2004	132	5.126
2019	129	5.010
2010	123	4.777
2012	119	4.621
2018	116	4.505
2014	113	4.388
2017	107	4.155
2011	106	4.117
2013	96	3.728
2008	94	3.650
2009	93	3.612
2003	89	3.456
2007	80	3.107
1994	66	2.563
2006	56	2.175
2005	53	2.058
2000	51	1.981
2002	45	1.748
1992	39	1.515
1998	37	1.437
1999	36	1.398
2001	36	1.398
1995	35	1.359
1997	31	1.204
1993	30	1.165
1996	30	1.165
1991	26	1.010
1990	12	0.466
1984	8	0.311
1985	8	0.311
1980	4	0.155
1983	4	0.155
1986	4	0.155
1989	3	0.117
1981	2	0.078
1987	2	0.078
1988	2	0.078
1982	1	0.039
