Publication Years	Record Count	% of 2,452
2021	200	8.157
2020	194	7.912
2019	193	7.871
2018	179	7.300
2016	171	6.974
2014	145	5.914
2015	133	5.424
2017	122	4.976
2012	110	4.486
2010	104	4.241
2004	95	3.874
2011	93	3.793
2013	85	3.467
2002	64	2.610
2003	56	2.284
2009	56	2.284
1997	55	2.243
2005	54	2.202
2000	49	1.998
2007	46	1.876
1998	36	1.468
2001	34	1.387
2006	34	1.387
2008	27	1.101
1999	21	0.856
1993	15	0.612
1994	15	0.612
1995	15	0.612
1996	14	0.571
1991	10	0.408
1984	6	0.245
1980	3	0.122
1982	3	0.122
1990	3	0.122
1992	3	0.122
1985	2	0.082
1986	2	0.082
1988	2	0.082
1979	1	0.041
1981	1	0.041
1987	1	0.041
